id	authors	year	title	venue	venue_type	architecture_type	temporal_scope	representational_substrate	control_policy	storage_format	retrieval_method	memory_granularity	cross_agent_sharing	agent_framework	llm_used	autonomy_level	open_source	evaluation_method	benchmarks_used	performance_metrics	continual_learning_metrics	baseline_compared	input_tokens_per_task	output_tokens_per_task	memory_size_over_time	cost_per_task	token_reduction	reports_cost_data	main_result	performance_vs_baseline	cost_vs_baseline	negative_result	quality_score	limitations	validity_threats	gap_relevance
lindenbauer2025ctimrover	Tobias Lindenbauer, Georg Groh, Hinrich Schütze	2025	From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	arXiv preprint (2505.23422) / REALM Workshop ICML 2025	workshop	experience_bank	episodic	text_context	heuristic	CTIM items (textual rules distilled from successful trajectories via Knowledge Distillation with o1; general + repository-level) + exemplar trajectories (full trajectory text) stored in a Milvus index (Code-T5 embeddings)	embeddings	task	no	AutoCodeRover (extended with Reflexion)	GPT-4o (evaluation), o1 (knowledge distillation)	autonomous	yes	benchmark	SWE-bench Verified (subset: 401 train, 45 test)	Success rate (% instances resolved)	NR	AutoCodeRover (no CTIM), ablation configurations (CTIM only, General CTIM only, Repo-level CTIM only, Exemplar only)	NR	NR	Bounded by sqrt(n) constraint; CTIM grows sublinearly with the number of available trajectories	NR	NR	no	AutoCodeRover 42% vs CTIM-Rover 40% (best config); CTIM only degrades to 31%. Episodic memory introduces noise that degrades performance; noisy CTIM items steer the agent away from productive exploration.	-2pp vs baseline (40% vs 42%); CTIM only -11pp (31% vs 42%)	NR	yes	4.0	Small test sample (45 instances); ~10% of samples removed due to environment issues; KD limited to trajectory pairs; CTIM not filtered by relevance to the problem; embedding-based retrieval not investigated as a remedy for noise	SWE-bench subset may not be representative; AutoCodeRover as the sole framework; unbalanced repository distribution (django dominates train and test); GPT-4o may not be ideal for knowledge distillation	gap3_complexity
nadafian2026kapso	Alireza Nadafian, Alireza Mohammadshahi, Majid Yazdani	2026	KAPSO: A Knowledge-grounded framework for Autonomous Program Synthesis and Optimization	arXiv preprint (2601.21526)	preprint	hybrid	hybrid	hybrid	llm_self_control	Knowledge system: MediaWiki typed pages (Principle, Implementation, Environment, Heuristic) with a Neo4j graph index + Weaviate vector index, ingesting repos, docs, papers and web content from 2000+ sources. Cognitive memory: episodic store in a Weaviate vector DB with JSON fallback (trigger, lesson, recommended action, provenance for the experiment branch). Experimentation engine: isolated git branches with committed artifacts.	hybrid	task	not_applicable	custom (KAPSO: OrchestratorAgent + CodingAgent + SearchStrategy + ContextManager + KnowledgeSearch)	Gemini-2.5-pro	autonomous	partial	benchmark	MLE-Bench (Kaggle-style ML competitions), ALE-Bench (AtCoder heuristic contests, C++)	Medal rate (%), Private score, Final Performance (ELO), Rank Percentile (%), Total Cost ($)	NR	R&D-Agent, AIRA-dojo, ML-Master, AIDE (MLE-Bench); ALE-Agent, ALE Sequential, ALE one-shot (ALE-Bench)	NR	NR	Knowledge base is fixed (pre-built); episodic memory grows with executed experiments; CTIM items bounded by configurable capacity	ALE-Bench: $914.8 total (11 competitions) ≈ $83/competition; MLE-Bench: $200/task budget, 24h runtime	NR	yes_partial	MLE-Bench: 50.67% medal rate (vs 35.11% best open-source R&D-Agent, +15.56pp); ALE-Bench: ELO 1909.4, rank percentile 6.1% (vs ALE-Agent 1879.3, 6.8%) at 9% lower cost ($914.8 vs $1003.3).	+15.56pp medal rate vs R&D-Agent on MLE-Bench; +30.1 ELO vs ALE-Agent on ALE-Bench; advantage concentrated on Hard tasks (+17.78pp)	ALE-Bench: $914.8 vs $1003.3 ALE-Agent (-8.8%); MLE-Bench: fixed $200 budget does not allow direct comparison	no	5.5	Limited number of competitions in ALE-Bench introduces noise; variance across tasks; reliance on proprietary LLMs (Gemini); high cost per task; the knowledge package may have selection bias	MLE-Bench and ALE-Bench are ML/algorithm competitions, not traditional SE (bug fixing, code localization); Gemini-2.5-pro as the sole model; knowledge base built by the authors with potentially subjective selection criteria	gap1_comparison
qian2024iterative	Chen Qian, Jiahao Li, Yufan Dang, Wei Liu, YiFei Wang, Zihao Xie, Weize Chen, Cheng Yang, Yingli Zhang, Zhiyuan Liu, Maosong Sun	2024	Iterative Experience Refinement of Software-Developing Agents	arXiv preprint (2405.04219)	preprint	experience_bank	procedural	text_context	heuristic	Pool of shortcut experiences as key-value pairs: solution-to-instruction (instructive agent's knowledge) and instruction-to-solution (responsive agent's knowledge). Shortcuts are extracted from non-adjacent nodes in the execution chain. Embeddings via text-embedding-ada-002 for vector retrieval.	embeddings	subtask	yes	custom (extends ChatDev)	ChatGPT-3.5	autonomous	yes	benchmark	SRDD dataset (1200 software requirement descriptions, 40 categories, split into 6 batches)	Completeness (α), Executability (β), Consistency (γ), Quality (α×β×γ), Duration	NR	GPTEngineer, MetaGPT, ChatDev, ECL (Experiential Co-Learning)	NR	NR	Grows with batches; heuristic elimination shrinks it to 11.54% of the original pool (930 of 8053 experiences) while preserving superior performance	NR	NR	no	IER improves Quality from 0.4665 (ChatDev) to 0.6372 (IER-Successive), +36.6% relative. The cumulative pattern offers greater stability than successive; experience elimination reaches superior performance with only 11.54% of the original pool.	+36.6% Quality vs ChatDev (0.6372 vs 0.4665); +10.3% Quality vs ECL (0.6372 vs 0.5775); +11% Executability vs ECL (0.9146 vs 0.8643)	NR	no	4.0	Evaluation only with ChatGPT-3.5; custom metrics may not reflect real software quality; SRDD limited to simple software generation; no evaluation on standard benchmarks (SWE-bench); duration increases with IER (~180s vs ~148s ChatDev)	ChatGPT-3.5 as the sole model; Completeness/Executability/Consistency are automated proxies without human validation; SRDD generates simple software unrepresentative of real projects; ada-002 embeddings may not adequately capture semantic similarity of code	gap3_complexity
shen2025talm	Ming-Tung Shen, Yuh-Jzer Joung	2025	TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	International Workshop on Agentic Engineering (AGENT 2026)	workshop	experience_bank	hybrid	hybrid	heuristic	Vector database with entries containing: task description, reasoning process, generated code, and tree depth metadata. Automatic consolidation: entries with similarity > 0.95 are merged by the LLM into a unified representative entry (shared problem descriptions + solution patterns + code); originals are removed to prevent uncontrolled growth. Retrieval: top-3 ANN search filtered by tree depth.	embeddings	subtask	yes	custom (TALM)	GPT-4o-mini, GPT-4o	autonomous	no	benchmark	HumanEval (164), BigCodeBench (1140), ClassEval (100)	Pass@1	NR	Direct Prompting, Chain-of-Thought (CoT), Self-Planning Prompting, Reflexion, MapCoder	NR (significantly lower than MapCoder per Figure 4)	NR	Grows with solved tasks; merge consolidation reduces redundancy (entries with sim > 0.95 are fused); gains emerge after ~30 tasks (Figure 5)	NR	~50% fewer tokens than MapCoder on ClassEval (Figure 4); marginal overhead with memory enabled vs without	yes_partial	TALM with memory reaches 92.55% HumanEval, 53.27% BigCodeBench and 38.00% ClassEval (class level) with GPT-4o, surpassing all baselines. Memory contributes most on complex tasks (BigCodeBench +2.14pp, ClassEval class +2.00pp). Structured tree decomposition with localized re-reasoning complements experience accumulation.	+3.17pp BigCodeBench vs Direct (53.27% vs 50.10% GPT-4o); +5.00pp ClassEval class vs Direct (38.00% vs 33.00%); +2.00pp ClassEval class vs MapCoder (38.00% vs 36.00%); ~50% fewer tokens than MapCoder	~50% fewer total tokens than MapCoder on ClassEval; marginal memory overhead vs TALM without memory	yes	4.5	Relatively small datasets (HumanEval 164, ClassEval 100); memory reset at each experimental round; only GPT-4o-mini and GPT-4o tested; only function/class-level generation, with no evaluation on real repositories (SWE-bench); fixed hyperparameters	Only OpenAI models (GPT-4o-mini, GPT-4o); HumanEval/ClassEval are function/class-level, not representative of real SE; memory reset between rounds does not reflect continuous accumulation; comparison with re-implemented MapCoder may differ from the original; ClassEval with 100 tasks may have high variance	gap3_complexity
shen2026structurally	Kangning Shen, Jingyuan Zhang, Chenxi Sun, Wencong Zeng, Yang Yue	2026	Structurally Aligned Subtask-Level Memory for Software Engineering Agents	arXiv preprint (2602.21611)	preprint	experience_bank	procedural	structured	heuristic	Memory state S_sub as a repository of structured subtask entries: each entry m = (z, d, e) where z = functional category (ANALYZE, REPRODUCE, EDIT, VERIFY), d = structured description (objective + mechanism keywords), e = transferable abstract experience extracted by the LLM Extractor. Indexed by embeddings; updated online after each subtask completion.	hybrid	subtask	no	swe_agent	Gemini 2.5 Flash, Gemini 2.5 Pro, Claude 3.7 Sonnet, Claude 4.0 Sonnet	autonomous	partial	benchmark	SWE-bench Verified (500)	Pass@1 (Avg ± std over 3 runs, Best@3)	NR	Vanilla Agent (Mini SWE Agent without memory), Instance-level Memory (ReasoningBank reproduction)	NR	NR	Grows monotonically during the streaming protocol (initialized empty); 797 unique entries after 500 instances; long-tail distribution (top-100 = 33.8% of retrievals, 50.7% single-use)	NR	NR	no	Subtask-level memory improves Pass@1 by +4.7pp on average over vanilla agents across 4 LLMs on SWE-bench Verified. Gains are larger on Hard tasks (+8.7pp, >28 steps) and grow with accumulated experiences. Category isolation is critical: global retrieval loses +2.3pp.	+6.8pp Gemini 2.5 Pro (60.3% vs 53.5%); +5.6pp Gemini 2.5 Flash (41.9% vs 36.3%); +3.9pp Claude 3.7 Sonnet (56.1% vs 52.2%); +2.3pp Claude 4.0 Sonnet (65.8% vs 63.5%); average +4.7pp	NR	no	5.0	Evaluation only on SWE-bench Verified; memory reset every experimental round (does not test true long-term accumulation); experience extraction by the same LLM backbone may limit quality; top-1 retrieval may miss relevant experiences	SWE-bench Verified is predominantly Python; memory reset undermines long-term scalability evaluation; 4 models tested but only Google and Anthropic families; Instance-level Memory is a reproduction of ReasoningBank, not the original implementation; variance across runs (σ up to 2.27)	gap1_comparison
srivastava2025memorygraft	Saksham Sahai Srivastava, Haoyu He	2025	MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval	arXiv preprint (2512.16962)	preprint	NA	NA	NA	NA	NA — security paper analyzing vulnerabilities in LLM agent memory stores. Attacks MetaGPT DataInterpreter with a poisoned RAG store (BM25 + FAISS vector index) containing 100 benign experiences + 10 poisoned ones.	NA	NA	NA	NA — evaluates an attack against MetaGPT DataInterpreter	GPT-4o (MetaGPT DataInterpreter)	NA	yes	case_study	Custom evaluation set (12 handcrafted queries for MetaGPT DataInterpreter, 110 experience seeds)	Poisoned Retrieval Proportion (PRP), qualitative behavioral drift	NR	MetaGPT DataInterpreter without poisoned memory, BM25-only vs BM25+FAISS union retrieval	NR	NR	NA	NR	NR	no	MemoryGraft demonstrates that 10 poisoned experiences out of 110 total (9.1%) achieve a Poisoned Retrieval Proportion of 47.9%, persistently compromising agent behavior. The attack persists across sessions, is trigger-free, and exploits the semantic imitation heuristic.	PRP 47.9% with union retrieval (BM25+FAISS) vs ~25% with BM25-only; 23 out of 48 total retrievals return poisoned experiences	NR	yes	4.0	Small-scale evaluation (110 seeds, 12 queries); only MetaGPT DataInterpreter as target; only GPT-4o; attack design is semi-white-box (attacker knows which artifacts the agent ingests); no quantitative behavioral severity metrics; proposed defenses not empirically evaluated	Only one agent framework (MetaGPT); GPT-4o as the sole LLM; 12 handcrafted evaluation queries; attack scenario assumes the agent runs README code without verification; small scale may not represent real deployments	gap3_complexity
su2025learnbyinteract	Hongjin Su, Ruoxi Sun, Jinsung Yoon, Pengcheng Yin, Tao Yu, Sercan Ö. Arık	2025	Learn-by-interact: A Data-Centric Framework for Self-Adaptive Agents in Realistic Environments	arXiv preprint (2501.10893)	preprint	experience_bank	episodic	text_context	heuristic	Pool of synthesized examples (~10k after filtering): instruction-trajectory pairs generated via self-instruct + backward construction from environment documentation. Filtered through deduplication + an LLM committee. Stored as text for retrieval in ICL or fine-tuning.	hybrid	task	no	custom	Claude-3.5-sonnet, Gemini-1.5-pro (generation and evaluation); Codegemma-7B, Codestral-22B (fine-tuning)	autonomous	yes	benchmark	SWE-bench Verified, WebArena, OSWorld, Spider2-V	Resolve rate (%), success rate (%)	NR	Baseline (vanilla prediction), RAG, Data distill, Reflexion, LATS	NR	NR	Pool fixed after offline synthesis (~10k examples per benchmark); no growth during inference	NR	Fewer LLM calls and tokens than Reflexion (~15 calls vs ~25) and LATS (~15 calls vs ~35) with superior performance	yes_partial	Learn-by-interact improves the baseline by up to +10.1pp (Claude, OSWorld: 12.4%→22.5%) and +8.8pp (Claude, SWE-bench: 51.2%→60.0%) via ICL with agentic retrieval. Fine-tuning with synthesized data raises Codestral-22B from 4.7% to 24.2% on WebArena (+19.5pp).	+8.8pp SWE-bench (Claude), +10.1pp OSWorld (Claude), +5.4pp SWE-bench (Gemini); surpasses Reflexion and LATS across all 4 benchmarks with both LLMs	Fewer LLM calls and tokens than Reflexion and LATS during inference; synthesis cost is offline and amortized	no	5.0	High data synthesis cost (many LLM calls for generation and filtering); dependence on existing environment documentation/resources to generate instructions; resources may be incomplete or unavailable	Claude-3.5-sonnet used to both generate and evaluate data may bias results; documentation may be incomplete for specific environments; backward construction assumes sub-trajectories are independent; ICL evaluation with models that generated the synthesis data	gap1_comparison
tablan2025smarter	Valentin Tablan, Scott Taylor, Gabriel Hurtado, Kristoffer Bernhem, Anders Uhrenholt, Gabriele Farei, Karo Moilanen	2025	Smarter Together: Creating Agentic Communities of Practice through Shared Experiential Learning	arXiv preprint (2511.08301)	preprint	experience_bank	hybrid	hybrid	llm_self_control	Knowledge base: ~34000 documentation blobs from data science libraries (NumPy, Pandas, Matplotlib, SciPy, scikit-learn, PyTorch, TensorFlow) indexed as embeddings + text. Experiential memory: structured traces of agent-user interactions (problem context, recommendation, feedback), clustered by semantic similarity and curated into generalizable patterns. Continual learning via curation epochs.	hybrid	task	yes	custom (Spark memory layer, integrated via MCP)	Qwen3-Coder-30B-A3B-Instruct, Claude Haiku 4.5, GPT-5-Codex	autonomous	no	benchmark	DS-1000 (1000 data science problems from StackOverflow: NumPy, Pandas, Matplotlib, SciPy, scikit-learn, PyTorch, TensorFlow)	Code Quality Score (1-5, LLM judge: Gemini 2.5 Pro), Helpfulness Score (1-5, LLM judge: Claude Sonnet 3.7)	NR	NO-SPARK (LLMs without external memory), DS-1000 Human Reference solutions (4.28/5 average)	NR	NR	Initialized with ~34K documentation blobs; grows via experiential learning epochs (1 epoch evaluated in this study)	NR	NR	no	Spark improves code quality across all models: Qwen3-Coder +0.66 (4.23→4.89), Haiku 4.5 +0.41 (4.50→4.91), GPT-5-Codex +0.05 (4.78→4.83). The 30B open-weights model with Spark matches GPT-5-Codex without Spark. 98.2% of recommendations rated at least GOOD.	+0.66 code quality Qwen3-Coder (4.23→4.89); +0.41 Haiku 4.5 (4.50→4.91); +0.05 GPT-5-Codex (4.78→4.83); all WITH-SPARK exceed human quality (4.28)	NR	no	5.0	Synthetic experiential data (generated by GPT-4o, not real interactions); LLM-judge evaluation without execution metrics (Pass@1); DS-1000 as the sole benchmark (data science); only 1 experiential learning epoch evaluated	LLM-as-judge may correlate with the evaluated models; synthetic experiences do not represent real interactions; DS-1000 focuses on data science rather than general SE (bug fixing, repository-level); stronger models benefit less (ceiling effect); Spark is a commercial product, potential bias	gap1_comparison
vasilopoulos2026codified	Aristidis Vasilopoulos	2026	Codified Context: Infrastructure for AI Agents in a Complex Codebase	arXiv preprint (2602.20478)	preprint	hybrid	hybrid	text_context	heuristic	Tier 1: Markdown constitution (~660 lines, always loaded; conventions, checklists, trigger tables, failure modes). Tier 2: 19 Markdown agent specifications (115-1233 lines each, ~9300 total; domain knowledge, code patterns, symptom-cause-fix tables). Tier 3: 34 Markdown knowledge base documents (~16250 lines; subsystem specs). Total: ~26200 lines (24.2% of the C# code). Retrieval via MCP server (keyword matching).	hybrid	other	yes	custom (Claude Code + MCP retrieval server)	Claude Code (model not specified)	semi_autonomous	yes	case_study	NA (observational case study: 108K lines of C#, 283 sessions, 70 days part-time)	Sessions (283), agent invocations (1197), agent turns (16522), MCP retrieval calls (1478 over 218 sessions), knowledge-to-code ratio (24.2%)	NR	Implicit: before vs after introducing each infrastructure component (observational, no control)	NR	NR	Growth documented over 70 days: Phase 1 (~100 lines constitution), Phase 2 (specs + agents), Phase 3 (MCP retrieval). Final: ~26200 lines across 54 files. Knowledge-to-code ratio stabilized at ~24%	NR (maintenance: ~1-2h/week + biweekly review 30-45min)	NR	no	A 3-tier codified context infrastructure supported the construction of a 108K-line distributed system by a solo AI-assisted developer in 70 days. 4 case studies: cross-session coordination (74 sessions without save bugs), captured experience reused across 10+ sessions, documentation as a persistent investment, debugging with embedded domain knowledge.	Observational: save system spec referenced across 74 sessions without bugs; UI sync spec reused across 10+ sessions; knowledge base consulted 1478 times across 218 sessions	NR	yes	5.0	Single developer on a single project; specific domain (real-time distributed simulation) demands more documentation than typical projects; observational methodology without control; implementation specific to Claude Code + MCP	Single developer, single project, single tool (Claude Code); observational methodology without randomization; confounding with the developer's growing experience; game/simulation domain may not represent typical SE; spec staleness caused at least 2 incidents	gap3_complexity
wang2025repositorymemory	Boshi Wang, Weijian Xu, Yunsheng Li, Mei Gao, Yujia Xie, Huan Sun, Dongdong Chen	2025	Improving Code Localization with Repository Memory	ICLR 2026	conference	git_metaphor	hybrid	hybrid	heuristic	Corpus of recent commits (episodic: messages + patches + linked issues, searchable via BM25 with an LLM tokenizer) + functionality summaries of active files (semantic: NL text generated by LLM for the top-200 most-edited files)	bm25	repository	no	LocAgent (localization framework based on a heterogeneous graph)	GPT-4o (2024-05-13)	autonomous	partial	benchmark	SWE-bench-verified (500 examples, 12 repositories), SWE-bench-live (130 examples, 62 repositories)	Accuracy@1, Accuracy@3, Accuracy@5	NR	CodeRankEmbed, Agentless, LocAgent (without memory)	NR	NR	7000 commits + 200 most-edited files per repository; size fixed by design (fixed window of recent commits)	$0.58-$0.89/example (RepoMem) vs $0.54-$0.59/example (LocAgent); higher cost concentrated on hard problems where LocAgent fails	NR	yes_partial	Acc@5 76.5% on SWE-bench-verified (+4.9% vs LocAgent); episodic and semantic memory contribute in a complementary manner; the agent shifts from brute-force exploration to hypothesis-driven investigation	+4.9% absolute Acc@5 vs LocAgent on SWE-bench-verified; +3.1% on SWE-bench-live; resolve rate +3.4% end-to-end (40.4% vs 37.0%)	Higher cost on hard problems ($0.54→$0.89 when LocAgent fails); high per-example variance; memory is a strategic investment on hard problems	no	5.0	Performance degrades on repositories with limited history (<10K commits); variable, problem-dependent cost; retrieval method not optimized for code vocabulary; explicit links between commits and issues may be noisy or absent	Evaluation only on bug fixing/localization; GPT-4o as the sole model; pre-issue commits may have variable quality; the fixed 7K-commit window may not be ideal for every repository	gap2_cost
wang2026codemem	Peiding Wang, Li Zhang, Fang Liu, Chongyang Tao, Yinghao Zhu	2026	CodeMEM: AST-Guided Adaptive Memory for Repository-Level Iterative Code Generation	arXiv preprint (2601.02868)	preprint	ast_guided	hybrid	hybrid	llm_self_control	AST key-value pairs (Code Context Memory: code blocks indexed by function/class signature with internal and external APIs) + code-centric session blocks with AST diffs (Code Session Memory: prompt, code, modification note, AST diff per round)	ast_intersection	function	no	custom	DeepSeek-V3	autonomous	yes	benchmark	CodeIF-Bench (L-2), CoderEval (extended multi-turn)	IA (Instruction Accuracy), CA (Conversation Accuracy), IFR (Instruction Forgetting Rate), Pass@1	NR	Full-Context BM25, Full-Context RL-Coder, MemGPT, Mem0, A-Mem	107.8k tokens/round (CodeIF-Bench); 52.6k tokens/round (CoderEval)	NR	Filtered by the AST Selector each round; growth controlled by API intersection	NR	Reduction of ~30k tokens vs multi-turn dialogue methods on CodeIF-Bench (107.8k vs 131.8k FC BM25, vs 358.5k A-Mem)	yes_partial	IA +12.2% and CA +11.5% vs Full-Context; reduces interaction by 2-3 rounds; SOTA on both benchmarks with competitive token efficiency	+12.2% IA, +11.5% CA vs Full-Context; +5.0% IA vs the best baseline (A-Mem)	Competitive; 107.8k tokens vs 131.8k (FC BM25) and 358.5k (A-Mem) on CodeIF-Bench	no	5.0	Evaluation limited to 2 Python benchmarks; effectiveness in more complex scenarios not validated; reliance on the LLM for memory decisions may introduce hallucinations	Benchmarks may not represent real-world complexity; DeepSeek-V3 as the sole model; CoderEval extended manually by the authors	gap1_comparison
wang2026memgovern	Qihao Wang, Ziming Cheng, Shuo Zhang, Fan Liu, Rui Xu, Heng Lian, Kunyi Wang, Xiaoming Yu, Jianghao Yin, Sen Hu, Yue Hu, Shaolei Zhang, Yanbing Liu, Ronghao Chen, Huacan Wang	2026	MemGovern: Enhancing Code Agents through Learning from Governed Human Experiences	arXiv preprint (2601.06789)	preprint	experience_bank	semantic	structured	llm_self_control	135K experience cards in a vector database. Each card: Index Layer (normalized Problem Summary + generalizable Diagnostic Signals such as exception types, error signatures, component tags) + Resolution Layer (Root Cause, abstract Fix Strategy, semantic Patch Digest, Verification steps). Governance pipeline: Experience Selection (repo scoring) → Standardization (content purification + unified repair experience protocol) → Quality Control (LLM checklist scoring with refine loop).	hybrid	task	not_applicable	swe_agent	Claude 4 Sonnet, GPT-5 Medium, DeepSeek-V3.1T, Qwen3-235B, Kimi-K2-Instruct, Qwen3-Coder-30B, GPT-4o, GPT-4o-Mini	autonomous	yes	benchmark	SWE-bench Verified (500)	Resolved Rate (%), Avg. Tokens (M), Avg. Cost ($)	NR	SWE-Agent (no memory), AutoCodeRover, CodeAct, SWESynInfer, mini-SWE-agent, static RAG, Agentic RAG	0.78M-2.35M tokens per task (varies by LLM backbone)	NR	Fixed after offline construction (135K cards); monotonic gains from 10% to 100% of the pool in ablation	$0.07 (Qwen3-Coder-30B) to $7.27 (Claude 4 Sonnet) per task	NR (light overhead: tokens increase ~3-5% vs baseline due to retrieval)	yes_detailed	MemGovern improves SWE-Agent by an average of +4.65pp in resolve rate on SWE-bench Verified, consistent across 7 LLMs. Largest gains on weaker models (+9.4pp GPT-4o, +8.2pp Qwen3-235B). Agentic Search (search-then-browse) surpasses static RAG and Agentic RAG across all tested models.	+3.2pp with Claude 4 Sonnet (69.8% vs 66.6%); +8.2pp with Qwen3-235B (55.4% vs 47.2%); +9.4pp with GPT-4o (32.6% vs 23.2%); average +4.65pp across 7 LLMs	Moderate overhead: $6.94→$7.27 with Claude 4 Sonnet (+4.8%); $0.14→$0.20 with GPT-4o-Mini (+43%); proportional to use of Searching/Browsing tools	no	5.5	Additional token overhead for searching the experiential memory; experience cards built offline via GPT-5.1 (construction cost not reported); memory compression strategies not explored; Index Layer removes repository specificity	SWE-bench Verified as the sole benchmark; experience cards generated by GPT-5.1 may carry bias; 150K pre-filtered GitHub triplets may temporally overlap with SWE-bench; quality control evaluation via LLM-judge; human evaluation limited to 100 repositories for selection	gap1_comparison
wong2025confucius	Sherman Wong, Zhenting Qi, Zhaodong Wang, Nathan Hu, Samuel Lin, Jun Ge, Erwin Gao, Wenlin Chen, Yilun Du, Minlan Yu, Ying Zhang	2025	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	arXiv preprint (2512.10398)	preprint	hybrid	hybrid	text_context	llm_self_control	Hierarchical working memory (Markdown file tree with metadata tags and visibility scopes: session, entry, runnable) + persistent cross-session notes (Markdown in a per-session directory, e.g. research/findings.md, solutions/bug_fix.md, including hindsight notes for failures) + context compression summaries (structured plan with goals, decisions, TODOs, generated by the Architect Agent)	hybrid	task	no	custom (Confucius SDK)	Claude 4 Sonnet, Claude 4.5 Sonnet, Claude 4.5 Opus, GPT-5.2	autonomous	partial	benchmark	SWE-Bench-Pro (731 tasks), SWE-Bench-Verified (500 tasks), PyTorch-Bench (custom)	Resolve Rate (Pass@1)	NR	SWE-Agent, Live-SWE-Agent, OpenHands, Anthropic (proprietary), OpenAI (proprietary)	~104k tokens (Run 1 without notes); ~93k tokens (Run 2 with notes)	NR	Working memory grows during a session and is periodically compressed by the Architect Agent; persistent notes accumulate across sessions	NR	-11k tokens/task (104k→93k) with persistent notes from Run 1 applied in Run 2	yes_partial	CCA achieves 59.0% Resolve@1 on SWE-Bench-Pro with GPT-5.2, surpassing OpenAI (56.0%); with Claude 4.5 Sonnet it reaches 52.7% vs Live-SWE-Agent 45.8%. Persistent notes reduce turns from 64 to 61 and tokens from 104k to 93k, with a +1.4pp gain in Resolve Rate.	+3.0pp vs OpenAI (59.0% vs 56.0%) with GPT-5.2; +6.9pp vs Live-SWE-Agent (52.7% vs 45.8%) with Claude 4.5 Sonnet; +1.8pp vs OpenHands (74.6% vs 72.8%) on SWE-Bench-Verified	NR	no	5.5	PyTorch-Bench is not directly comparable with SWE-Bench-Pro due to differences in execution environment; note evaluation limited to 151 instances; meta-agent co-developed with the evaluation benchmarks; SDK not fully open-source	SWE-Bench-Verified is sensitive to the model's thinking budget; comparison with proprietary systems (Anthropic, OpenAI) may involve uncontrolled infrastructure differences; meta-agent refined on the same benchmarks used for evaluation may lead to overfitting	gap1_comparison
wu2025gcc	Junde Wu, Minhao Hu, Jiayuan Zhu, Jiazhen Pan, Yuyuan Liu, Min Xu, Yueming Jin	2025	Git Context Controller: Manage the Context of LLM-based Agents like Git	arXiv preprint (2508.00031)	preprint	git_metaphor	hybrid	text_context	llm_self_control	Versioned .GCC/ directory: main.md (global roadmap, milestones, to-do list shared across branches), branches/{name}/commit.md (progress summaries: Branch Purpose + Previous Progress + This Commit's Contribution), log.md (fine-grained OTA traces), metadata.yaml (file structure, dependencies, configs). All plain-text, checkpointed via real git commits.	hybrid	other	yes	swe_agent (GCC integrated on top of SWE-Agent for SWE-Bench)	GPT-5, GPT-4.1, DeepSeek-V3.1, GLM-4.5-Air, Qwen3-235B-A22B, Claude 4 Sonnet	autonomous	partial	benchmark	BrowseComp-Plus (150 instances), SWE-Bench Verified (500 instances), SWE-Benchlite (300 instances)	Pass@1, % Resolved, Tool Calls, % Correct Location (Line, Function, File)	NR	ReAct Agent, SWE Agent, Summary Agent, Folding Agent (controlled); 26 existing systems on SWE-Benchlite (CodeStory Aide, MarsCode, Honeycomb, MentatBot, etc.)	~386-547K tokens/task (SWE-Benchlite, varies by model)	NR	Non-monotonic context length: grows with inference steps but periodically shrinks via summarization and retrieval; up to 100 branches/archives summarized (theoretical max 3.27M tokens)	$0.57/task (GPT-3.5), $1.13/task (GPT-4o), $1.21/task (Claude 3.5 Sonnet) on SWE-Benchlite	NR	yes_detailed	SOTA on SWE-Bench Verified (Pass@1 0.802 with Claude 4 Sonnet, +13.6% vs baseline) and BrowseComp-Plus (0.834 with GPT-5). On SWE-Benchlite, it resolves 48.00% (144/300), surpassing 26 existing systems including commercial agents.	+6.2pp Pass@1 vs Folding Agent (best baseline) with Claude 4 Sonnet on SWE-Bench Verified (0.802 vs 0.740); +1.9pp BrowseComp-Plus with GPT-5 (0.834 vs 0.815)	$1.21/task vs $1.62 SWE-Agent, $2.51 Agentless on SWE-Benchlite (Claude 3.5 S); cost comparable to the best open-source systems despite much higher performance	no	5.5	Fixed 327K context window; retrieval window K=1 limits access to old commits; BRANCH and MERGE significantly increase tool calls; not tested under a fixed cost budget	Frontier proprietary models (GPT-5, Claude 4 Sonnet) may exhibit emergent capabilities that do not generalize; artificial benchmarks vs real production; reliance on large context windows (327K); ablation only with Claude 4 Sonnet	gap1_comparison
