included_id	full_text_id	screening_id	dedup_group	study_role	architecture_status	controlled_comparison_status	classification_status	architecture_denominator_decision	contextual_role	full_text_rationale	source_routes	source_files	route_provenance	extraction_verification_status	extractor_notes	id	autores	ano	titulo	venue	tipo_venue	tipo_arquitetura	escopo_temporal	substrato_representacional	politica_controle	formato_armazenamento	metodo_recuperacao	granularidade_memoria	compartilhamento_entre_agentes	framework_agente	llm_utilizado	nivel_autonomia	codigo_aberto	metodo_avaliacao	benchmarks_utilizados	metricas_desempenho	metricas_cl	baseline_comparado	tokens_entrada_por_tarefa	tokens_saida_por_tarefa	tamanho_memoria_ao_longo_tempo	custo_por_tarefa	reducao_tokens	reporta_dados_custo	resultado_principal	desempenho_vs_baseline	custo_vs_baseline	resultado_negativo	pontuacao_qualidade	limitacoes	ameacas_validade	relevancia_gaps
I024	FT0098	TA00292	D00292	architecture	arch_self_evolution_archive	yes_no_persistence_or_memory_ablation	classified_from_full_text_rationale	include_architecture	NA	Full text describes the Huxley-Godel Machine maintaining a tree/archive of self-modified coding agents and evaluations, using clade-level metaproductivity to guide future self-improvement, and evaluating on SWE-bench Verified, SWE-bench Lite, and Polyglot.	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.AI; backward+forward | forward_from=zhang2025darwingodel | backward_from=chen2025sweexp;xia2025livesweagent	verified_from_full_text	Fresh search architecture extraction batch 005; controlled-comparison and quality status remain pending aggregate recomputation.	wang2025huxleygodel	Wenyi Wang, Piotr Piekos, Nanbo Li, Firas Laakom, Yimeng Chen, Mateusz Ostaszewski, Mingchen Zhuge, Jurgen Schmidhuber	2025	Huxley-Gödel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine	arXiv preprint (2510.21614)	preprint	outro	procedural	executavel	aprendida	Tree/archive of self-modified coding agents with clade-level metaproductivity estimates; descendant performance aggregates guide which agents to expand or evaluate.	outro	repositorio	nao	Huxley-Godel Machine (HGM)	GPT-5, GPT-5-mini, Qwen3-Coder-480B-A35B-Instruct, Qwen3-Coder-30B-A3B-Instruct	autonomo	sim	benchmark	SWE-bench Verified-60, SWE-bench Lite, Polyglot	Accuracy; allocated CPU-hours for 800 evaluations; Pearson correlation of CMP estimates; leaderboard/transfer accuracy	NR	SICA, DGM, initial ancestor, SWE-agent + GPT-5-mini, SWE-agent leaderboard baseline, HGM transfer variants.	NR	NR	Archive is a self-modification tree grown under an 800-evaluation budget in the main comparison.	NR as monetary cost; reports allocated CPU-hours: HGM 517 hours on SWE-Verified-60 and 347 hours on Polyglot for 800 evaluations.	NR	sim	HGM outperforms prior self-improving coding-agent development methods while using fewer allocated CPU-hours. Table 2 reports HGM 56.7% on SWE-Verified-60 and 30.5% on Polyglot, compared with DGM 53.3% and 27.1%.	HGM requires 517 CPU-hours versus DGM 1231 on SWE-Verified-60, and 347 versus DGM 2385 on Polyglot; on SWE-Lite standard, the HGM best-belief agent reaches 49.0% with GPT-5-mini and 57.0% with GPT-5 transfer.	HGM is reported as 2.38x faster than DGM on SWE-Verified-60 and 6.86x faster than DGM on Polyglot in allocated CPU-hours.	sim	5.0	Theoretical result depends on simplifying assumptions; evaluations are costly and partially observed; optimized agents may overfit benchmark-specific behavior; results depend on selected backbones and budgets.	SWE-Verified-60 subset, Polyglot setup, local leaderboard comparisons, backbone substitutions, and CPU-hour accounting may affect external validity.	gap3_complexidade
I025	FT0023	TA00371	D00371	architecture	arch_repository_memory	yes_no_persistence_or_memory_ablation	classified_from_prior_prefill_recheck_required	include_architecture	NA	Full text proposes repository memory from historical commits, issues, and functionality summaries as episodic/semantic memory for code-localization agents, evaluated on SWE-bench Verified and SWE-bench Live.	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.SE;cs.CL; backward | backward_from=shen2026structurally	verified_prior_extraction	Exact-title prior extraction `wang2025repositorymemory` reused after search text/title/path check; architecture_status=arch_repository_memory. Controlled-comparison status remains prior-prefilled pending aggregate recomputation.	wang2025repositorymemory	Boshi Wang, Weijian Xu, Yunsheng Li, Mei Gao, Yujia Xie, Huan Sun, Dongdong Chen	2025	Improving Code Localization with Repository Memory	ICLR 2026	conferencia	git_metafora	hibrida	hibrido	heuristica	Corpus de commits recentes (episódica: mensagens + patches + issues linkadas, buscável via BM25 com tokenizer LLM) + sumários de funcionalidade de arquivos ativos (semântica: texto NL gerado por LLM para top-200 arquivos mais editados)	bm25	repositorio	nao	LocAgent (framework de localização baseado em grafo heterogêneo)	GPT-4o (2024-05-13)	autonomo	parcial	benchmark	SWE-bench-verified (500 exemplos, 12 repositórios), SWE-bench-live (130 exemplos, 62 repositórios)	Accuracy@1, Accuracy@3, Accuracy@5	NR	CodeRankEmbed, Agentless, LocAgent (sem memória)	NR	NR	7000 commits + 200 arquivos mais editados por repositório; tamanho fixo por design (janela fixa de commits recentes)	$0.58-$0.89/exemplo (RepoMem) vs $0.54-$0.59/exemplo (LocAgent); custo maior concentrado em problemas difíceis onde LocAgent falha	NR	sim_parcial	Acc@5 76.5% no SWE-bench-verified (+4.9% vs LocAgent); memória episódica e semântica contribuem de forma complementar; agente muda comportamento de exploração bruta para investigação guiada por hipóteses	+4.9% Acc@5 absoluto vs LocAgent em SWE-bench-verified; +3.1% em SWE-bench-live; resolve rate +3.4% em end-to-end (40.4% vs 37.0%)	Custo maior em problemas difíceis ($0.54→$0.89 quando LocAgent falha); alta variância por exemplo; memória é investimento estratégico em problemas difíceis	nao	5.0	Performance degrada em repositórios com histórico limitado (<10K commits); custo variável e dependente do problema; método de recuperação não otimizado para vocabulário de código; links explícitos entre commits e issues podem ser ruidosos ou ausentes	Avaliação apenas em bug fixing/localização; GPT-4o como único modelo; commits pré-issue podem ter qualidade variável; janela fixa de 7K commits pode não ser ideal para todos os repositórios	gap2_custo
I026	FT0075	TA01303	D01303	architecture	arch_experience_bank	no_no_persistence_or_nonmemory_baseline	classified_from_full_text_rationale	include_architecture	NA	Full text describes an agentic kernel-coding framework with a persistent knowledge base and metadata store that enable continuous knowledge accumulation, checkpointing, and cross-session knowledge reuse, and it evaluates correctness/performance on KernelBench and production operator-platform configurations.	citations	search/results-citations.json	backward | backward_from=dong2026kernelblaster	verified_from_full_text	Fresh search architecture extraction batch 005; controlled-comparison and quality status remain pending aggregate recomputation.	kernelevolve2025	KernelEvolve Team, Meta Platforms	2025	KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta	arXiv preprint (2512.23236)	preprint	banco_experiencia	hibrida	hibrido	aprendida	Persistent knowledge base of hardware-specific constraints and optimization patterns plus metadata/object stores for kernel candidates, parent-child relationships, fitness scores, correctness flags, artifacts, profiling reports, and checkpointed search state.	hibrido	repositorio	sim	KernelEvolve production kernel-coding framework	Claude 4.5, GPT-5, Meta CWM, Llama, and internal/external LLM backends	autonomo	NR	benchmark	KernelBench, 160 PyTorch ATen operators across NVIDIA GPUs, AMD GPUs, and MTIA v3, Meta production recommendation-model workloads	Pass rate/correctness; speedup over PyTorch baselines; development time; operator-platform correctness; metadata query scalability; production deployment outcomes	NR	PyTorch baselines, expert manual implementations, existing kernel-generation prototypes such as KernelBench/KernelLLM/CWM-related systems.	NR; context windows are managed within 64K-1M token budgets depending on the model.	NR	Search graph and persistent stores scale to thousands of optimization steps; metadata queries execute in milliseconds even with large search histories.	NR as per-task monetary cost; reports development time reduced from weeks to hours and production speedups up to 17x.	NR; paper states persistent storage reduces redundant token consumption and future work will quantify token consumption per kernel.	sim	KernelEvolve achieves 100% pass rate on all 250 KernelBench problems and 100% correctness over 480 operator-platform configurations, while reducing development time from weeks to hours and achieving up to 17x speedup over PyTorch baselines.	Reports 1.2x to 17x speedups over PyTorch baselines across production use cases and competitive performance with expert manual implementations.	Development time is reduced from weeks to hours; no per-task API cost is reported.	sim	4.5	Production deployment depends on proprietary hardware, persistent internal knowledge bases, and validation infrastructure; future work is needed to quantify token consumption and optimize prompt design for minimal inference cost.	Meta-specific workloads, hardware platforms, proprietary accelerators, production validation stack, and unpublished source code may limit independent replication.	multiplos
I027	FT0034	TA01346	D01346	architecture	arch_skill_rule_library	yes_no_persistence_or_memory_ablation	classified_from_full_text_rationale	include_architecture	NA	Full text describes Lingxi extracting transferable procedural knowledge from historical issue-fixing data and using it to guide repository-level issue resolution, with SWE-bench Verified evaluation.	citations	search/results-citations.json	forward | forward_from=chen2025sweexp;tang2025agentkb	verified_from_full_text	Fresh search architecture extraction batch 006; controlled-comparison and quality status remain pending aggregate recomputation.	yang2025lingxi	Xu Yang, Jiayuan Zhou, Michael Pacheco, Wenhan Zhu, Pengfei He, Shaowei Wang, Kui Liu, Ruiqi Pan	2025	Lingxi: Repository-Level Issue Resolution Framework Enhanced by Procedural Knowledge Guided Scaling	arXiv preprint (2510.11838)	preprint	outro	procedural	estruturado	self_control_llm	Transferable procedural knowledge extracted from historical issue-fixing data; target issue summaries are embedded, similar historical issues are retrieved and reranked, and procedural knowledge guides analysis scaling and patch generation.	hibrido	tarefa	nao	Lingxi repository-level issue-resolution framework	Claude 4 Sonnet, Kimi-K2, GPT-4.1 mini, Qwen3-Embedding-8B, Qwen3-Reranker-4B	autonomo	NR	benchmark	SWE-bench Verified	Pass@1 resolve rate; ablation pass rate; model/backbone comparison	NR	mini-SWE-agent, OpenHands, SWE-agent, SWE-search, Augment Agent prior, raw issue-patch memory and no-knowledge ablations	NR	NR	Historical issue-fixing data are converted into reusable procedural knowledge; no explicit memory-growth curve is reported.	NR	NR	nao	Lingxi reaches 74.60% Pass@1 on SWE-bench Verified with Claude 4 Sonnet and 70.33% with Kimi-K2. Ablations show the full method at 74.80%, while replacing transferable procedural knowledge with raw issue-patch pairs drops to 68.30% and removing knowledge drops to 67.74%.	With Claude 4 Sonnet, Lingxi reports 74.60% versus OpenHands and Augment Agent prior at 70.40%, SWE-search at 70.08%, SWE-agent at 66.60%, and mini-SWE-agent at 64.93%. With Kimi-K2, Lingxi reports 70.33% versus OpenHands 65.40% and mini-SWE-agent 43.80%.	NR	nao	4.5	Evaluation centers on SWE-bench Verified; no cost/token reporting captured; method depends on quality and coverage of historical issue-fixing data and LLM-derived procedural knowledge.	SWE-bench Verified focus, retrieval/reranking choices, historical issue-pair construction, and proprietary/closed model backbones may affect generalization and replication.	gap1_comparacao
I028	FT0026	TA00452	D00452	contextual_security	contextual_not_applicable	not_applicable_contextual	classified_from_prior_prefill_recheck_required	exclude_contextual	Security/adverse-effect evidence about persistent poisoned experience retrieval in an agent memory store.	Full text studies MemoryGraft attacks on long-term experience retrieval, showing poisoned memories persist alongside benign experiences and cause behavioral drift across later sessions in a DataInterpreter/code setting.	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.CR;cs.AI;cs.LG	verified_prior_extraction	Rechecked prior extraction against search inclusion role; security/adverse-effect contextual record.	srivastava2025memorygraft	Saksham Sahai Srivastava, Haoyu He	2025	MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval	arXiv preprint (2512.16962)	preprint	NA	NA	NA	NA	NA — paper de segurança que analisa vulnerabilidades em memory stores de agentes LLM. Ataca MetaGPT DataInterpreter com RAG store envenenado (BM25 + FAISS vector index) contendo 100 experiências benignas + 10 envenenadas.	NA	NA	NA	NA — avalia ataque contra MetaGPT DataInterpreter	GPT-4o (MetaGPT DataInterpreter)	NA	sim	estudo_caso	Custom evaluation set (12 consultas handcrafted para MetaGPT DataInterpreter, 110 experience seeds)	Poisoned Retrieval Proportion (PRP), behavioral drift qualitativo	NR	MetaGPT DataInterpreter sem memória envenenada, BM25-only vs BM25+FAISS union retrieval	NR	NR	NA	NR	NR	nao	MemoryGraft demonstra que 10 experiências envenenadas em 110 totais (9.1%) alcançam Poisoned Retrieval Proportion de 47.9%, comprometendo persistentemente o comportamento do agente. Ataque persiste entre sessões, é trigger-free e explora semantic imitation heuristic.	PRP 47.9% com union retrieval (BM25+FAISS) vs ~25% com BM25-only; 23 de 48 retrievals totais retornam experiências envenenadas	NR	sim	4.0	Avaliação em escala pequena (110 seeds, 12 queries); apenas MetaGPT DataInterpreter como alvo; apenas GPT-4o; design do ataque é semi-white-box (atacante sabe quais artefatos o agente ingere); sem métricas de severidade comportamental quantitativas; defesas propostas não avaliadas empiricamente	Apenas um framework de agente (MetaGPT); GPT-4o como único LLM; 12 queries de avaliação handcrafted; cenário de ataque assume que agente executa código de README sem verificação; escala pequena pode não representar deployments reais	gap3_complexidade
I029	FT0029	TA00477	D00477	contextual_benchmark	contextual_not_applicable	not_applicable_contextual	classified_from_prior_prefill_recheck_required	exclude_contextual	Benchmark evidence for long-term memory and state tracking in multi-platform agent environments.	Full text presents MemTrack as a benchmark for long-term memory and state tracking in dynamic multi-platform agent environments including Git/codebase and documentation contexts, with memory-backend evaluation.	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.AI;cs.CL; forward | forward_from=joshi2025swebenchcl	verified_prior_extraction	Rechecked prior extraction against search inclusion role; benchmark contextual record.	deshpande2025memtrack	Darshan Deshpande, Varun Gangal, Hersh Mehta, Anand Kannappan, Rebecca Qian, Peng Wang	2025	MemTrack: Evaluating Long-Term Memory and State Tracking in Multi-Platform Dynamic Agent Environments	NeurIPS 2025 Workshop: Scaling Environments for Agents (SEA)	workshop	NA	NA	NA	NA	NA — benchmark agnóstico ao backend; avalia Mem0 (ChromaDB, embeddings) e Zep (grafo de conhecimento temporal) como componentes de memória	NA	NA	NA	NA — avalia agentes com GPT-5 e Gemini-2.5-Pro + ferramentas multi-plataforma (Slack, Linear, Git)	GPT-5, Gemini-2.5-Pro, GPT-4o-mini (embeddings para Mem0), GPT-4o (LLM-judge)	autonomo	sim	benchmark	MemTrack (47 instâncias curadas, multi-plataforma: Slack, Linear, Git em ambiente dockerizado)	Correctness (LLM-judge), Efficiency (tool call count), Redundancy (tool call overlap), tool call entropy	NR	LLM+NoMem, LLM+Mem0, LLM+Zep (para GPT-5 e Gemini-2.5-Pro)	NR	NR	NA	NR	NR	nao	LLMs de fronteira como GPT-5 atingem apenas ~60% de Correctness no MemTrack; componentes de memória (Mem0, Zep) não melhoram desempenho significativamente e aumentam redundância de tool calls (~21%). Desempenho degrada em perguntas de follow-up.	GPT-5+Mem0 0.610 vs GPT-5+NoMem 0.601 (+1.5%); Gemini+Mem0 0.118 vs Gemini+NoMem 0.144 (-18%); Zep sem ganho significativo	NR	sim	4.5	Dataset limitado a 47 instâncias; apenas dois LLMs avaliados; Mem0 e Zep usados com configurações padrão sem otimização; ambiente simulado pode não capturar complexidade total de workflows reais; sem avaliação de latência ou custo	Apenas GPT-5 e Gemini-2.5-Pro testados; Mem0 e Zep com configurações padrão; LLM-as-judge (GPT-4o) para Correctness pode introduzir viés; cenários simulados vs workflows empresariais reais; 5 runs para significância estatística em dataset pequeno	gap1_comparacao
I030	FT0092	TA00119	D00119	architecture	arch_skill_rule_library	yes_no_persistence_or_memory_ablation	classified_from_full_text_rationale	include_architecture	NA	Full text describes MACOG using a Memory Curator that stores verified Infrastructure-as-Code tuples and typed motifs with metadata, retrieves them during later plan/compile steps, and evaluates the multi-agent IaC generator on IaC-Eval with metrics and ablations.	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE	verified_from_full_text	Fresh search architecture extraction batch 006; controlled-comparison and quality status remain pending aggregate recomputation.	khan2025macog	Rana Nameer Hussain Khan, Dawood Wasif, Jin-Hee Cho, Ali Butt	2025	Multi-Agent Code-Orchestrated Generation for Reliable Infrastructure-as-Code	arXiv preprint (2510.03902)	preprint	outro	procedural	estruturado	heuristica	Memory Curator stores verified Infrastructure-as-Code tuples (P,T,Pi) with metadata, indexes typed motifs in a symbolic catalog and dense store, and returns typed motifs rather than raw code text for later planning and compilation.	hibrido	tarefa	sim	MACOG multi-agent IaC generation architecture with Architect, Provider Harmonizer, Engineer, Reviewer, Security Prover, Cost and Capacity Planner, DevOps, and Memory Curator	GPT-5, Gemini-2.5 Pro, GPT-4, GPT-3.5-turbo, Gemini 2.0 Flash, Magicoder, WizardCoder, CodeLlama	autonomo	NR	benchmark	IaC-Eval	IaC-Eval score, BLEU, CodeBERTScore, LLM-judge score, ablation scores	NR	Few-shot, chain-of-thought, multi-turn, RAG, and MACOG ablations without specialized agents/components.	NR	NR	Verified tuples and typed motifs can be accumulated in symbolic and dense stores; no growth curve or memory size limit is reported.	NR	NR	nao	MACOG improves IaC-Eval over prompt-only and RAG baselines. GPT-5 improves from 54.90 with RAG to 74.02 with MACOG, and Gemini-2.5 Pro improves from 43.56 with RAG to 60.13 with MACOG.	GPT-5 MACOG reaches 74.02 IaC-Eval, BLEU 11.86, CodeBERTScore 80.54, and LLM-judge 94.10. Ablations reduce IaC-Eval, including -Engineer at 64.89, -Security Prover at 61.45, -DevOps at 56.93, and -Memory Curator at 72.17.	NR; system includes a Cost and Capacity Planner but no extracted per-task monetary cost is reported.	nao	4.5	Evaluation is focused on Terraform/IaC generation; no source release or monetary/token cost data captured; memory-curator contribution is positive but smaller than some other component ablations.	IaC-Eval benchmark design, synthetic/task distribution, LLM-judge evaluation, Terraform/provider versioning, and multi-agent orchestration choices may affect external validity.	gap1_comparacao
I031	FT0022	TA00370	D00370	architecture	arch_experience_bank	yes_no_persistence_or_memory_ablation	classified_from_full_text_rationale	include_architecture	NA	Full text describes ReasoningBank as a memory framework that distills successful and failed experiences into reusable reasoning strategies, retrieves them for later tasks, and consolidates new experiences back into memory across web and software-engineering benchmarks.	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.AI;cs.CL; backward+forward | forward_from=chen2025sweexp;su2025learnbyinteract;tang2025agentkb | backward_from=zhang2025accelopt;memorytransfer2026	verified_from_full_text	Fresh search architecture extraction batch 006; controlled-comparison and quality status remain pending aggregate recomputation.	ouyang2025reasoningbank	Siru Ouyang, Jun Yan, I-Hung Hsu, Yanfei Chen, Ke Jiang, Zifeng Wang, Rujun Han, Long T. Le, Samira Daruki, Xiangru Tang, Vishy Tirumalashetty, George Lee, Mahsan Rofouei, Hangfei Lin, Jiawei Han, Chen-Yu Lee, Tomas Pfister	2025	ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory	arXiv preprint (2509.25140)	preprint	banco_experiencia	semantica	estruturado	self_control_llm	Reasoning memory items distilled from self-judged successful and failed trajectories, with structured fields such as title, description, and when-to-apply guidance; new experiences are consolidated back into the repository.	embeddings	tarefa	nao	ReasoningBank with memory-aware test-time scaling (MaTTS)	Gemini-2.5-flash, Gemini-2.5-pro and LLM-as-judge/extraction components	autonomo	sim	benchmark	WebArena, Mind2Web, SWE-bench Verified	Resolve rate, average interaction steps, benchmark success metrics, ablation scores	NR	No Memory, Synapse, AWM and success-only/failure-trajectory ablations	NR	NR	Memory grows as successful and failed experiences are distilled and consolidated after tasks; MaTTS scales interaction experience to synthesize higher-quality memory.	NR	NR	nao	ReasoningBank improves across web and software-engineering benchmarks. On SWE-bench Verified, Gemini-2.5-flash improves from 34.2% No Memory to 38.8%, and Gemini-2.5-pro improves from 54.0% to 57.4%, with fewer average interaction steps.	On SWE-bench Verified, Gemini-2.5-flash ReasoningBank reports 38.8% resolve versus 34.2% No Memory and 35.4% Synapse; Gemini-2.5-pro reports 57.4% versus 54.0% No Memory and 53.4% Synapse. Failure-trajectory ablations report larger gains than success-only memory variants.	Reports efficiency as fewer interaction steps: average 2.8 fewer steps than No Memory and 1.3 fewer than other memory baselines on SWE-bench Verified; no monetary cost extracted.	nao	5.5	Memory extraction and success/failure labeling rely on LLM judgments; software-engineering evidence centers on SWE-bench Verified; monetary cost and detailed memory-size scaling are not extracted here.	Benchmark mix, LLM-as-judge reliability, transfer from web to software-engineering tasks, model-family dependence, and reproduction of comparator memory mechanisms may affect validity.	gap1_comparacao
I032	FT0091	TA00117	D00117	architecture	arch_security_memory	no_no_persistence_or_nonmemory_baseline	classified_from_full_text_rationale	include_architecture	NA	Full text describes RedCodeAgent maintaining an adaptive memory of successful red-teaming experiences, storing trajectories, final evaluation results, and self-reflections, then retrieving similar entries for future red-teaming tasks against code agents, with broad attack-success evaluation.	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE	verified_from_full_text	Fresh search architecture extraction batch 006; controlled-comparison and quality status remain pending aggregate recomputation.	guo2025redcodeagent	Chengquan Guo, Chulin Xie, Yu Yang, Zhaorun Chen, Zinan Lin, Xander Davies, Yarin Gal, Dawn Song, Bo Li	2025	RedCodeAgent: Automatic Red-teaming Agent against Diverse Code Agents	arXiv preprint (2510.02609)	preprint	outro	episodica	hibrido	self_control_llm	Adaptive memory entries for successful attacks store risk scenario, risk description, attack trajectory, final evaluation result, and final self-reflection; memory starts empty and successful attacks are logged for later tasks.	embeddings	tarefa	nao	RedCodeAgent automated red-teaming agent	GPT-4o-mini base LLM; embedding model for memory retrieval	autonomo	NR	benchmark	RedCode-Exec, RedCode-Gen, RMCbench; 27 risk scenarios and 810 test cases across code agents and languages	Attack Success Rate (ASR), Refusal Rate (RR), language/task/agent-specific ASR and RR	NR	No Jailbreak, GCG, AmpleGCG, Advprompter, AutoDAN, retry variants, and multiple target code agents such as OCI, RA, Cursor, Codeium, and MetaGPT	NR	NR	Memory starts empty and accumulates successful red-teaming cases sequentially; top-K retrieval uses similarity with difficulty and trajectory-length penalties.	NR	NR	nao	RedCodeAgent achieves the highest ASR and lowest RR across reported benchmark/code-agent combinations. For example, on OCI RedCode-Exec it reports 72.47% ASR and 7.53% RR, and on RA RedCode-Gen it reports 81.52% ASR and 2.50% RR.	Compared with no-jailbreak and jailbreak baselines, RedCodeAgent reports higher ASR across RedCode-Exec, RedCode-Gen, and RMCbench. In selected subtasks it reaches 70.00% ASR/20.00% RR for deleting sensitive files and 93.33% ASR/6.67% RR for adding risky aliases.	NR	nao	4.5	Security red-teaming focus rather than general coding assistance; memory accumulates successful attacks and may depend on scenario sequencing; no monetary/token cost data captured.	Sandbox simulation, benchmark scenario selection, target-agent mix, LLM-based planning, dynamic tool selection, and attack-success definitions may affect external validity.	gap3_seguranca
I033	FT0017	TA00162	D00162	architecture	arch_security_memory	yes_no_persistence_or_memory_ablation	classified_from_full_text_rationale	include_architecture	NA	Full text describes Reflection-Driven Control with a reflective memory repository that writes new cases back to memory, continuously evolves accumulated knowledge, and evaluates security-oriented code generation.	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.CR;cs.AI;cs.SE	verified_from_full_text	Fresh search architecture extraction batch 006; controlled-comparison and quality status remain pending aggregate recomputation.	wang2025reflectiondriven	Bin Wang, Jiazheng Quan, Xingrui Yu, Hansen Hu, Yuhao, Ivor Tsang	2025	Reflection-Driven Control for Trustworthy Code Agents	arXiv preprint (2512.21354)	preprint	outro	hibrida	hibrido	self_control_llm	Evolving reflective memory repository with dynamic memory for newly safe/unsafe cases and structured reflection records, plus static memory of secure coding standards and vulnerability knowledge; retrieved examples and guidelines are injected into later reasoning.	hibrido	tarefa	nao	Reflection-Driven Control / Reflex module for secure code generation agents	gpt-3.5-turbo, gpt-4o, qwen3-coder-plus, gemini-2.5-pro	autonomo	NR	benchmark	125 secure-code evaluation scenarios across eight classes of security-critical programming tasks	Security rate, pass rate, effective total score, secure count, unresolved count, retrieval similarity, retrieval success rate, fallback usage rate, cost and token usage	NR	Base models without Reflex versus Base+Reflex across gpt-3.5-turbo, gpt-4o, qwen3-coder-plus, and gemini-2.5-pro	NR	NR	Dynamic memory grows as case metadata and structured reflection records are written back after safe and repaired unsafe generations; retrieval performance evolves over iterations.	Average cost per scenario $5.37e-4; average cost per successful repair $5.67e-4; total token usage 4.48e4 tokens over 125 scenarios.	NR; paper reports minimal runtime and token overhead rather than token reduction.	sim_detalhado	Reflection-Driven Control improves security and policy compliance while largely preserving functional correctness. Security rate gains include gpt-4o from 85.7 to 95.0, qwen3-coder-plus from 83.7 to 94.9, and gemini-2.5-pro from 88.0 to 97.1.	Base+Reflex improves security rate by +2.9 for gpt-3.5-turbo, +9.3 for gpt-4o, +11.2 for qwen3-coder-plus, and +9.1 for gemini-2.5-pro; pass rate is mostly preserved but decreases for qwen3-coder-plus (86.7 to 80.1).	Reports total cost $6.71e-2 for 125 scenarios, average $5.37e-4 per scenario, average $5.67e-4 per successful repair, and API price $1.5e-3 per 1K tokens; no direct baseline monetary comparison extracted.	sim	4.5	Secure-code-generation setting; dynamic memory depends on reflection/verdict quality; qwen3-coder-plus pass rate decreases in the reported summary; source availability is not captured.	Scenario construction, vulnerability-class coverage, model selection, verifier quality, LLM reflection reliability, and retrieval fallback thresholds may affect validity.	gap2_custo;gap3_seguranca
I034	FT0080	TA01629	D01629	boundary_case_study	boundary_not_final_architecture	not_applicable_contextual	classified_from_full_text_rationale	exclude_contextual	Boundary case-study evidence for agent-authored reusable operational/deployment artifacts in software-system development.	Full text describes Self-Defining Systems as an AI-agent workflow for infrastructure/software-system design, including a persistent agent-authored deployment playbook distilled from prior failures and reused on fresh VM deployments; it reports quantitative case-study results for two LLM runtime implementations, throughput, development time, and deployment-time reduction.	citations	search/results-citations.json	forward | forward_from=zhang2025darwingodel	verified_from_full_text	Boundary include retained as contextual systems-development evidence. Do not count as an architecture study because the paper reports a broad SDS workflow/case study and an agent-authored playbook, not a dedicated persistence architecture evaluated as the study contribution.	anderson2025selfdefining	Thomas Anderson, Ratul Mahajan, Simon Peter, Luke Zettlemoyer	2025	Self-Defining Systems	University of Washington white paper	preprint	NA	NA	NA	NA	Boundary SDS case study: specifications, intermediate artifacts, code, benchmark results, and an agent-authored key-solutions deployment playbook distilled from prior failures.	NA	NA	NA	Custom Self-Defining Systems workflow for LLM-runtime development	NR for the coding agents; Qwen3-0.6B is used as the runtime benchmark workload.	semi_autonomo	NR	estudo_caso	LLM runtime throughput benchmark on one NVIDIA L4 GPU in a GCP VM; nano-vLLM baseline; deployment-time case study.	Throughput tokens/s, speedup since inception, development time, deployment time, human intervention.	NA	nano-vLLM throughput, original Allmos baseline, naive PyTorch baseline, and human-in-the-loop deployment debugging.	NR	NR	NA	NR monetary cost; reports development and deployment time.	NA	sim_parcial	allmos v2 reaches about 1.7k tokens/s, near nano-vLLM at 1.76k tokens/s and 76x faster than the original Allmos baseline. A monolithic runtime reaches 1.2k tokens/s and 53x speedup. An agent-authored key-solutions playbook reduces fresh-VM deployment from about 90 minutes of human-in-the-loop debugging to about 6 minutes without human intervention, and development time drops from 35 days to 2 days for the second runtime.	76x speedup over original Allmos for allmos v2; 53x speedup for monolithic-llm-runtime since inception; deployment time about 90 minutes to about 6 minutes.	Reports time-efficiency gains rather than monetary cost.	sim	3.0	White paper and ongoing case study; no controlled multi-system benchmark of SDS as a persistence architecture; agents did not exceed nano-vLLM performance and plateaued on some optimization attempts.	Single infrastructure domain, prototype workflow, substantial human framing of goals/evaluation, and no independent replication.	gap3_complexidade
