included_id	id	title	architecture_denominator_decision	study_role	publication_group	tipo_venue	venue	quality_score	quality_band	retained_quality_ge_3_0	retained_quality_ge_4_0	retained_quality_ge_4_5	retained_quality_ge_5_0	controlled_group	strict_controlled	broad_controlled	peer_reviewed_only_retained	cost_reporting	adverse_evidence
I015	jansen2025codedistiller	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	include_architecture	architecture	preprint	preprint	arXiv preprint (2512.01089)	5.0	high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	no	sim	sim
I016	wong2025confucius	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	include_architecture	architecture	preprint	preprint	arXiv preprint (2512.10398)	5.5	very_high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	no	sim_parcial	nao
I017	zhang2025darwingodel	Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents	include_architecture	architecture	peer_reviewed	conferencia	ICLR 2026	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	yes	sim	sim
I018	lin2025eco	ECO: An LLM-Driven Efficient Code Optimizer for Warehouse Scale Computers	include_architecture	architecture	preprint	preprint	arXiv preprint (2503.15669)	4.5	moderate	yes	yes	yes	no	no_suitable_controlled_comparison	no	no	no	sim	sim
I019	yuksel2025evolattice	EvoLattice: Persistent Internal-Population Evolution through Multi-Alternative Quality-Diversity Graph Representations for LLM-Guided Program Discovery	include_architecture	architecture	preprint	preprint	arXiv preprint (2512.13857)	4.5	moderate	yes	yes	yes	no	broad_external_nonmemory_baseline	no	yes	no	nao	sim
I020	ou2025k3trans	Evolving Triple Knowledge-Augmented LLMs for Code Translation in Repository Context	include_architecture	architecture	preprint	preprint	arXiv preprint (2503.18305)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	sim
I021	mu2025experepair	EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair	include_architecture	architecture	preprint	preprint	arXiv preprint (2506.10484)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim	sim
I022	lindenbauer2025ctimrover	From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	include_architecture	architecture	peer_reviewed	workshop	arXiv preprint (2505.23422) / REALM Workshop ICML 2025	4.0	moderate_low	yes	yes	no	no	strict_no_persistence_or_memory_ablation	yes	yes	yes	nao	sim
I023	wu2025gcc	Git Context Controller: Manage the Context of LLM-based Agents like Git	include_architecture	architecture	preprint	preprint	arXiv preprint (2508.00031)	5.5	very_high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	no	sim_detalhado	nao
I024	wang2025huxleygodel	Huxley-Gödel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine	include_architecture	architecture	preprint	preprint	arXiv preprint (2510.21614)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim	sim
I025	wang2025repositorymemory	Improving Code Localization with Repository Memory	include_architecture	architecture	peer_reviewed	conferencia	ICLR 2026	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	yes	sim_parcial	nao
I026	kernelevolve2025	KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta	include_architecture	architecture	preprint	preprint	arXiv preprint (2512.23236)	4.5	moderate	yes	yes	yes	no	no_suitable_controlled_comparison	no	no	no	sim	sim
I027	yang2025lingxi	Lingxi: Repository-Level Issue Resolution Framework Enhanced by Procedural Knowledge Guided Scaling	include_architecture	architecture	preprint	preprint	arXiv preprint (2510.11838)	4.5	moderate	yes	yes	yes	no	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	nao
I028	srivastava2025memorygraft	MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval	exclude_contextual	contextual_security	preprint	preprint	arXiv preprint (2512.16962)	4.0	moderate_low	yes	yes	no	no	no_suitable_controlled_comparison	no	no	no	nao	sim
I029	deshpande2025memtrack	MemTrack: Evaluating Long-Term Memory and State Tracking in Multi-Platform Dynamic Agent Environments	exclude_contextual	contextual_benchmark	peer_reviewed	workshop	NeurIPS 2025 Workshop: Scaling Environments for Agents (SEA)	4.5	moderate	yes	yes	yes	no	no_suitable_controlled_comparison	no	no	yes	nao	sim
I030	khan2025macog	Multi-Agent Code-Orchestrated Generation for Reliable Infrastructure-as-Code	include_architecture	architecture	preprint	preprint	arXiv preprint (2510.03902)	4.5	moderate	yes	yes	yes	no	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	nao
I031	ouyang2025reasoningbank	ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory	include_architecture	architecture	preprint	preprint	arXiv preprint (2509.25140)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	nao
I032	guo2025redcodeagent	RedCodeAgent: Automatic Red-teaming Agent against Diverse Code Agents	include_architecture	architecture	preprint	preprint	arXiv preprint (2510.02609)	4.5	moderate	yes	yes	yes	no	no_suitable_controlled_comparison	no	no	no	nao	nao
I033	wang2025reflectiondriven	Reflection-Driven Control for Trustworthy Code Agents	include_architecture	architecture	preprint	preprint	arXiv preprint (2512.21354)	4.5	moderate	yes	yes	yes	no	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_detalhado	sim
I034	anderson2025selfdefining	Self-Defining Systems	exclude_contextual	boundary_case_study	preprint	preprint	University of Washington white paper	3.0	low_retained	yes	no	no	no	no_suitable_controlled_comparison	no	no	no	sim_parcial	sim
I035	tablan2025smarter	Smarter Together: Creating Agentic Communities of Practice through Shared Experiential Learning	include_architecture	architecture	preprint	preprint	arXiv preprint (2511.08301)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	nao
I036	joshi2025swebenchcl	SWE-Bench-CL: Continual Learning for Coding Agents	exclude_contextual	contextual_benchmark	preprint	preprint	arXiv preprint (2507.00014)	5.0	high	yes	yes	yes	yes	no_suitable_controlled_comparison	no	no	no	nao	sim
I037	chen2025sweexp	SWE-Exp: Experience-Driven Software Issue Resolution	include_architecture	architecture	preprint	preprint	arXiv preprint (2507.23361)	6.0	very_high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	no	sim_detalhado	sim
I038	feng2025tai3	TAI3: Testing Agent Integrity in Interpreting User Intent	include_architecture	architecture	preprint	preprint	arXiv preprint (2506.07524)	4.5	moderate	yes	yes	yes	no	broad_external_nonmemory_baseline	no	yes	no	nao	nao
I039	shen2025talm	TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	include_architecture	architecture	peer_reviewed	workshop	International Workshop on Agentic Engineering (AGENT 2026)	4.5	moderate	yes	yes	yes	no	broad_external_nonmemory_baseline	no	yes	yes	sim_parcial	sim
I040	zhou2025tomswe	TOM-SWE: User Mental Modeling For Software Engineering Agents	include_architecture	architecture	preprint	preprint	arXiv preprint (2510.21903)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_detalhado	sim
I041	cao2025hxagent	Toward Generation of Test Cases from Task Descriptions via History-aware Planning	include_architecture	architecture	preprint	preprint	arXiv preprint (2504.14336)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I042	hosain2025xolver	Xolver: Multi-Agent Reasoning with Holistic Experience Learning Just Like an Olympiad Team	include_architecture	architecture	preprint	preprint	arXiv preprint (2506.14234)	5.5	very_high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	no	sim_parcial	nao
I043	du2026adaexplore	AdaExplore: Failure-Driven Adaptation and Diversity-Preserving Search for Efficient Kernel Generation	include_architecture	architecture	preprint	preprint	arXiv preprint (2604.16625)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	sim
I044	zhang2026agentdevel	AgentDevel: Reframing Self-Evolving LLM Agents as Release Engineering	include_architecture	architecture	preprint	preprint	arXiv preprint (2601.04620)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I045	tan2026agentga	AgentGA: Evolving Code Solutions in Agent-Seed Space	include_architecture	architecture	preprint	preprint	arXiv preprint (2604.14655)	4.5	moderate	yes	yes	yes	no	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I046	banerjee2026apexem	APEX-EM: Non-Parametric Online Learning for Autonomous Agents via Structured Procedural-Episodic Experience Replay	include_architecture	architecture	preprint	preprint	arXiv preprint (2603.29093)	4.0	moderate_low	yes	yes	no	no	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I047	xiang2026beam	BEAM: Bi-level Memory-adaptive Algorithmic Evolution for LLM-Powered Heuristic Design	include_architecture	architecture	preprint	preprint	IEEE Transactions on Neural Networks and Learning Systems / arXiv preprint (2604.12898)	4.5	moderate	yes	yes	yes	no	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I048	bai2026patchadvisor	Beyond Crash-to-Patch: Patch Evolution for Linux Kernel Repair	include_architecture	architecture	preprint	preprint	arXiv preprint (2604.03851)	4.5	moderate	yes	yes	yes	no	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	sim
I049	he2026coredteam	Co-RedTeam: Orchestrated Security Discovery and Exploitation with LLM Agents	include_architecture	architecture	preprint	preprint	arXiv preprint (2602.02164)	4.5	moderate	yes	yes	yes	no	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	nao
I050	vogel2026codebasememory	Codebase-Memory: Tree-Sitter-Based Knowledge Graphs for LLM Code Exploration via MCP	include_architecture	architecture	preprint	preprint	arXiv preprint (2603.27277)	5.0	high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	no	sim_parcial	sim
I051	zhang2026coevoskills	CoEvoSkills: Self-Evolving Agent Skills via Co-Evolutionary Verification	include_architecture	architecture	preprint	preprint	arXiv preprint (2604.01687)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I052	muhtar2026complementaryrl	Complementary Reinforcement Learning	include_architecture	architecture	preprint	preprint	arXiv preprint (2603.17621)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I053	hu2026cse	Controlled Self-Evolution for Algorithmic Code Optimization	include_architecture	architecture	preprint	preprint	arXiv preprint (2601.07348)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	sim
I054	qu2026coral	CORAL: Towards Autonomous Multi-Agent Evolution for Open-Ended Discovery	include_architecture	architecture	preprint	preprint	arXiv preprint (2604.01658)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_detalhado	sim
I055	jiang2026darwin	DARWIN: Dynamic Agentically Rewriting Self-Improving Network	include_architecture	architecture	preprint	preprint	arXiv preprint (2602.05848)	3.5	low_retained	yes	no	no	no	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I056	shen2026decocted	Decocted Experience Improves Test-Time Inference in LLM Agents	include_architecture	architecture	preprint	preprint	arXiv preprint (2604.04373)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I057	zhang2026docksmith	DockSmith: Scaling Reliable Coding Environments via an Agentic Docker Builder	include_architecture	architecture	preprint	preprint	arXiv preprint (2602.00592)	5.5	very_high	yes	yes	yes	yes	no_suitable_controlled_comparison	no	no	no	sim_parcial	sim
I058	wang2026domagent	DomAgent: Leveraging Knowledge Graphs and Case-Based Reasoning for Domain-Specific Code Generation	include_architecture	architecture	peer_reviewed	conferencia	AAMAS 2026 preprint	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	yes	nao	sim
I059	guo2026eet	EET: Experience-Driven Early Termination for Cost-Efficient Software Engineering Agents	include_architecture	architecture	preprint	preprint	arXiv preprint (2601.05777)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_detalhado	nao
I060	wang2026effiskill	EffiSkill: Agent Skill Based Automated Code Efficiency Optimization	include_architecture	architecture	preprint	preprint	arXiv preprint (2603.27850)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I061	ma2026failuremem	FailureMem: A Failure-Aware Multimodal Framework for Autonomous Software Repair	include_architecture	architecture	preprint	preprint	arXiv preprint (2603.17826)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_detalhado	sim
I062	weng2026groupevolving	Group-Evolving Agents: Open-Ended Self-Improvement via Experience Sharing	include_architecture	architecture	preprint	preprint	arXiv preprint (2602.04837)	4.5	moderate	yes	yes	yes	no	no_suitable_controlled_comparison	no	no	no	sim_detalhado	sim
I063	nadafian2026kapso	KAPSO: A Knowledge-grounded framework for Autonomous Program Synthesis and Optimization	include_architecture	architecture	preprint	preprint	arXiv preprint (2601.21526)	5.5	very_high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	no	sim_parcial	nao
I064	dong2026kernelblaster	KernelBlaster: Continual Cross-Task CUDA Optimization via Memory-Augmented In-Context Reinforcement Learning	include_architecture	architecture	preprint	preprint	arXiv preprint (2602.14293)	4.5	moderate	yes	yes	yes	no	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	nao
I065	sun2026kernelskill	KernelSkill: A Multi-Agent Framework for GPU Kernel Optimization	include_architecture	architecture	preprint	preprint	arXiv preprint (2603.10085)	5.0	high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	no	sim_parcial	sim
I066	zhao2026phyloevolve	Large Language Model-Powered Evolutionary Code Optimization on a Phylogenetic Tree	include_architecture	architecture	preprint	preprint	arXiv preprint (2601.14523)	5.0	high	yes	yes	yes	yes	no_suitable_controlled_comparison	no	no	no	sim_parcial	sim
I067	fu2026latentmem	LatentMem: Customizing Latent Memory for Multi-Agent Systems	include_architecture	architecture	preprint	preprint	arXiv preprint (2602.03036)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_detalhado	sim
I068	li2026learningcommit	Learning to Commit: Generating Organic Pull Requests via Online Repository Memory	include_architecture	architecture	preprint	preprint	arXiv preprint (2603.26664)	3.5	low_retained	yes	no	no	no	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I069	li2026memcoder	MEMCoder: Multi-dimensional Evolving Memory for Private-Library-Oriented Code Generation	include_architecture	architecture	preprint	preprint	arXiv preprint (2604.24222)	4.5	moderate	yes	yes	yes	no	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_detalhado	sim
I070	chang2026memcollab	MemCollab: Cross-Agent Memory Collaboration via Contrastive Trajectory Distillation	include_architecture	architecture	preprint	preprint	arXiv preprint (2603.23234)	4.5	moderate	yes	yes	yes	no	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I071	wang2026memgovern	MemGovern: Enhancing Code Agents through Learning from Governed Human Experiences	include_architecture	architecture	preprint	preprint	arXiv preprint (2601.06789)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_detalhado	nao
I072	du2026memory	Memory for Autonomous LLM Agents: Mechanisms, Evaluation, and Emerging Frontiers	exclude_contextual	contextual_survey	preprint	preprint	arXiv preprint (2603.07670)	2.5	below_protocol_threshold	no	no	no	no	no_suitable_controlled_comparison	no	no	no	NA	NA
I073	kim2026memorytransfer	Memory Transfer Learning: How Memories are Transferred Across Domains in Coding Agents	include_architecture	architecture	preprint	preprint	arXiv preprint (2604.14004)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	sim
I074	feng2026odel	ODEL: An Experience-Augmented Self-Evolving Framework for Efficient Python-to-C++ Code Translation	include_architecture	architecture	peer_reviewed	periodico	Applied Sciences 16(3), 1506	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	yes	sim_parcial	sim
I075	lulla2026agentsmd	On the Impact of AGENTS.md Files on the Efficiency of AI Coding Agents	exclude_contextual	contextual_human_artifact	peer_reviewed	workshop	ICSE JAWs 2026	4.0	moderate_low	yes	yes	no	no	no_suitable_controlled_comparison	no	no	yes	sim_detalhado	nao
I076	jiang2026opengame	OpenGame: Open Agentic Coding for Games	include_architecture	architecture	preprint	preprint	arXiv preprint (2604.18394)	5.0	high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	no	nao	sim
I077	li2026opensage	OpenSage: Self-programming Agent Generation Engine	include_architecture	architecture	preprint	preprint	arXiv preprint (2602.16891)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I078	li2026ocrd	Outcome-Conditioned Reasoning Distillation for Resolving Software Issues	include_architecture	architecture	preprint	preprint	arXiv preprint (2601.23257)	5.0	high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	no	sim_detalhado	sim
I079	wu2026reasoningmemory	Procedural Knowledge at Scale Improves Reasoning	include_architecture	architecture	preprint	preprint	arXiv preprint (2604.01348)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I080	hao2026recreate	ReCreate: Reasoning and Creating Domain Agents Driven by Experience	include_architecture	architecture	preprint	preprint	arXiv preprint (2601.11100)	5.5	very_high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	no	sim_parcial	sim
I081	gangireddi2026revere	REVERE: Reflective Evolving Research Engineer for Scientific Workflows	include_architecture	architecture	preprint	preprint	arXiv preprint (2603.20667)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_detalhado	sim
I082	singh2026ruleflow	RuleFlow: Generating Reusable Program Optimizations with LLMs	include_architecture	architecture	preprint	preprint	arXiv preprint (2602.09051)	5.0	high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	no	sim_parcial	sim
I083	wu2026llmamem	Scaling Teams or Scaling Time? Memory Enabled Lifelong Learning in LLM Multi-Agent Systems	include_architecture	architecture	preprint	preprint	arXiv preprint (2604.03295)	5.5	very_high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_detalhado	sim
I084	yuan2026sebench	SE-Bench: Benchmarking Self-Evolution with Knowledge Internalization	exclude_contextual	contextual_benchmark	preprint	preprint	arXiv preprint (2602.04811)	4.5	moderate	yes	yes	yes	no	no_suitable_controlled_comparison	no	no	no	nao	sim
I085	banerjee2026severa	SEVerA: Verified Self-Evolving Agents	include_architecture	architecture	preprint	preprint	arXiv preprint (2603.25111)	5.5	very_high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	no	sim_parcial	sim
I086	fahim2026selfevolve	Software Self-Extension with SelfEvolve: an Agentic Architecture for Runtime Code Generation	include_architecture	architecture	peer_reviewed	conference	SEAMS '26	4.0	moderate_low	yes	yes	no	no	broad_external_nonmemory_baseline	no	yes	yes	nao	sim
I087	shen2026structurally	Structurally Aligned Subtask-Level Memory for Software Engineering Agents	include_architecture	architecture	preprint	preprint	arXiv preprint (2602.21611)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	nao
I088	bhardwaj2026superlocalmemory	SuperLocalMemory V3.3: The Living Brain -- Biologically-Inspired Forgetting, Cognitive Quantization, and Multi-Channel Retrieval for Zero-LLM Agent Memory Systems	include_architecture	architecture	preprint	preprint	arXiv preprint (2604.04514)	4.5	moderate	yes	yes	yes	no	no_suitable_controlled_comparison	no	no	no	sim_parcial	sim
I089	zhu2026swecontextbench	SWE Context Bench: A Benchmark for Context Learning in Coding	exclude_contextual	contextual_benchmark	preprint	preprint	arXiv preprint (2602.08316)	4.5	moderate	yes	yes	yes	no	no_suitable_controlled_comparison	no	no	no	sim_detalhado	sim
I090	zhang2026textbfgs	TextBFGS: A Case-Based Reasoning Approach to Code Optimization via Error-Operator Retrieval	include_architecture	architecture	preprint	preprint	arXiv preprint (2602.00059)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_detalhado	sim
I091	chen2026aiscientist	Toward Autonomous Long-Horizon Engineering for ML Research	include_architecture	architecture	preprint	preprint	arXiv preprint (2604.13018)	4.5	moderate	yes	yes	yes	no	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_detalhado	sim
I092	li2026traversalaspolicy	Traversal-as-Policy: Log-Distilled Gated Behavior Trees as Externalized, Verifiable Policies for Safe, Robust, and Efficient Agents	include_architecture	architecture	preprint	preprint	arXiv preprint (2603.05517)	5.5	very_high	yes	yes	yes	yes	broad_external_nonmemory_baseline	no	yes	no	sim_parcial	nao
I093	yan2026slump	When the Specification Emerges: Benchmarking Faithfulness Loss in Long-Horizon Coding Agents	include_architecture	architecture	preprint	preprint	arXiv preprint (2603.17104)	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_parcial	sim
I094	deng2026memcoder	Your Code Agent Can Grow Alongside You with Structured Memory	include_architecture	architecture	preprint	preprint	arXiv preprint (2603.13258)	4.5	moderate	yes	yes	yes	no	strict_no_persistence_or_memory_ablation	yes	yes	no	nao	nao
I095	gangireddi2026sare	Self-Adapting Agents for Automating Research Coding Workflows	include_architecture	architecture	preprint	preprint	ICLR 2026 Workshop RSI Poster	5.0	high	yes	yes	yes	yes	strict_no_persistence_or_memory_ablation	yes	yes	no	sim_detalhado	sim
