included_id	bibtex_key	coverage_status	bib_files	study_role	architecture_denominator_decision	year	title	venue	source_routes	source_files
I037	chen2025sweexp	present	references/included-studies.bib	architecture	include_architecture	2025	SWE-Exp: Experience-Driven Software Issue Resolution	arXiv preprint (2507.23361)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I038	feng2025tai3	present	references/included-studies.bib	architecture	include_architecture	2025	TAI3: Testing Agent Integrity in Interpreting User Intent	arXiv preprint (2506.07524)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I039	shen2025talm	present	references/included-studies.bib	architecture	include_architecture	2025	TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	International Workshop on Agentic Engineering (AGENT 2026)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I040	zhou2025tomswe	present	references/included-studies.bib	architecture	include_architecture	2025	TOM-SWE: User Mental Modeling For Software Engineering Agents	arXiv preprint (2510.21903)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I041	cao2025hxagent	present	references/included-studies.bib	architecture	include_architecture	2025	Toward Generation of Test Cases from Task Descriptions via History-aware Planning	arXiv preprint (2504.14336)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I042	hosain2025xolver	present	references/included-studies.bib	architecture	include_architecture	2025	Xolver: Multi-Agent Reasoning with Holistic Experience Learning Just Like an Olympiad Team	arXiv preprint (2506.14234)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I043	du2026adaexplore	present	references/included-studies.bib	architecture	include_architecture	2026	AdaExplore: Failure-Driven Adaptation and Diversity-Preserving Search for Efficient Kernel Generation	arXiv preprint (2604.16625)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I044	zhang2026agentdevel	present	references/included-studies.bib	architecture	include_architecture	2026	AgentDevel: Reframing Self-Evolving LLM Agents as Release Engineering	arXiv preprint (2601.04620)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I045	tan2026agentga	present	references/included-studies.bib	architecture	include_architecture	2026	AgentGA: Evolving Code Solutions in Agent-Seed Space	arXiv preprint (2604.14655)	citations	search/results-citations.json
I046	banerjee2026apexem	present	references/included-studies.bib	architecture	include_architecture	2026	APEX-EM: Non-Parametric Online Learning for Autonomous Agents via Structured Procedural-Episodic Experience Replay	arXiv preprint (2603.29093)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I047	xiang2026beam	present	references/included-studies.bib	architecture	include_architecture	2026	BEAM: Bi-level Memory-adaptive Algorithmic Evolution for LLM-Powered Heuristic Design	IEEE Transactions on Neural Networks and Learning Systems / arXiv preprint (2604.12898)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I048	bai2026patchadvisor	present	references/included-studies.bib	architecture	include_architecture	2026	Beyond Crash-to-Patch: Patch Evolution for Linux Kernel Repair	arXiv preprint (2604.03851)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I049	he2026coredteam	present	references/included-studies.bib	architecture	include_architecture	2026	Co-RedTeam: Orchestrated Security Discovery and Exploitation with LLM Agents	arXiv preprint (2602.02164)	citations	search/results-citations.json
I050	vogel2026codebasememory	present	references/included-studies.bib	architecture	include_architecture	2026	Codebase-Memory: Tree-Sitter-Based Knowledge Graphs for LLM Code Exploration via MCP	arXiv preprint (2603.27277)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I051	zhang2026coevoskills	present	references/included-studies.bib	architecture	include_architecture	2026	CoEvoSkills: Self-Evolving Agent Skills via Co-Evolutionary Verification	arXiv preprint (2604.01687)	citations	search/results-citations.json
I052	muhtar2026complementaryrl	present	references/included-studies.bib	architecture	include_architecture	2026	Complementary Reinforcement Learning	arXiv preprint (2603.17621)	citations	search/results-citations.json
I053	hu2026cse	present	references/included-studies.bib	architecture	include_architecture	2026	Controlled Self-Evolution for Algorithmic Code Optimization	arXiv preprint (2601.07348)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I054	qu2026coral	present	references/included-studies.bib	architecture	include_architecture	2026	CORAL: Towards Autonomous Multi-Agent Evolution for Open-Ended Discovery	arXiv preprint (2604.01658)	citations	search/results-citations.json
I055	jiang2026darwin	present	references/included-studies.bib	architecture	include_architecture	2026	DARWIN: Dynamic Agentically Rewriting Self-Improving Network	arXiv preprint (2602.05848)	citations	search/results-citations.json
I056	shen2026decocted	present	references/included-studies.bib	architecture	include_architecture	2026	Decocted Experience Improves Test-Time Inference in LLM Agents	arXiv preprint (2604.04373)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I057	zhang2026docksmith	present	references/included-studies.bib	architecture	include_architecture	2026	DockSmith: Scaling Reliable Coding Environments via an Agentic Docker Builder	arXiv preprint (2602.00592)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I058	wang2026domagent	present	references/included-studies.bib	architecture	include_architecture	2026	DomAgent: Leveraging Knowledge Graphs and Case-Based Reasoning for Domain-Specific Code Generation	AAMAS 2026 preprint	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I059	guo2026eet	present	references/included-studies.bib	architecture	include_architecture	2026	EET: Experience-Driven Early Termination for Cost-Efficient Software Engineering Agents	arXiv preprint (2601.05777)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I060	wang2026effiskill	present	references/included-studies.bib	architecture	include_architecture	2026	EffiSkill: Agent Skill Based Automated Code Efficiency Optimization	arXiv preprint (2603.27850)	citations	search/results-citations.json
I061	ma2026failuremem	present	references/included-studies.bib	architecture	include_architecture	2026	FailureMem: A Failure-Aware Multimodal Framework for Autonomous Software Repair	arXiv preprint (2603.17826)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I062	weng2026groupevolving	present	references/included-studies.bib	architecture	include_architecture	2026	Group-Evolving Agents: Open-Ended Self-Improvement via Experience Sharing	arXiv preprint (2602.04837)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I063	nadafian2026kapso	present	references/included-studies.bib	architecture	include_architecture	2026	KAPSO: A Knowledge-grounded framework for Autonomous Program Synthesis and Optimization	arXiv preprint (2601.21526)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I064	dong2026kernelblaster	present	references/included-studies.bib	architecture	include_architecture	2026	KernelBlaster: Continual Cross-Task CUDA Optimization via Memory-Augmented In-Context Reinforcement Learning	arXiv preprint (2602.14293)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I065	sun2026kernelskill	present	references/included-studies.bib	architecture	include_architecture	2026	KernelSkill: A Multi-Agent Framework for GPU Kernel Optimization	arXiv preprint (2603.10085)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I066	zhao2026phyloevolve	present	references/included-studies.bib	architecture	include_architecture	2026	Large Language Model-Powered Evolutionary Code Optimization on a Phylogenetic Tree	arXiv preprint (2601.14523)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I067	fu2026latentmem	present	references/included-studies.bib	architecture	include_architecture	2026	LatentMem: Customizing Latent Memory for Multi-Agent Systems	arXiv preprint (2602.03036)	citations	search/results-citations.json
I068	li2026learningcommit	present	references/included-studies.bib	architecture	include_architecture	2026	Learning to Commit: Generating Organic Pull Requests via Online Repository Memory	arXiv preprint (2603.26664)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I069	li2026memcoder	present	references/included-studies.bib	architecture	include_architecture	2026	MEMCoder: Multi-dimensional Evolving Memory for Private-Library-Oriented Code Generation	arXiv preprint (2604.24222)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I070	chang2026memcollab	present	references/included-studies.bib	architecture	include_architecture	2026	MemCollab: Cross-Agent Memory Collaboration via Contrastive Trajectory Distillation	arXiv preprint (2603.23234)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I071	wang2026memgovern	present	references/included-studies.bib	architecture	include_architecture	2026	MemGovern: Enhancing Code Agents through Learning from Governed Human Experiences	arXiv preprint (2601.06789)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I072	du2026memory	present	references/included-studies.bib	contextual_survey	exclude_contextual	2026	Memory for Autonomous LLM Agents: Mechanisms, Evaluation, and Emerging Frontiers	arXiv preprint (2603.07670)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I073	kim2026memorytransfer	present	references/included-studies.bib	architecture	include_architecture	2026	Memory Transfer Learning: How Memories are Transferred Across Domains in Coding Agents	arXiv preprint (2604.14004)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I074	feng2026odel	present	references/included-studies.bib	architecture	include_architecture	2026	ODEL: An Experience-Augmented Self-Evolving Framework for Efficient Python-to-C++ Code Translation	Applied Sciences 16(3), 1506	scopus	search/scopus-results-family-c-strong-memory-se.json
I075	lulla2026agentsmd	present	references/included-studies.bib	contextual_human_artifact	exclude_contextual	2026	On the Impact of AGENTS.md Files on the Efficiency of AI Coding Agents	ICSE JAWs 2026	citations	search/results-citations.json
I076	jiang2026opengame	present	references/included-studies.bib	architecture	include_architecture	2026	OpenGame: Open Agentic Coding for Games	arXiv preprint (2604.18394)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I077	li2026opensage	present	references/included-studies.bib	architecture	include_architecture	2026	OpenSage: Self-programming Agent Generation Engine	arXiv preprint (2602.16891)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I078	li2026ocrd	present	references/included-studies.bib	architecture	include_architecture	2026	Outcome-Conditioned Reasoning Distillation for Resolving Software Issues	arXiv preprint (2601.23257)	citations	search/results-citations.json
I079	wu2026reasoningmemory	present	references/included-studies.bib	architecture	include_architecture	2026	Procedural Knowledge at Scale Improves Reasoning	arXiv preprint (2604.01348)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I080	hao2026recreate	present	references/included-studies.bib	architecture	include_architecture	2026	ReCreate: Reasoning and Creating Domain Agents Driven by Experience	arXiv preprint (2601.11100)	citations	search/results-citations.json
I081	gangireddi2026revere	present	references/included-studies.bib	architecture	include_architecture	2026	REVERE: Reflective Evolving Research Engineer for Scientific Workflows	arXiv preprint (2603.20667)	citations	search/results-citations.json
I082	singh2026ruleflow	present	references/included-studies.bib	architecture	include_architecture	2026	RuleFlow: Generating Reusable Program Optimizations with LLMs	arXiv preprint (2602.09051)	citations	search/results-citations.json
I083	wu2026llmamem	present	references/included-studies.bib	architecture	include_architecture	2026	Scaling Teams or Scaling Time? Memory Enabled Lifelong Learning in LLM Multi-Agent Systems	arXiv preprint (2604.03295)	citations	search/results-citations.json
I084	yuan2026sebench	present	references/included-studies.bib	contextual_benchmark	exclude_contextual	2026	SE-Bench: Benchmarking Self-Evolution with Knowledge Internalization	arXiv preprint (2602.04811)	citations	search/results-citations.json
I085	banerjee2026severa	present	references/included-studies.bib	architecture	include_architecture	2026	SEVerA: Verified Self-Evolving Agents	arXiv preprint (2603.25111)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I086	fahim2026selfevolve	present	references/included-studies.bib	architecture	include_architecture	2026	Software Self-Extension with SelfEvolve: an Agentic Architecture for Runtime Code Generation	SEAMS '26	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I087	shen2026structurally	present	references/included-studies.bib	architecture	include_architecture	2026	Structurally Aligned Subtask-Level Memory for Software Engineering Agents	arXiv preprint (2602.21611)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I088	bhardwaj2026superlocalmemory	present	references/included-studies.bib	architecture	include_architecture	2026	SuperLocalMemory V3.3: The Living Brain -- Biologically-Inspired Forgetting, Cognitive Quantization, and Multi-Channel Retrieval for Zero-LLM Agent Memory Systems	arXiv preprint (2604.04514)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I089	zhu2026swecontextbench	present	references/included-studies.bib	contextual_benchmark	exclude_contextual	2026	SWE Context Bench: A Benchmark for Context Learning in Coding	arXiv preprint (2602.08316)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I090	zhang2026textbfgs	present	references/included-studies.bib	architecture	include_architecture	2026	TextBFGS: A Case-Based Reasoning Approach to Code Optimization via Error-Operator Retrieval	arXiv preprint (2602.00059)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I091	chen2026aiscientist	present	references/included-studies.bib	architecture	include_architecture	2026	Toward Autonomous Long-Horizon Engineering for ML Research	arXiv preprint (2604.13018)	citations	search/results-citations.json
I092	li2026traversalaspolicy	present	references/included-studies.bib	architecture	include_architecture	2026	Traversal-as-Policy: Log-Distilled Gated Behavior Trees as Externalized, Verifiable Policies for Safe, Robust, and Efficient Agents	arXiv preprint (2603.05517)	arxiv_chunk	search/arxiv-query-chunk-results.tsv
I093	yan2026slump	present	references/included-studies.bib	architecture	include_architecture	2026	When the Specification Emerges: Benchmarking Faithfulness Loss in Long-Horizon Coding Agents	arXiv preprint (2603.17104)	citations	search/results-citations.json
I094	deng2026memcoder	present	references/included-studies.bib	architecture	include_architecture	2026	Your Code Agent Can Grow Alongside You with Structured Memory	arXiv preprint (2603.13258)	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json
I095	gangireddi2026sare	present	references/included-studies.bib	architecture	include_architecture	2026	Self-Adapting Agents for Automating Research Coding Workflows	ICLR 2026 Workshop RSI Poster	citations	search/results-citations.json
