included_id	id	title	resultado_negativo	adverse_mechanism_classes	controlled_comparison_status	architecture_status	limitacoes	ameacas_validade	custo_vs_baseline
I012	kong2025alphaopt	AlphaOPT: Formulating Optimization Programs with Self-Improving LLM Experience Library	nao	no_adverse_evidence	yes_no_persistence_or_memory_ablation	arch_experience_bank	Focused on optimization modeling and solver-backed code; relies on solver verification and task ground-truth objectives; no token or monetary cost reporting; theoretical convergence argument is presented as a principled sketch rather than a strict theorem.	Dataset overlap in competing fine-tuning baselines, stochasticity in LLM outputs, task-family distribution, and solver-specific verification rules may affect external validity.	NR
I013	yu2025satlution	Autonomous Code Evolution Meets NP-Completeness	sim	benchmark_or_domain_generalization;verification_or_correctness_failure;human_or_workflow_dependence;hardware_or_platform_dependence	no_no_persistence_or_nonmemory_baseline	arch_self_evolution_archive	Fully automated operation struggled; the effective setup used targeted human intervention for high-level direction; agents were prone to SAT/UNSAT correctness failures and memory errors such as segmentation faults; domain-specific idea generation remained weak.	Hardware/evaluator differences versus official SAT Competition runs, domain-specific SAT benchmarks, human steering in later stages, and repository-scale verification choices affect reproducibility and generalization.	NR
I015	jansen2025codedistiller	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;verification_or_correctness_failure	yes_nonmemory_external_baseline	arch_skill_rule_library	LLM-as-judge overestimates success, especially for GPT-OSS-120B; unsuccessful examples cost more because debugging reaches hard iteration limits; domain-expert evaluation is limited to a subsample and downstream tasks are materials-science specific.	Materials-science domain focus, repository filtering, domain-expert subsampling, judge-model preference evaluation, run budget, and debug-iteration caps may affect external validity.	Claude-generated examples cost 19 times more on average than GPT-OSS examples; no downstream cost reduction claim is reported.
I016	wong2025confucius	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	nao	no_adverse_evidence	yes_nonmemory_external_baseline	arch_persistent_workspace_state	PyTorch-Bench não diretamente comparável com SWE-Bench-Pro por diferenças de ambiente de execução; avaliação de notas limitada a 151 instâncias; meta-agent co-desenvolvido com benchmarks de avaliação; SDK não totalmente open-source	SWE-Bench-Verified sensível ao thinking budget do modelo; comparação com sistemas proprietários (Anthropic, OpenAI) pode ter diferenças não controladas de infraestrutura; meta-agent refinado nos mesmos benchmarks de avaliação pode levar a overfitting	NR
I017	zhang2025darwingodel	Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;safety_or_security_risk;human_or_workflow_dependence	yes_no_persistence_or_memory_ablation	arch_self_evolution_archive	Requires extensive compute and significant API cost; assumes coding benchmark gains reflect better self-improvement ability; archive maintenance/parent selection is fixed rather than self-modified; safety requires sandboxing, resource limits, and human oversight.	Uses staged subsets for cost control; results depend on Claude/o3-mini models, benchmark sampling, stochastic self-modification, and sandboxed execution constraints.	DGM SWE-bench run is about $22,000 versus about $10,000 for either baseline run, so performance gains come at materially higher API cost.
I018	lin2025eco	ECO: An LLM-Driven Efficient Code Optimizer for Warehouse Scale Computers	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;human_or_workflow_dependence	no_no_persistence_or_nonmemory_baseline	arch_experience_bank	Operated by human engineers who choose anti-patterns and intervene when needed; all code requires code review; system is evaluated in a proprietary Google production environment; no public source release.	Production-internal codebase, sanitized examples, human-review policy, continuous profiler assumptions, anti-pattern selection, and infrastructure-specific normalized-core metric may limit external replication.	Reports normalized-core resource savings rather than per-task API cost; no direct monetary LLM-cost baseline is provided.
I019	yuksel2025evolattice	EvoLattice: Persistent Internal-Population Evolution through Multi-Alternative Quality-Diversity Graph Representations for LLM-Guided Program Discovery	sim	memory_growth_or_context_pressure;cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence	yes_nonmemory_external_baseline	arch_self_evolution_archive	Combinatorial path growth creates scalability pressure; evaluating all paths becomes costly as nodes and alternatives increase; pruning introduces a tradeoff between exploration and compactness.	Training-free NAS proxy benchmark focus, synthetic/meta-learning task setup, GPT-OSS-20B configuration, and path-sampling choices may affect generalization to full agent systems.	NR
I020	ou2025k3trans	Evolving Triple Knowledge-Augmented LLMs for Code Translation in Repository Context	sim	retrieval_or_memory_noise;memory_growth_or_context_pressure;cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;verification_or_correctness_failure;human_or_workflow_dependence	yes_no_persistence_or_memory_ablation	arch_repository_memory	Too many target-language code samples can introduce noise; benchmark target language is Rust only; possible data leakage between RustRepoTrans and target-language sample sources; one-iteration repair is used for cost-effectiveness.	Rust-only benchmark, possible overlap between benchmark and retrieved code samples, retrieval strategy settings, translation order randomness, and LLM choice may affect generalizability.	NR
I021	mu2025experepair	EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;verification_or_correctness_failure	yes_no_persistence_or_memory_ablation	arch_experience_bank	Less emphasis on bug localization; memories may contain a narrow subset of successful localization cases, limiting diversity and coverage.	SWE-bench Lite as sole benchmark, historical repair trajectory selection, LLM choice, cost estimates, and comparison to published baseline numbers may affect validity.	DARS has comparable 47.0% resolved rate but nearly six times higher average cost ($12.24 vs $2.07).
I022	lindenbauer2025ctimrover	From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	sim	retrieval_or_memory_noise;benchmark_or_domain_generalization;model_or_provider_dependence;verification_or_correctness_failure	yes_no_persistence_or_memory_ablation	arch_experience_bank	Amostra de teste pequena (45 instâncias); ~10% amostras removidas por problemas de ambiente; KD limitado a pares de trajetórias; CTIM não filtrado por relevância ao problema; não investigou retrieval baseado em embeddings como solução para ruído	Subset de SWE-bench pode não ser representativo; AutoCodeRover como único framework; distribuição desbalanceada de repositórios (django domina treino e teste); GPT-4o pode não ser ideal para destilação de conhecimento	NR
I023	wu2025gcc	Git Context Controller: Manage the Context of LLM-based Agents like Git	nao	no_adverse_evidence	yes_nonmemory_external_baseline	arch_persistent_workspace_state	Context window fixo de 327K; retrieval window K=1 limita acesso a commits antigos; BRANCH e MERGE aumentam tool calls significativamente; não testado com budget fixo de custo	Modelos proprietários de última geração (GPT-5, Claude 4 Sonnet) podem ter capacidades emergentes não generalizáveis; benchmarks artificiais vs produção real; dependência de context windows grandes (327K); ablation apenas com Claude 4 Sonnet	$1.21/task vs $1.62 SWE-Agent, $2.51 Agentless em SWE-Benchlite (Claude 3.5 S); custo comparável aos melhores open-source apesar de performance muito superior
I024	wang2025huxleygodel	Huxley-Gödel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence	yes_no_persistence_or_memory_ablation	arch_self_evolution_archive	Theoretical result depends on simplifying assumptions; evaluations are costly and partially observed; optimized agents may overfit benchmark-specific behavior; results depend on selected backbones and budgets.	SWE-Verified-60 subset, Polyglot setup, local leaderboard comparisons, backbone substitutions, and CPU-hour accounting may affect external validity.	HGM is reported as 2.38x faster than DGM on SWE-Verified-60 and 6.86x faster than DGM on Polyglot in allocated CPU-hours.
I025	wang2025repositorymemory	Improving Code Localization with Repository Memory	nao	no_adverse_evidence	yes_no_persistence_or_memory_ablation	arch_repository_memory	Performance degrada em repositórios com histórico limitado (<10K commits); custo variável e dependente do problema; método de recuperação não otimizado para vocabulário de código; links explícitos entre commits e issues podem ser ruidosos ou ausentes	Avaliação apenas em bug fixing/localização; GPT-4o como único modelo; commits pré-issue podem ter qualidade variável; janela fixa de 7K commits pode não ser ideal para todos os repositórios	Custo maior em problemas difíceis ($0.54→$0.89 quando LocAgent falha); alta variância por exemplo; memória é investimento estratégico em problemas difíceis
I026	kernelevolve2025	KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;verification_or_correctness_failure;human_or_workflow_dependence;hardware_or_platform_dependence	no_no_persistence_or_nonmemory_baseline	arch_experience_bank	Production deployment depends on proprietary hardware, persistent internal knowledge bases, and validation infrastructure; future work is needed to quantify token consumption and optimize prompt design for minimal inference cost.	Meta-specific workloads, hardware platforms, proprietary accelerators, production validation stack, and unpublished source code may limit independent replication.	Development time is reduced from weeks to hours; no per-task API cost is reported.
I027	yang2025lingxi	Lingxi: Repository-Level Issue Resolution Framework Enhanced by Procedural Knowledge Guided Scaling	nao	no_adverse_evidence	yes_no_persistence_or_memory_ablation	arch_skill_rule_library	Evaluation centers on SWE-bench Verified; no cost/token reporting captured; method depends on quality and coverage of historical issue-fixing data and LLM-derived procedural knowledge.	SWE-bench Verified focus, retrieval/reranking choices, historical issue-pair construction, and proprietary/closed model backbones may affect generalization and replication.	NR
I030	khan2025macog	Multi-Agent Code-Orchestrated Generation for Reliable Infrastructure-as-Code	nao	no_adverse_evidence	yes_no_persistence_or_memory_ablation	arch_skill_rule_library	Evaluation is focused on Terraform/IaC generation; no source release or monetary/token cost data captured; memory-curator contribution is positive but smaller than some other component ablations.	IaC-Eval benchmark design, synthetic/task distribution, LLM-judge evaluation, Terraform/provider versioning, and multi-agent orchestration choices may affect external validity.	NR; system includes a Cost and Capacity Planner but no extracted per-task monetary cost is reported.
I031	ouyang2025reasoningbank	ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory	nao	no_adverse_evidence	yes_no_persistence_or_memory_ablation	arch_experience_bank	Memory extraction and success/failure labeling rely on LLM judgments; software-engineering evidence centers on SWE-bench Verified; monetary cost and detailed memory-size scaling are not extracted here.	Benchmark mix, LLM-as-judge reliability, transfer from web to software-engineering tasks, model-family dependence, and reproduction of comparator memory mechanisms may affect validity.	Reports efficiency as fewer interaction steps: average 2.8 fewer steps than No Memory and 1.3 fewer than other memory baselines on SWE-bench Verified; no monetary cost extracted.
I032	guo2025redcodeagent	RedCodeAgent: Automatic Red-teaming Agent against Diverse Code Agents	nao	no_adverse_evidence	no_no_persistence_or_nonmemory_baseline	arch_security_memory	Security red-teaming focus rather than general coding assistance; memory accumulates successful attacks and may depend on scenario sequencing; no monetary/token cost data captured.	Sandbox simulation, benchmark scenario selection, target-agent mix, LLM-based planning, dynamic tool selection, and attack-success definitions may affect external validity.	NR
I033	wang2025reflectiondriven	Reflection-Driven Control for Trustworthy Code Agents	sim	retrieval_or_memory_noise;cost_or_runtime_overhead;model_or_provider_dependence;safety_or_security_risk;verification_or_correctness_failure	yes_no_persistence_or_memory_ablation	arch_security_memory	Secure-code-generation setting; dynamic memory depends on reflection/verdict quality; qwen3-coder-plus pass rate decreases in the reported summary; source availability is not captured.	Scenario construction, vulnerability-class coverage, model selection, verifier quality, LLM reflection reliability, and retrieval fallback thresholds may affect validity.	Reports total cost $6.71e-2 for 125 scenarios, average $5.37e-4 per scenario, average $5.67e-4 per successful repair, and API price $1.5e-3 per 1K tokens; no direct baseline monetary comparison extracted.
I035	tablan2025smarter	Smarter Together: Creating Agentic Communities of Practice through Shared Experiential Learning	nao	no_adverse_evidence	yes_no_persistence_or_memory_ablation	arch_shared_memory	Dados experienciais sintéticos (gerados por GPT-4o, não interações reais); avaliação por LLM-judge sem métricas de execução (Pass@1); DS-1000 como único benchmark (data science); apenas 1 epoch de aprendizado experiencial avaliada	LLM-as-judge pode ter correlações com modelos avaliados; experiências sintéticas não representam interações reais; DS-1000 foca data science não SE geral (bug fixing, repository-level); modelos mais fortes beneficiam menos (ceiling effect); Spark é produto comercial, potencial viés	NR
I037	chen2025sweexp	SWE-Exp: Experience-Driven Software Issue Resolution	sim	retrieval_or_memory_noise;memory_growth_or_context_pressure;cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence	yes_nonmemory_external_baseline	arch_experience_bank	Eficácia depende da qualidade das experiências extraídas; k>1 experiências degradam performance (42.0%→39.0% com k=4); avaliação apenas em projetos Python; Instructor pode se tornar over-dependent de experiências mesmo quando exploração direta é suficiente	Modelo único por configuração (DeepSeek ou Claude 4 Sonnet); SWE-bench pode ter overlap com dados de treinamento do LLM; temporal leakage mitigada mas residual (excluem same-repo + post-target); avaliação apenas em Python; avaliação de qualidade da experiência em subset de 75 instâncias	$0.13 vs $0.12 per issue com DeepSeek (+8.3%); wall time 15min49s vs 12min37s (+25%); retrieval+rerank overhead 37.5s avg
I038	feng2025tai3	TAI3: Testing Agent Integrity in Interpreting User Intent	nao	no_adverse_evidence	yes_nonmemory_external_baseline	arch_skill_rule_library	Focuses on intent-integrity testing rather than production coding assistance; no monetary/token cost data; memory stores mutation strategies rather than software-repair knowledge.	Toolkit/API selection, domain coverage, generated task realism, target-model selection, LLM duplicate judgments, and query-budget settings may affect validity.	TAI3 reduces AQFF by up to 12% in the UNDERSPEC setting, indicating fewer target-agent queries to expose the first failure; no monetary cost is reported.
I039	shen2025talm	TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;verification_or_correctness_failure;human_or_workflow_dependence	yes_nonmemory_external_baseline	arch_experience_bank	Datasets relativamente pequenos (HumanEval 164, ClassEval 100); memória reiniciada a cada round experimental; apenas GPT-4o-mini e GPT-4o testados; apenas geração function/class-level, sem avaliação em repositórios reais (SWE-bench); hyperparameters fixos	Apenas modelos OpenAI (GPT-4o-mini, GPT-4o); HumanEval/ClassEval são function/class-level não representativos de SE real; memória reset entre rounds não reflete acumulação contínua; comparação com MapCoder re-implementado pode diferir do original; ClassEval com 100 tasks pode ter alta variância	~50% menos tokens totais que MapCoder em ClassEval; overhead marginal de memória vs TALM sem memória
I040	zhou2025tomswe	TOM-SWE: User Mental Modeling For Software Engineering Agents	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;verification_or_correctness_failure;human_or_workflow_dependence	yes_no_persistence_or_memory_ablation	arch_user_model_memory	User simulator (GPT-5) pode introduzir vieses sistemáticos (over-compliance, over-knowledgeability); 15 perfis derivados de OpenHands sessions podem não representar diversidade global de desenvolvedores; estudo humano observacional sem grupo controle; sessões reais não coletadas por privacidade	LLM-as-user-simulator pode não representar comportamento humano real; perfis baseados em desenvolvedores English-speaking usando OpenHands; correlação satisfaction-resolution (r=0.74) baseada em simulator scores; Stateful SWE benchmark novo sem validação externa; single-agent ToM testado limitadamente (N=100)	$0.17 overhead ToM por sessão (~16% do custo total); GPT-5-nano ToM ($0.02) atinge 38.0% resolve rate no Stateful SWE; custo marginal para ganhos substanciais
I041	cao2025hxagent	Toward Generation of Test Cases from Task Descriptions via History-aware Planning	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;verification_or_correctness_failure	yes_no_persistence_or_memory_ablation	arch_experience_bank	Long-term experience is represented simply as correct/incorrect examples; date pickers, animations, pop-ups, modals, loading screens, and dynamic web elements remain limitations; token use is high.	MiniWoB++ and selected real-world web tasks may not generalize to all web applications; baseline replication, task-instance selection, and GPT-4o prompting affect validity.	NR as direct baseline cost; token consumption is reported but not compared against baseline token use.
I042	hosain2025xolver	Xolver: Multi-Agent Reasoning with Holistic Experience Learning Just Like an Olympiad Team	nao	no_adverse_evidence	yes_nonmemory_external_baseline	arch_experience_bank	Custo computacional elevado (~1.5× tokens de single-agent); dependente da qualidade do backbone LLM; retrieval corpus externo em C++ para tarefas Python (cross-language); self-judging inferior a external judging (-9.9% code, -3.88% math); foco em math e competitive programming, sem avaliação em SE real	Benchmarks de math e competitive programming podem não generalizar para SE real; 16-32 runs para variância mas sem confidence intervals formais; retrieval corpus curado (OpenMathReason, cp-algorithms) pode não representar qualidade de retrieval em outros domínios; comparação com modelos proprietários usa resultados reportados oficialmente	~1.5× tokens vs Search-o1; complexidade de update O(mI) vs O(n²) do CheatSheet; runtime parallelizável entre agentes
I043	du2026adaexplore	AdaExplore: Failure-Driven Adaptation and Diversity-Preserving Search for Efficient Kernel Generation	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;hardware_or_platform_dependence	yes_no_persistence_or_memory_ablation	arch_experience_bank	Kernel-generation focus in Triton and GPU-runtime optimization; skill memory can bias some search strategies toward conservative updates; no cost/token reporting captured.	KernelBench task mix, GPU hardware, timing methodology, synthetic task generation, memory filtering thresholds, and model/backbone choices may affect generalization.	NR; increased compute from 50 to 100 and 200 steps improves speedup, but no monetary or token-cost baseline is extracted.
I044	zhang2026agentdevel	AgentDevel: Reframing Self-Evolving LLM Agents as Release Engineering	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;verification_or_correctness_failure	yes_no_persistence_or_memory_ablation	arch_self_evolution_archive	Pipeline incurs non-trivial overhead; LLM critic and diagnostic stages can inherit model inconsistencies; may be less suitable for rapid prototyping or highly dynamic environments.	Single-agent/single-environment settings, benchmark selection, programmatic scorer availability, release-gate thresholds, and LLM critic reliability may affect validity.	Qualitatively higher overhead than single-pass or in-agent refinement due to iterative execution, trace collection, diagnostic scripts, and gating; no exact cost ratio extracted.
I045	tan2026agentga	AgentGA: Evolving Code Solutions in Agent-Seed Space	sim	memory_growth_or_context_pressure;cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;human_or_workflow_dependence	yes_no_persistence_or_memory_ablation	arch_self_evolution_archive	Only 10 of 16 benchmark runs are reported; long-horizon compute cost is high; seed quality is observed only indirectly through stochastic descendants; parent archives are optional context and can be consumed inconsistently.	Partial benchmark coverage, stochastic trajectories, Kaggle task/domain focus, multi-split evaluation choices, tournament operator allocation, and unpublished full artifacts may affect validity.	Long-horizon agents consume substantially more tokens and wall-clock time than artifact-centric generation; no direct monetary baseline comparison is reported.
I046	banerjee2026apexem	APEX-EM: Non-Parametric Online Learning for Autonomous Agents via Structured Procedural-Episodic Experience Replay	sim	retrieval_or_memory_noise;cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence	yes_no_persistence_or_memory_ablation	arch_experience_bank	Some experiments remain in progress; direct comparisons use different backbones from MemRL; plan compression and learned retrieval policies are future work; remaining MemRL benchmark evaluations are not yet complete.	Benchmark/backbone mismatch, LLM judge quality, memory namespace isolation, epoch count, retrieval thresholds, and transfer-split construction may affect validity.	Memory reduces average iterations from epoch 1 to epoch 10: BCB reductions of 11-17% and KGQA reductions of 37-43%, but no monetary/token baseline is reported.
I047	xiang2026beam	BEAM: Bi-level Memory-adaptive Algorithmic Evolution for LLM-Powered Heuristic Design	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;verification_or_correctness_failure	yes_no_persistence_or_memory_ablation	arch_skill_rule_library	Bi-level structure can require larger initial token consumption; framework may add unnecessary complexity for single-function generation; some comparisons use repository best heuristics with unknown budgets.	Benchmark heterogeneity, budget matching, unreproduced baseline results, LLM/model differences, token/time budget settings, and code-execution failures in initial generations may affect validity.	BEAM needs more tokens before generating its first heuristic in complex tasks due to the bi-level structure, but Adaptive Memory is intended to reduce repeated code emission; no monetary baseline is reported.
I048	bai2026patchadvisor	Beyond Crash-to-Patch: Patch Evolution for Linux Kernel Repair	sim	benchmark_or_domain_generalization;evaluation_or_judge_validity;verification_or_correctness_failure;human_or_workflow_dependence;hardware_or_platform_dependence	yes_no_persistence_or_memory_ablation	arch_repository_memory	End-to-end repair evaluation uses only six recent bugs after strict selection; dataset is scoped to syzbot/Linux kernel workflows; advisor gives diagnostic summaries rather than complete patches.	Temporal holdout, syzbot workflow focus, keyword-mapped reviewer categories, small end-to-end bug sample, AI-assessed patch ranking, and compiler/toolchain differences may affect validity.	NR
I049	he2026coredteam	Co-RedTeam: Orchestrated Security Discovery and Exploitation with LLM Agents	nao	no_adverse_evidence	yes_no_persistence_or_memory_ablation	arch_security_memory	Security red-team domain focus; memory initialization may affect early performance; multi-agent orchestration depends on execution environments and benchmark-specific validation.	Benchmark task mix, curated memory warm start, LLM/model family, iteration budgets, evaluator definitions, and tool/environment realism may affect validity.	Latency is lower than OpenHands and C-Agent in reported comparisons, e.g. 198.7s versus OpenHands 219.6s on BountyBench with Gemini-3-pro; no monetary cost baseline reported.
I050	vogel2026codebasememory	Codebase-Memory: Tree-Sitter-Based Knowledge Graphs for LLM Code Exploration via MCP	sim	memory_growth_or_context_pressure;cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence;human_or_workflow_dependence;hardware_or_platform_dependence	yes_nonmemory_external_baseline	arch_knowledge_graph_case_base	Graph intentionally omits line-level source context and macro-heavy C performs weakly; dynamic dispatch is limited; benchmark uses one LLM backend and first-author grading.	Single LLM backend, manual reference grading, repository/language sample, abstraction limits of Tree-Sitter/graph representation, and single hardware platform for performance benchmarks may affect validity.	Reports direct efficiency gains: about 10x fewer tokens, 2.1x fewer tool calls, and query latency under 1 ms versus 10-30 s for file exploration.
I051	zhang2026coevoskills	CoEvoSkills: Self-Evolving Agent Skills via Co-Evolutionary Verification	sim	cost_or_runtime_overhead;benchmark_or_domain_generalization;model_or_provider_dependence;verification_or_correctness_failure;human_or_workflow_dependence	yes_no_persistence_or_memory_ablation	arch_skill_rule_library	Ablation rows are single runs due to computational cost; skill evolution depends on verifier quality; results are SkillsBench-centered; generated skills may be domain/model sensitive despite transfer gains.	Benchmark composition, deterministic oracle tests, surrogate-verifier information isolation, model/harness choices, number of evolution rounds, and computational budget may affect validity.	NR as monetary/token cost; evolution converges by about round 5 and requires verifier/oracle cycles.
I052	muhtar2026complementaryrl	Complementary Reinforcement Learning	sim	retrieval_or_memory_noise;memory_growth_or_context_pressure;cost_or_runtime_overhead;benchmark_or_domain_generalization;evaluation_or_judge_validity;model_or_provider_dependence	yes_no_persistence_or_memory_ablation	arch_experience_bank	SWE-Bench training uses a curated subset of 124 tasks because many full-dataset tasks are too difficult for smaller models; static experience baselines underperform due to distributional misalignment.	Curated task selection, training hyperparameters, Qwen model family, experience extractor size, retrieval/deduplication design, and multi-task contamination may affect validity.	Reports behavioral efficiency rather than monetary cost: 1.5x fewer actions on MiniHack Room and 2x fewer actions on ALFWorld; no direct SWE-Bench cost reduction is reported.
