included_id	id	title	architecture_status	controlled_comparison_status	limitacoes	ameacas_validade	custo_vs_baseline	pontuacao_qualidade
I037	chen2025sweexp	SWE-Exp: Experience-Driven Software Issue Resolution	arch_experience_bank	yes_nonmemory_external_baseline	Eficácia depende da qualidade das experiências extraídas; k>1 experiências degradam performance (42.0%→39.0% com k=4); avaliação apenas em projetos Python; Instructor pode se tornar over-dependent de experiências mesmo quando exploração direta é suficiente	Modelo único por configuração (DeepSeek ou Claude 4 Sonnet); SWE-bench pode ter overlap com dados de treinamento do LLM; temporal leakage mitigada mas residual (excluem same-repo + post-target); avaliação apenas em Python; avaliação de qualidade da experiência em subset de 75 instâncias	$0.13 vs $0.12 per issue com DeepSeek (+8.3%); wall time 15min49s vs 12min37s (+25%); retrieval+rerank overhead 37.5s avg	6.0
I039	shen2025talm	TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	arch_experience_bank	yes_nonmemory_external_baseline	Datasets relativamente pequenos (HumanEval 164, ClassEval 100); memória reiniciada a cada round experimental; apenas GPT-4o-mini e GPT-4o testados; apenas geração function/class-level, sem avaliação em repositórios reais (SWE-bench); hyperparameters fixos	Apenas modelos OpenAI (GPT-4o-mini, GPT-4o); HumanEval/ClassEval são function/class-level não representativos de SE real; memória reset entre rounds não reflete acumulação contínua; comparação com MapCoder re-implementado pode diferir do original; ClassEval com 100 tasks pode ter alta variância	~50% menos tokens totais que MapCoder em ClassEval; overhead marginal de memória vs TALM sem memória	4.5
I040	zhou2025tomswe	TOM-SWE: User Mental Modeling For Software Engineering Agents	arch_user_model_memory	yes_no_persistence_or_memory_ablation	User simulator (GPT-5) pode introduzir vieses sistemáticos (over-compliance, over-knowledgeability); 15 perfis derivados de OpenHands sessions podem não representar diversidade global de desenvolvedores; estudo humano observacional sem grupo controle; sessões reais não coletadas por privacidade	LLM-as-user-simulator pode não representar comportamento humano real; perfis baseados em desenvolvedores English-speaking usando OpenHands; correlação satisfaction-resolution (r=0.74) baseada em simulator scores; Stateful SWE benchmark novo sem validação externa; single-agent ToM testado limitadamente (N=100)	$0.17 overhead ToM por sessão (~16% do custo total); GPT-5-nano ToM ($0.02) atinge 38.0% resolve rate no Stateful SWE; custo marginal para ganhos substanciais	5.5
I041	cao2025hxagent	Toward Generation of Test Cases from Task Descriptions via History-aware Planning	arch_experience_bank	yes_no_persistence_or_memory_ablation	Long-term experience is represented simply as correct/incorrect examples; date pickers, animations, pop-ups, modals, loading screens, and dynamic web elements remain limitations; token use is high.	MiniWoB++ and selected real-world web tasks may not generalize to all web applications; baseline replication, task-instance selection, and GPT-4o prompting affect validity.	NR as direct baseline cost; token consumption is reported but not compared against baseline token use.	5.0
I043	du2026adaexplore	AdaExplore: Failure-Driven Adaptation and Diversity-Preserving Search for Efficient Kernel Generation	arch_experience_bank	yes_no_persistence_or_memory_ablation	Kernel-generation focus in Triton and GPU-runtime optimization; skill memory can bias some search strategies toward conservative updates; no cost/token reporting captured.	KernelBench task mix, GPU hardware, timing methodology, synthetic task generation, memory filtering thresholds, and model/backbone choices may affect generalization.	NR; increased compute from 50 to 100 and 200 steps improves speedup, but no monetary or token-cost baseline is extracted.	5.5
I044	zhang2026agentdevel	AgentDevel: Reframing Self-Evolving LLM Agents as Release Engineering	arch_self_evolution_archive	yes_no_persistence_or_memory_ablation	Pipeline incurs non-trivial overhead; LLM critic and diagnostic stages can inherit model inconsistencies; may be less suitable for rapid prototyping or highly dynamic environments.	Single-agent/single-environment settings, benchmark selection, programmatic scorer availability, release-gate thresholds, and LLM critic reliability may affect validity.	Qualitatively higher overhead than single-pass or in-agent refinement due to iterative execution, trace collection, diagnostic scripts, and gating; no exact cost ratio extracted.	5.0
I045	tan2026agentga	AgentGA: Evolving Code Solutions in Agent-Seed Space	arch_self_evolution_archive	yes_no_persistence_or_memory_ablation	Only 10 of 16 benchmark runs are reported; long-horizon compute cost is high; seed quality is observed only indirectly through stochastic descendants; parent archives are optional context and can be consumed inconsistently.	Partial benchmark coverage, stochastic trajectories, Kaggle task/domain focus, multi-split evaluation choices, tournament operator allocation, and unpublished full artifacts may affect validity.	Long-horizon agents consume substantially more tokens and wall-clock time than artifact-centric generation; no direct monetary baseline comparison is reported.	4.5
I046	banerjee2026apexem	APEX-EM: Non-Parametric Online Learning for Autonomous Agents via Structured Procedural-Episodic Experience Replay	arch_experience_bank	yes_no_persistence_or_memory_ablation	Some experiments remain in progress; direct comparisons use different backbones from MemRL; plan compression and learned retrieval policies are future work; remaining MemRL benchmark evaluations are not yet complete.	Benchmark/backbone mismatch, LLM judge quality, memory namespace isolation, epoch count, retrieval thresholds, and transfer-split construction may affect validity.	Memory reduces average iterations from epoch 1 to epoch 10: BCB reductions of 11-17% and KGQA reductions of 37-43%, but no monetary/token baseline is reported.	4.0
I047	xiang2026beam	BEAM: Bi-level Memory-adaptive Algorithmic Evolution for LLM-Powered Heuristic Design	arch_skill_rule_library	yes_no_persistence_or_memory_ablation	Bi-level structure can require larger initial token consumption; framework may add unnecessary complexity for single-function generation; some comparisons use repository best heuristics with unknown budgets.	Benchmark heterogeneity, budget matching, unreproduced baseline results, LLM/model differences, token/time budget settings, and code-execution failures in initial generations may affect validity.	BEAM needs more tokens before generating its first heuristic in complex tasks due to the bi-level structure, but Adaptive Memory is intended to reduce repeated code emission; no monetary baseline is reported.	4.5
I048	bai2026patchadvisor	Beyond Crash-to-Patch: Patch Evolution for Linux Kernel Repair	arch_repository_memory	yes_no_persistence_or_memory_ablation	End-to-end repair evaluation uses only six recent bugs after strict selection; dataset is scoped to syzbot/Linux kernel workflows; advisor gives diagnostic summaries rather than complete patches.	Temporal holdout, syzbot workflow focus, keyword-mapped reviewer categories, small end-to-end bug sample, AI-assessed patch ranking, and compiler/toolchain differences may affect validity.	NR	4.5
I050	vogel2026codebasememory	Codebase-Memory: Tree-Sitter-Based Knowledge Graphs for LLM Code Exploration via MCP	arch_knowledge_graph_case_base	yes_nonmemory_external_baseline	Graph intentionally omits line-level source context and macro-heavy C performs weakly; dynamic dispatch is limited; benchmark uses one LLM backend and first-author grading.	Single LLM backend, manual reference grading, repository/language sample, abstraction limits of Tree-Sitter/graph representation, and single hardware platform for performance benchmarks may affect validity.	Reports direct efficiency gains: about 10x fewer tokens, 2.1x fewer tool calls, and query latency under 1 ms versus 10-30 s for file exploration.	5.0
I051	zhang2026coevoskills	CoEvoSkills: Self-Evolving Agent Skills via Co-Evolutionary Verification	arch_skill_rule_library	yes_no_persistence_or_memory_ablation	Ablation rows are single runs due to computational cost; skill evolution depends on verifier quality; results are SkillsBench-centered; generated skills may be domain/model sensitive despite transfer gains.	Benchmark composition, deterministic oracle tests, surrogate-verifier information isolation, model/harness choices, number of evolution rounds, and computational budget may affect validity.	NR as monetary/token cost; evolution converges by about round 5 and requires verifier/oracle cycles.	5.0
I052	muhtar2026complementaryrl	Complementary Reinforcement Learning	arch_experience_bank	yes_no_persistence_or_memory_ablation	SWE-Bench training uses a curated subset of 124 tasks because many full-dataset tasks are too difficult for smaller models; static experience baselines underperform due to distributional misalignment.	Curated task selection, training hyperparameters, Qwen model family, experience extractor size, retrieval/deduplication design, and multi-task contamination may affect validity.	Reports behavioral efficiency rather than monetary cost: 1.5x fewer actions on MiniHack Room and 2x fewer actions on ALFWorld; no direct SWE-Bench cost reduction is reported.	5.0
I053	hu2026cse	Controlled Self-Evolution for Algorithmic Code Optimization	arch_experience_bank	yes_no_persistence_or_memory_ablation	Does not yet distill CSE trajectories into model-weight RL training; multi-round evolution still incurs inference cost; results are algorithmic optimization specific.	EffiBench-X benchmark composition, candidate budget, fallback to Direct when budget exhausts, model/backbone selection, memory construction order, and embedding retrieval settings may affect validity.	NR; reports higher efficiency within the fixed 30-candidate budget but no monetary or token-cost comparison.	5.5
I054	qu2026coral	CORAL: Towards Autonomous Multi-Agent Evolution for Open-Ended Discovery	arch_shared_memory	yes_no_persistence_or_memory_ablation	Relies on frontier foundation models, lacks bootstrapped agent heterogeneity, assumes a reasonably specified evaluator, and multi-agent runs increase API cost.	Task-suite composition, hidden or stochastic evaluators, trajectory classification by rule-based and LLM-based analysis, model/runtime choice, and convergence-based stress-test budgets may affect validity.	CORAL uses fewer external evaluation calls than structured baselines within the same wall-clock budget, but LLM API calls dominate cost and four-agent runs multiply API cost by about 3-4 times.	5.0
I055	jiang2026darwin	DARWIN: Dynamic Agentically Rewriting Self-Improving Network	arch_self_evolution_archive	yes_no_persistence_or_memory_ablation	Proof-of-concept on a simple nanoGPT/Shakespeare task, few generations, insignificant results, manual safety checks, and scaling to GPT-2 or larger models would require substantial compute.	Small task and model, optimized baseline, only five generations, high mutation probability, simple training code, manual intervention/safety checks, and limited compute constrain validity.	NR; reports runtime per generation and resource-scaling concerns but no token or monetary comparison.	3.5
I056	shen2026decocted	Decocted Experience Improves Test-Time Inference in LLM Agents	arch_experience_bank	yes_no_persistence_or_memory_ablation	Analysis assumes self-experience in experiments, focuses on selected math/web/SWE settings, and leaves more sophisticated closed-loop memory collection and integration for future work.	Results depend on base model, embedding model, memory construction from sampled trajectories, K and consolidation hyperparameters, benchmark mix, and plotted rather than fully tabulated task-level values.	Efficiency is reported through generated output tokens, input-token scaling curves, and interaction steps rather than monetary cost; distilled lessons need fewer input tokens for comparable performance than raw trajectories.	5.0
I057	zhang2026docksmith	DockSmith: Scaling Reliable Coding Environments via an Agentic Docker Builder	arch_experience_bank	no_no_persistence_or_nonmemory_baseline	Training and evaluation emphasize environment construction; some languages remain bottlenecked by compiler toolchains and system dependencies; context-retrieval errors increase under higher-recall retrieval.	Benchmark composition, automated GPT-5.1 error annotation, training-data filtering, token-level mixing ratio, and use of Qwen3-Coder-30B-A3B-Instruct as base model may affect validity.	Compared with Qwen3-Coder-30B-A3B-Instruct, DockSmith increases average input tokens from 150.10 to 207.68 and output tokens from 13.75 to 26.38 while improving F2P from 19.46% to 39.72%.	5.5
I058	wang2026domagent	DomAgent: Leveraging Knowledge Graphs and Case-Based Reasoning for Domain-Specific Code Generation	arch_knowledge_graph_case_base	yes_no_persistence_or_memory_ablation	Future work is needed for AST-based fine-grained similarity, soft prompts, and broader domain adaptation; the truck dataset uses internal documentation and domain-specific infrastructure.	Internal truck dataset access, manually curated representative cases and prompts, choice of KG structure, reward model from external LLM, RL training setup, and comparison across different code-generation backbones may affect validity.	NR; case selection reduces manual case-base burden by achieving comparable performance with 30% KG-selected cases versus 80% random sampling.	5.0
I060	wang2026effiskill	EffiSkill: Agent Skill Based Automated Code Efficiency Optimization	arch_skill_rule_library	yes_no_persistence_or_memory_ablation	Evaluation is on competitive-programming efficiency tasks; real-world software systems may involve libraries, compiler behavior, hardware variation, and cross-file context; broader validation across models, languages, and domains is still needed.	Skill quality depends on LLM-generated traces, clustering choices, filtering thresholds, candidate budget, ranking setup, execution environment, and possible distributional similarity between mining and evaluation corpora despite direct-overlap checks.	All methods use the same k=8 candidate budget; EffiSkill is execution-free during generation and does not rely on online runtime feedback inside the optimization loop.	5.0
I061	ma2026failuremem	FailureMem: A Failure-Aware Multimodal Framework for Autonomous Software Repair	arch_experience_bank	yes_no_persistence_or_memory_ablation	Detailed memory contexts increase inference cost; performance depends on diversity and coverage of the offline failure-memory bank; rare or unprecedented failures may lack similar retrieved memories; automated repair still requires regression checks and human oversight.	Results depend on SWE-bench Multimodal, model choice, memory-bank construction from development failures, retrieval depth, visual-grounding tools, and GPU resources; larger or different GUI repositories may change memory usefulness.	FailureMem reports higher inference cost than GUIRepair, USD 0.33 versus USD 0.29 per issue, while adding active perception and memory guidance.	5.5
I062	weng2026groupevolving	Group-Evolving Agents: Open-Ended Self-Improvement via Experience Sharing	arch_self_evolution_archive	no_no_persistence_or_nonmemory_baseline	Evaluation is expensive and relies on staged benchmark subsets; results depend on model choice, group size, parent-selection settings, and benchmark-specific evolution dynamics.	Staged selection from small sanity and mini-benchmark subsets may influence which agents reach full evaluation; benchmark scores depend on tool environments and large model APIs; human-designed framework comparisons are not identical training/evolution protocols.	GEA and the DGM-style baseline use the same number of evolved agents, so evaluation cost is reported as similar under the staged benchmark protocol.	4.5
I065	sun2026kernelskill	KernelSkill: A Multi-Agent Framework for GPU Kernel Optimization	arch_experience_bank	yes_nonmemory_external_baseline	Some baselines are not open-sourced, so several comparisons use reported results or reimplementations rather than a single identical codebase; evaluation is limited to KernelBench GPU-kernel tasks.	Results depend on NVIDIA A100 hardware, profiling tools, seed selection, fixed refinement rounds, threshold settings, ChatGPT-5.1 behavior, and comparability of non-open-source baseline results.	KernelSkill reports stronger speedup per refinement round than STARK: 0.36/0.19/0.13 on Levels 1/2/3 versus 0.10/0.09/0.05 for STARK.	5.0
I066	zhao2026phyloevolve	Large Language Model-Powered Evolutionary Code Optimization on a Phylogenetic Tree	arch_self_evolution_archive	no_no_persistence_or_nonmemory_baseline	The system lacks hardware-aware cost models, can be inefficient for computationally heavy workloads, focuses on NVIDIA GPUs, does not address multi-GPU or distributed execution, and may produce occasional low-quality LLM-generated modifications.	Results depend on empirical runtime measurement, hardware/backend choice, benchmark workload selection, container execution, pruning settings, LLM proposal quality, and the absence of a theoretical account of when trajectory reuse yields stable improvement operators.	No monetary or token-cost comparison is reported; the discussion emphasizes that trajectory-conditioned reuse reduces redundant exploration but still depends on empirical evaluation.	5.0
I067	fu2026latentmem	LatentMem: Customizing Latent Memory for Multi-Agent Systems	arch_experience_bank	yes_no_persistence_or_memory_ablation	The paper emphasizes effectiveness and efficiency but still depends on collected in-domain trajectories, learned composer behavior, role-profile quality, and benchmark/MAS framework coverage; out-of-domain generalization is evaluated but not exhaustive.	Results may depend on synthetic coding and planning benchmarks, selected MAS frameworks, trajectory collection protocol, composer base model, LMPO reward design, latent-length and retrieval-count settings, and LLM-as-component implementation choices.	LatentMem is reported as fastest and lowest-token among memory baselines in the added cost figures; examples include 1.76e6 tokens on AutoGen+KodCode versus G-Memory at 3.04e6 and 1.09e4 seconds on MacNet+KodCode versus G-Memory at 2.02e4.	5.5
I068	li2026learningcommit	Learning to Commit: Generating Organic Pull Requests via Online Repository Memory	arch_repository_memory	yes_no_persistence_or_memory_ablation	Evaluation is a pilot on one highly coupled expert-maintained repository with 7 future held-out tasks; LLM judges may introduce bias; public multi-repository generalization is left for future work.	Synthetic issue generation, LLM-based commit filtering and judging, small future-test sample, single repository domain, temporal split construction, and skill verbosity may influence the organicity results.	The skill-conditioned agent uses fewer trajectory steps in seq-all (56.8 versus 71.9) and slightly fewer or similar steps in most settings, but no monetary cost is reported.	3.5
I069	li2026memcoder	MEMCoder: Multi-dimensional Evolving Memory for Private-Library-Oriented Code Generation	arch_repository_memory	yes_no_persistence_or_memory_ablation	Additional memory injection and reflection introduce token overhead; long-term memory growth may cause retrieval inefficiency and knowledge conflicts; benchmark scope is private-library generation on NdonnxEval and NumbaEval.	Results depend on local open-source models, bge-base-en-prior.5 retrieval, task ordering, memory-guideline quality, execution feedback reliability, private-library benchmark representativeness, and memory conflict management.	MEMCoder adds token overhead for memory injection and guideline refinement compared with naive RAG, but the paper estimates the added full-NumbEval cost as about USD 0.46.	4.5
I070	chang2026memcollab	MemCollab: Cross-Agent Memory Collaboration via Contrastive Trajectory Distillation	arch_shared_memory	yes_no_persistence_or_memory_ablation	Direct memory transfer between models can degrade performance; too many retrieved memory entries can reduce performance after a task-dependent threshold; evaluation spans math and code benchmarks rather than full software-engineering workflows.	Results depend on task classification, TF-IDF retrieval, top-3 memory budget, paired-agent choice, benchmark sample construction, random seed, and whether contrastive summaries suppress model-specific biases without dropping useful details.	MemCollab reduces average reasoning turns for Qwen2.5-7B: MATH500 2.7 to 2.2, GSM8K 1.8 to 1.6, MBPP 3.1 to 1.4, and HumanEval 3.3 to 1.5.	4.5
I073	kim2026memorytransfer	Memory Transfer Learning: How Memories are Transferred Across Domains in Coding Agents	arch_experience_bank	yes_no_persistence_or_memory_ablation	Memory transfer can cause negative transfer through domain-mismatched anchors, false validation confidence, and misapplied best-practice transfer; advanced static retrieval strategies underperform simple embedding similarity.	Results depend on sampled benchmark tasks, GPT-5-mini memory generation and judging, embedding retrieval, source-domain composition, memory format prompts, cross-model transfer setup, and whether benchmark domains represent real deployment diversity.	MTL uses fewer stored memories than AgentKB in the self-evolving comparison (431 versus 5,899) while reaching a higher average score; no monetary or token-cost comparison is reported.	5.0
I074	feng2026odel	ODEL: An Experience-Augmented Self-Evolving Framework for Efficient Python-to-C++ Code Translation	arch_experience_bank	yes_no_persistence_or_memory_ablation	The multi-phase evaluation uses a fixed HumanEval-X task set and consistent task ordering; results reflect sustained learning under a stable stream rather than strict order-invariant generalization.	Findings depend on generated test cases, verification feedback quality, HumanEval-X representativeness, external teacher model quality, task ordering, and potential leakage concerns mitigated by storing abstract error patterns rather than task-specific solutions.	No numeric cost comparison is reported; ODEL invokes the external DeepSeek 685B teacher only on verification failure, while routine translation remains with the internal model.	5.0
I076	jiang2026opengame	OpenGame: Open Agentic Coding for Games	arch_skill_rule_library	yes_nonmemory_external_baseline	Even the full OpenGame leaves about 34.9% of weighted mechanical requirements partially or fully unsatisfied; strategy and Puzzle/UI genres remain difficult because silent logic desynchronization may not trigger compiler or runtime errors.	Results depend on OpenGame-Bench prompt design, VLM judging, Phaser instruction constraints for baselines, valid-run filtering, browser execution, seed averaging, and whether web-game tasks generalize to other software domains or engines.	No numeric cost comparison is reported; ablation shows bounded iterative debugging improves reliability and begins to plateau after three iterations.	5.0
I077	li2026opensage	OpenSage: Self-programming Agent Generation Engine	arch_knowledge_graph_case_base	yes_no_persistence_or_memory_ablation	The paper notes that current SOTA models do not yet use OpenSage's advanced features consistently and may misuse them, indicating a model-capability gap for AI-centered agent construction.	Results depend on benchmark leaderboards, selected backbones, added task-specific code for SWE-Bench Pro, graph-memory schema/tool design, generated node types, memory-agent decisions, and whether ADK-level gains generalize beyond the evaluated environments.	The Terminal-Bench collaboration analysis reports that pairing Gemini 3 Pro for planning/review with GPT-5 Mini for execution matches GPT-5 performance while reducing cost compared with Gemini 3 Pro alone.	5.0
I078	li2026ocrd	Outcome-Conditioned Reasoning Distillation for Resolving Software Issues	arch_skill_rule_library	yes_nonmemory_external_baseline	The evaluation is limited to SWE-Bench Lite and depends on same-repository historical fixes; exemplar mismatch can cause negative transfer, and the cost comparison is against a controlled MCTS-style baseline rather than every possible search system.	Results depend on temporal filtering of historical issues, quality of verified patches, Agentless integration choices, LLM compatibility judgments, SWE-Bench Lite representativeness, and whether similar historical repairs exist for future repositories.	In the reasoning-plan ablation, O-CRD with BRD achieves higher Pass@1 than the MCTS-style variant while using substantially fewer LLM calls and tokens.	5.0
I079	wu2026reasoningmemory	Procedural Knowledge at Scale Improves Reasoning	arch_experience_bank	yes_no_persistence_or_memory_ablation	Document retrieval can degrade reasoning models; the method can fail when self-verbalized queries become over-specific or when retrieved procedures mismatch the problem setup; benefits vary after similar corpus knowledge is internalized by model training.	Results depend on Nemotron-derived trajectory coverage, decomposition prompt quality, ReasonIR retrieval, benchmark contamination assumptions, sample-budget choices, and whether math/science/coding reasoning transfers to agentic software-engineering workflows.	The method can outperform retrieval-free Length Scaling at matched sample budgets, but the paper does not provide monetary or end-to-end token-cost comparisons.	5.5
I080	hao2026recreate	ReCreate: Reasoning and Creating Domain Agents Driven by Experience	arch_experience_bank	yes_nonmemory_external_baseline	ReCreate optimizes textual and code-level scaffolds but not infrastructure or execution environments, and it does not update base model parameters.	Results depend on small sampled development sets, benchmark-specific scaffold design spaces, use of gpt-5-mini and claude-4.5-opus, Docker sandbox execution, cost-estimation assumptions, and whether domain-agent creation from minimal seeds generalizes beyond the tested domains.	Compared with ADAS, ReCreate is reported to reduce scaffold-optimization cost by roughly 36% to 82% because it uses interaction evidence and smaller development sets rather than repeated candidate evaluation.	5.5
I081	gangireddi2026revere	REVERE: Reflective Evolving Research Engineer for Scientific Workflows	arch_skill_rule_library	yes_no_persistence_or_memory_ablation	Prompt and Global Training Context growth remain a challenge; REVERE still shows degraded CodeBERTScore on ScienceAgentBench relative to Static SOTA, and the paper notes the difficulty of capturing highly task-specific knowledge through prompt benchmarks.	Results depend on GPT-4.1's long context window, benchmark split choices, use of optional ground-truth hints in offline adaptation, estimated cost accounting, and whether research-coding heuristics transfer to broader software-engineering tasks.	REVERE is reported to be up to about 10x more cost-effective than ACE and GEPA in adaptation overhead, using targeted edits and Global Training Context rather than refinement and Pareto selection.	5.0
