included_id	id	title	controlled_comparison_status	benchmark_markers	primary_delta_type	primary_delta_candidate	all_delta_candidates	extraction_status	desempenho_vs_baseline
I015	jansen2025codedistiller	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	yes_nonmemory_external_baseline	Materials-science repositories	manual_review	NR	NR	manual_review	Downstream A/B preference proportions favor CodeDistiller over the generic-example baseline for accuracy (0.50 vs 0.26), completeness (0.46 vs 0.16), and soundness (0.50 vs 0.30), with ties making up the remainder.
I016	wong2025confucius	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	yes_nonmemory_external_baseline	SWE-bench Verified; SWE-Bench Pro; PyTorch-Bench	signed_percentage_points	+3.0pp	signed_percentage_points: +3.0pp; +6.9pp; +1.8pp	candidate_extracted	+3.0pp vs OpenAI (59.0% vs 56.0%) com GPT-5.2; +6.9pp vs Live-SWE-Agent (52.7% vs 45.8%) com Claude 4.5 Sonnet; +1.8pp vs OpenHands (74.6% vs 72.8%) no SWE-Bench-Verified
I017	zhang2025darwingodel	Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents	yes_no_persistence_or_memory_ablation	SWE-bench Verified; Polyglot/Aider-Polyglot	manual_review	NR	NR	manual_review	DGM outperforms variants without self-improvement and without open-ended exploration; best discovered SWE-bench agent is comparable to checked open-source human-designed SoTA, while Polyglot improves 14.2% to 30.7% on the full benchmark.
I019	yuksel2025evolattice	EvoLattice: Persistent Internal-Population Evolution through Multi-Alternative Quality-Diversity Graph Representations for LLM-Guided Program Discovery	yes_nonmemory_external_baseline	NAS-Bench-Suite-Zero	manual_review	NR	NR	manual_review	EvoLattice exceeds AlphaEvolve-style diff evolution (0.11 ±0.06), ShinkaEvolve-like parent sampling (0.12 ±0.05), FunSearch-style proxy generation (0.09 ±0.07), and LPZero (0.10 ±0.05).
I020	ou2025k3trans	Evolving Triple Knowledge-Augmented LLMs for Code Translation in Repository Context	yes_no_persistence_or_memory_ablation	RustRepoTrans	from_to_percent	from 57.9% to 75.7%	from_to_percent: from 57.9% to 75.7%; from 49.1% to 67.7%	candidate_extracted	For Claude-3-5-Sonnet, K3 Trans improves over prompt engineering from 57.9% to 75.7% Compilation@1 and from 49.1% to 67.7% Pass@1; the paper reports relative improvements up to 135.9% on Pass@1 and 32.8% on CodeBLEU among studied LLMs.
I021	mu2025experepair	EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair	yes_no_persistence_or_memory_ablation	SWE-bench Lite	from_to_percent	from 47.7% to 41.3%	from_to_percent: from 47.7% to 41.3%	candidate_extracted	ExpeRepair surpasses PatchPilot 45.3% and DARS 47.0% on SWE-bench Lite while costing far less than DARS ($2.07 vs $12.24). Removing the experience module drops resolved rate from 47.7% to 41.3%.
I022	lindenbauer2025ctimrover	From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	yes_no_persistence_or_memory_ablation	SWE-bench Verified	signed_percentage_points	-2pp	signed_percentage_points: -2pp; -11pp	candidate_extracted	-2pp vs baseline (40% vs 42%); CTIM only -11pp (31% vs 42%)
I023	wu2025gcc	Git Context Controller: Manage the Context of LLM-based Agents like Git	yes_nonmemory_external_baseline	SWE-bench Verified; SWE-bench Lite; BrowseComp-Plus	signed_percentage_points	+6.2pp	signed_percentage_points: +6.2pp; +1.9pp	candidate_extracted	+6.2pp Pass@1 vs Folding Agent (melhor baseline) com Claude 4 Sonnet em SWE-Bench Verified (0.802 vs 0.740); +1.9pp BrowseComp-Plus com GPT-5 (0.834 vs 0.815)
I024	wang2025huxleygodel	Huxley-Gödel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine	yes_no_persistence_or_memory_ablation	SWE-bench Verified; SWE-bench Lite; Polyglot/Aider-Polyglot	manual_review	NR	NR	manual_review	HGM requires 517 CPU-hours versus DGM 1231 on SWE-Verified-60, and 347 versus DGM 2385 on Polyglot; on SWE-Lite standard, the HGM best-belief agent reaches 49.0% with GPT-5-mini and 57.0% with GPT-5 transfer.
I025	wang2025repositorymemory	Improving Code Localization with Repository Memory	yes_no_persistence_or_memory_ablation	SWE-bench Verified; SWE-bench Live	signed_percent	+4.9%	signed_percent: +4.9%; +3.1%; +3.4%	candidate_extracted	+4.9% Acc@5 absoluto vs LocAgent em SWE-bench-verified; +3.1% em SWE-bench-live; resolve rate +3.4% em end-to-end (40.4% vs 37.0%)
I027	yang2025lingxi	Lingxi: Repository-Level Issue Resolution Framework Enhanced by Procedural Knowledge Guided Scaling	yes_no_persistence_or_memory_ablation	SWE-bench Verified	manual_review	NR	NR	manual_review	With Claude 4 Sonnet, Lingxi reports 74.60% versus OpenHands and Augment Agent prior at 70.40%, SWE-search at 70.08%, SWE-agent at 66.60%, and mini-SWE-agent at 64.93%. With Kimi-K2, Lingxi reports 70.33% versus OpenHands 65.40% and mini-SWE-agent 43.80%.
I030	khan2025macog	Multi-Agent Code-Orchestrated Generation for Reliable Infrastructure-as-Code	yes_no_persistence_or_memory_ablation	IaC-Eval	manual_review	NR	NR	manual_review	GPT-5 MACOG reaches 74.02 IaC-Eval, BLEU 11.86, CodeBERTScore 80.54, and LLM-judge 94.10. Ablations reduce IaC-Eval, including -Engineer at 64.89, -Security Prover at 61.45, -DevOps at 56.93, and -Memory Curator at 72.17.
I031	ouyang2025reasoningbank	ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory	yes_no_persistence_or_memory_ablation	SWE-bench Verified; WebArena; Mind2Web	manual_review	NR	NR	manual_review	On SWE-bench Verified, Gemini-2.5-flash ReasoningBank reports 38.8% resolve versus 34.2% No Memory and 35.4% Synapse; Gemini-2.5-pro reports 57.4% versus 54.0% No Memory and 53.4% Synapse. Failure-trajectory ablations report larger gains than success-only memory variants.
I033	wang2025reflectiondriven	Reflection-Driven Control for Trustworthy Code Agents	yes_no_persistence_or_memory_ablation	Secure-code scenarios	manual_review	NR	NR	manual_review	Base+Reflex improves security rate by +2.9 for gpt-3.5-turbo, +9.3 for gpt-4o, +11.2 for qwen3-coder-plus, and +9.1 for gemini-2.5-pro; pass rate is mostly preserved but decreases for qwen3-coder-plus (86.7 to 80.1).
I035	tablan2025smarter	Smarter Together: Creating Agentic Communities of Practice through Shared Experiential Learning	yes_no_persistence_or_memory_ablation	DS-1000	arrow_change	4.23→4.89	arrow_change: 4.23→4.89; 4.50→4.91; 4.78→4.83	candidate_extracted	+0.66 code quality Qwen3-Coder (4.23→4.89); +0.41 Haiku 4.5 (4.50→4.91); +0.05 GPT-5-Codex (4.78→4.83); todos WITH-SPARK excedem qualidade humana (4.28)
I037	chen2025sweexp	SWE-Exp: Experience-Driven Software Issue Resolution	yes_nonmemory_external_baseline	SWE-bench Verified	signed_percentage_points	+2.2pp	signed_percentage_points: +2.2pp; +6.6pp; +3.2pp; +4.2pp	candidate_extracted	+2.2pp vs SWE-Search com Claude 4 Sonnet (73.0% vs 70.8%); +6.6pp vs SWE-Search com DeepSeek (42.0% vs 35.4%); +3.2pp vs SWE-Agent com DeepSeek (42.0% vs 38.8%); +4.2pp vs EvoCoder com DeepSeek (42.0% vs 38.0%)
I038	feng2025tai3	TAI3: Testing Agent Integrity in Interpreting User Intent	yes_nonmemory_external_baseline	TAI3 toolkit APIs	manual_review	NR	NR	manual_review	Table 1 reports broad EESR gains over SelfRef, including Finance GPT-4o-mini VALID 41.5 to 61.0 (+19.5), Healthcare GPT-4o-mini INVALID 44.7 to 57.4 (+12.7), and Office Llama-3.1-8B UNDERSPEC 65.7 to 82.0 (+16.3).
I039	shen2025talm	TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	yes_nonmemory_external_baseline	HumanEval; BigCodeBench; ClassEval	signed_percentage_points	+3.17pp	signed_percentage_points: +3.17pp; +5.00pp; +2.00pp	candidate_extracted	+3.17pp BigCodeBench vs Direct (53.27% vs 50.10% GPT-4o); +5.00pp ClassEval class vs Direct (38.00% vs 33.00%); +2.00pp ClassEval class vs MapCoder (38.00% vs 36.00%); ~50% menos tokens que MapCoder
I040	zhou2025tomswe	TOM-SWE: User Mental Modeling For Software Engineering Agents	yes_no_persistence_or_memory_ablation	Ambiguous SWE-bench; Stateful SWE	signed_percentage_points	+11.5pp	signed_percentage_points: +11.5pp; +41.6pp | signed_percent: +41%	candidate_extracted	+11.5pp Ambiguous SWE-bench (63.4% vs 51.9%) com Claude Sonnet 4; +41.6pp Stateful SWE (59.7% vs 18.1%); satisfaction 3.62 vs 2.57 (+41%); RAGCodeAct inferior ao ToMCodeAct em todos modelos
I041	cao2025hxagent	Toward Generation of Test Cases from Task Descriptions via History-aware Planning	yes_no_persistence_or_memory_ablation	MiniWoB++	from_to_percent	from 97% to 88%	from_to_percent: from 97% to 88%	candidate_extracted	On challenging MiniWoB++ tasks, HxAgent averages 82% Exact-Match versus 10% for Li et al. (GPT-4o). On real-world applications it averages 87% Exact-Match versus 28% and 93% Prefix-Match versus 34%. Removing experience drops Exact-Match from 97% to 88%; removing both SAM and experience drops it to 47%.
I042	hosain2025xolver	Xolver: Multi-Agent Reasoning with Holistic Experience Learning Just Like an Olympiad Team	yes_nonmemory_external_baseline	LiveCodeBench; GSM8K; AIME; MATH/MATH500	signed_percentage_points	+18.6pp	signed_percentage_points: +18.6pp; +13.6pp; +21.0pp	candidate_extracted	+18.6pp AIME'24 avg vs o3-mini-medium LongCoT (93.8% vs 75.8%); +13.6pp AIME'25 (89.4% vs 75.8%); +21.0pp LiveCodeBench (87.3% vs 66.3%); supera o4-mini-high em AIME'24 (93.8% vs 93.4%) e LiveCodeBench (87.3% vs 69.5%)
I043	du2026adaexplore	AdaExplore: Failure-Driven Adaptation and Diversity-Preserving Search for Efficient Kernel Generation	yes_no_persistence_or_memory_ablation	KernelBench; FlashInfer-Bench; TritonBench-T	from_to_percent	from 71% to 56%	from_to_percent: from 71% to 56% | multiplicative: 2.65x; 2.59x; 2.12x; 2.32x	candidate_extracted	At 50 steps on Level-2, AdaExplore reaches 2.65x speedup versus IR with skill memory at 2.59x and PS with skill memory at 2.12x. Removing cross-task skill memory drops speedup from 2.65x to 2.32x and Fast@1.2 from 71% to 56%.
I044	zhang2026agentdevel	AgentDevel: Reframing Self-Evolving LLM Agents as Release Engineering	yes_no_persistence_or_memory_ablation	SWE-bench Verified; SWE-bench Lite; StableToolBench; WebArena	manual_review	NR	NR	manual_review	On SWE-bench Lite, AgentDevel reaches 22.0% versus base 11.0% and reported SWE-agent 18.0%. On WebArena ablation, the full pipeline keeps P2F regression rate at 3.1% with zero bad releases; removing the flip gate raises P2F to 14.8% and creates four bad releases.
I045	tan2026agentga	AgentGA: Evolving Code Solutions in Agent-Seed Space	yes_no_persistence_or_memory_ablation	Weco-Kaggle Lite	ratio_or_count	148/286	ratio_or_count: 148/286; 68/104; 267/593; 34/78; 9/74	candidate_extracted	Parent-conditioned operators win 48.7% of parent-child tournaments overall, while Initial proposals win only 12.2%. Continue wins 148/286 tournaments, Merge 68/104, EDA 267/593, Ablation 34/78, and Initial 9/74.
I046	banerjee2026apexem	APEX-EM: Non-Parametric Online Learning for Autonomous Agents via Structured Procedural-Episodic Experience Replay	yes_no_persistence_or_memory_ablation	BigCodeBench; ALFWorld; Humanity's Last Exam; KGQAGen-10k; Lifelong Agent Bench	signed_percentage_points	+29.4pp	signed_percentage_points: +29.4pp; +11.0pp	candidate_extracted	BigCodeBench improvement is +29.4pp over no memory and exceeds MemRL's reported +11.0pp gain. KGQA full-memory plus Opus judge reaches 89.6% versus 41.3% no memory. HLE entity graph retrieval improves 25.2% to 48.0%.
I047	xiang2026beam	BEAM: Bi-level Memory-adaptive Algorithmic Evolution for LLM-Powered Heuristic Design	yes_no_persistence_or_memory_ablation	Heuristic-design benchmarks	ratio_or_count	100/200	ratio_or_count: 100/200	candidate_extracted	In CVRP, BEAM with Split and local search reports gaps of 0.09%, 0.38%, and 0.86% for CVRP-100/200/500 versus EoH gaps of 0.22%, 0.57%, and 1.09%. In BBOB, BEAM average gap is 0.007 versus ReEvo 0.957, EoH 6.032, and LLaMEA-HPO 0.386.
I048	bai2026patchadvisor	Beyond Crash-to-Patch: Patch Evolution for Linux Kernel Repair	yes_no_persistence_or_memory_ablation	syzbot/Linux kernel repair	ratio_or_count	1/6	ratio_or_count: 1/6; 4/6; 5/6	candidate_extracted	Baseline repair succeeds on 1/6 bugs with CodeBERTScore 0.42 and 83.3% compile success. Memory-guided repair succeeds on 4/6 with CodeBERTScore 0.74. Fine-tuned Gemma-3-12B PatchAdvisor succeeds on 5/6 with average rank 2.7.
I049	he2026coredteam	Co-RedTeam: Orchestrated Security Discovery and Exploitation with LLM Agents	yes_no_persistence_or_memory_ablation	CyberGym; CyBench; BountyBench	from_to_percent	from 59.1% to 50.0%	from_to_percent: from 59.1% to 50.0%; from 60.0% to 40.0%; from 31.5% to 22.6%	candidate_extracted	For Gemini-3-pro, OpenHands reaches 45.2%/45.0%/5.0%/20.2% across CyBench, BountyBench exploit/detect, and CyberGym; Co-RedTeam reaches 63.7%/65.0%/20.0%/37.3%. Removing memory drops Gemini-2.5-pro CyBench from 59.1% to 50.0%, BountyBench exploit from 60.0% to 40.0%, and CyberGym from 31.5% to 22.6%.
I050	vogel2026codebasememory	Codebase-Memory: Tree-Sitter-Based Knowledge Graphs for LLM Code Exploration via MCP	yes_nonmemory_external_baseline	Codebase-Memory repo QA	manual_review	NR	NR	manual_review	MCP Agent reaches 90% of Explorer quality while using 10 times fewer tokens and 2.1 times fewer tool calls; it matches or exceeds explorer behavior on graph-native hub/caller queries for 19 of 31 languages.
I051	zhang2026coevoskills	CoEvoSkills: Self-Evolving Agent Skills via Co-Evolutionary Verification	yes_no_persistence_or_memory_ablation	SkillsBench	signed_percentage_points	+40.5pp	signed_percentage_points: +40.5pp; +17.6pp | from_to_percent: from 71.1% to 41.1%	candidate_extracted	CoEvoSkills improves +40.5pp over no-skill and +17.6pp over human-curated skills. Skill-Creator reaches 34.1%, single-session generation 32.4%, SkillsBench self-generated 32.0%, and CoT-guided self-generation 30.7%. Removing the surrogate verifier drops pass rate from 71.1% to 41.1%; removing evolution drops to 48.6%.
I052	muhtar2026complementaryrl	Complementary Reinforcement Learning	yes_no_persistence_or_memory_ablation	SWE-bench Verified; WebShop; ALFWorld; MiniHack	manual_review	NR	NR	manual_review	Multi-task table reports baseline average 0.75, Complementary RL evaluated with experience 0.82, and Complementary RL without experience 0.78. Static Online Experience with experience averages 0.59 and without experience 0.54, showing that static experience alone is insufficient.
I053	hu2026cse	Controlled Self-Evolution for Algorithmic Code Optimization	yes_no_persistence_or_memory_ablation	EffiBench-X	manual_review	NR	NR	manual_review	With GPT-5, CSE improves average MI to 67.47% versus Direct 59.13%, Self-Reflection 60.24%, SE-Agent 64.41%, and AlphaEvolve 63.04%. Ablation on GPT-5 shows full CSE MI 68.10% versus 63.08% without memory, 63.82% without planning, and 64.72% without evolution.
I054	qu2026coral	CORAL: Towards Autonomous Multi-Agent Evolution for Open-Ended Discovery	yes_no_persistence_or_memory_ablation	CORAL optimization task suite	from_to_percent	from 1350 to 1601	from_to_percent: from 1350 to 1601; from 80.2 to 77.3; from 4566 to 4444	candidate_extracted	CORAL improvement rates are reported as 3-10 times higher than fixed evolutionary-search baselines and typically converge within 5-20 evaluations versus 60-100 for baselines. Knowledge ablation worsens Kernel Engineering from 1350 to 1601 cycles, Polyominoes from 80.2 to 77.3, and Txn Scheduling from 4566 to 4444.
I055	jiang2026darwin	DARWIN: Dynamic Agentically Rewriting Self-Improving Network	yes_no_persistence_or_memory_ablation	nanoGPT Shakespeare	manual_review	NR	NR	manual_review	The paper reports a 2.07 percent reduction in perplexity and a 1.26 percent reduction in MFU; removing persistent memory produced about 3 percent worse performance, but the authors caution that the results are not statistically meaningful.
I056	shen2026decocted	Decocted Experience Improves Test-Time Inference in LLM Agents	yes_no_persistence_or_memory_ablation	SWE-bench Verified; SWE-bench full training set; WebShop; MATH/MATH500	manual_review	NR	NR	manual_review	On WebShop and SWE, lesson-based context consistently outperforms raw trajectories and vanilla context-free agents. Concept-tree retrieval improves over top-k lesson retrieval on WebShop and shows a noticeable improvement on SWE, while excessive K/raw context can degrade performance.
I058	wang2026domagent	DomAgent: Leveraging Knowledge Graphs and Case-Based Reasoning for Domain-Specific Code Generation	yes_no_persistence_or_memory_ablation	DS-1000; Truck CAN Signal	from_to_percent	from 39.62% to 96.64%	from_to_percent: from 39.62% to 96.64%; from 71.22% to 98.04%; from 29.3% to 39.2%; from 51.0% to 58.6%	candidate_extracted	On Truck CAN Signal, Qwen2.5-7B improves from 39.62% to 96.64% total pass@1, and GPT-4o with DomRetriever improves from 71.22% to 98.04%. On DS-1000, Qwen2.5-7B improves from 29.3% to 39.2% total pass@1; external GPT-4o improves from 51.0% to 58.6% with LLaMA3.1-8B DomRetriever.
I059	guo2026eet	EET: Experience-Driven Early Termination for Cost-Efficient Software Engineering Agents	yes_no_persistence_or_memory_ablation	SWE-bench Verified; SWE-bench Lite	signed_percent	+2.7%	signed_percent: +2.7%; +7.5%	candidate_extracted	+2.7% resolve rate médio vs agentes sem EET; Agentless beneficia mais (+7.5% abs com GPT-5-mini)
I060	wang2026effiskill	EffiSkill: Agent Skill Based Automated Code Efficiency Optimization	yes_no_persistence_or_memory_ablation	EffiBench-X	ratio_or_count	48/37	ratio_or_count: 48/37; 62/66; 35/36; 19/56	candidate_extracted	With GPT-5-mini, EffiSkill reaches Python OPT@1/OPT@8 of 26.48/37.40 and C++ OPT@1/OPT@8 of 44.62/66.77. With Qwen3-Coder, it reaches Python 21.35/36.60 and C++ 34.19/56.50, outperforming Instruction, RAG, CoT, SBLLM, FasterPy, and EffiCoder where applicable.
I061	ma2026failuremem	FailureMem: A Failure-Aware Multimodal Framework for Autonomous Software Repair	yes_no_persistence_or_memory_ablation	SWE-bench Multimodal	manual_review	NR	NR	manual_review	FailureMem reaches 31.1%, 33.1%, 33.3%, 32.5%, and 33.8% resolved rates with GPT-4.1, GPT-5.1, GPT-5.2, Claude 4, and Claude 4.5 respectively, compared with GUIRepair at 28.8%, 29.4%, 29.8%, 28.6%, and 31.5%.
I063	nadafian2026kapso	KAPSO: A Knowledge-grounded framework for Autonomous Program Synthesis and Optimization	yes_nonmemory_external_baseline	MLE-Bench; ALE-Bench	signed_percentage_points	+15.56pp	signed_percentage_points: +15.56pp; +17.78pp	candidate_extracted	+15.56pp medal rate vs R&D-Agent em MLE-Bench; +30.1 ELO vs ALE-Agent em ALE-Bench; vantagem concentrada em tarefas Hard (+17.78pp)
I064	dong2026kernelblaster	KernelBlaster: Continual Cross-Task CUDA Optimization via Memory-Augmented In-Context Reinforcement Learning	yes_no_persistence_or_memory_ablation	KernelBench	manual_review	NR	NR	manual_review	GeoMean 1.43× (L1), 2.50× (L2), 1.50× (L3) vs PyTorch; 1.67× vs no_mem_agent; supera AI CUDA Engineer em fast_p para speedups moderados a altos
I065	sun2026kernelskill	KernelSkill: A Multi-Agent Framework for GPU Kernel Optimization	yes_nonmemory_external_baseline	KernelBench	manual_review	NR	NR	manual_review	Compared with STARK, KernelSkill improves average speedup by 79.5% on Level 1, 4.8% on Level 2, and 21.5% on Level 3. It reaches these gains with 15 refinement rounds, while STARK reports 30 rounds.
I067	fu2026latentmem	LatentMem: Customizing Latent Memory for Multi-Agent Systems	yes_no_persistence_or_memory_ablation	BigCodeBench; TriviaQA; StrategyQA; PopQA; PDDL; KodCode	from_to_percent	from 52.86 to 61.82	from_to_percent: from 52.86 to 61.82; from 53.38 to 61.00; from 53.37 to 60.04; from 52.80 to 60.06 | score_points: +18.45 points	candidate_extracted	In Table 4 with Llama-3.1-8B-Instruct, LatentMem improves AutoGen average from 52.86 to 61.82, MacNet from 53.38 to 61.00, CAMEL from 53.37 to 60.04, and DyLAN from 52.80 to 60.06; KodCode gains range from +14.90 to +18.45 points.
I068	li2026learningcommit	Learning to Commit: Generating Organic Pull Requests via Online Repository Memory	yes_no_persistence_or_memory_ablation	Internal RL repository	manual_review	NR	NR	manual_review	Table 2 reports File IoU improvements in three of four settings, including 80% versus 61% in seq-all and 80% versus 68% in par-bycat. Table 3 reports skill-agent win rates of 54%/57% in par-bycat and 55%/58% in seq-all under Claude/Gemini judges.
I069	li2026memcoder	MEMCoder: Multi-dimensional Evolving Memory for Private-Library-Oriented Code Generation	yes_no_persistence_or_memory_ablation	NdonnxEval; NumbaEval	manual_review	NR	NR	manual_review	With Qwen2.5-Coder, Naive RAG plus MEMCoder reaches 52.54 Pass@1 on NdonnxEval and 33.74 on NumbaEval versus Naive RAG at 27.22 and 23.16. In continual-learning comparison, MEMCoder reaches 33.74 Pass@1 on NumbaEval versus ReMem 23.16 and DC-RS 17.33.
I070	chang2026memcollab	MemCollab: Cross-Agent Memory Collaboration via Contrastive Trajectory Distillation	yes_no_persistence_or_memory_ablation	HumanEval; MBPP; GSM8K; MATH/MATH500	from_to_percent	from 57.1 to 71.6	from_to_percent: from 57.1 to 71.6; from 47.9 to 57.6; from 42.7 to 74.4; from 70.8 to 79.6	candidate_extracted	For Qwen2.5-7B, MemCollab improves average accuracy from 57.1 to 71.6; MBPP improves from 47.9 to 57.6 and HumanEval from 42.7 to 74.4. For Qwen2.5-32B, average accuracy improves from 70.8 to 79.6.
I071	wang2026memgovern	MemGovern: Enhancing Code Agents through Learning from Governed Human Experiences	yes_no_persistence_or_memory_ablation	SWE-bench Verified	signed_percentage_points	+3.2pp	signed_percentage_points: +3.2pp; +8.2pp; +9.4pp; +4.65pp	candidate_extracted	+3.2pp com Claude 4 Sonnet (69.8% vs 66.6%); +8.2pp com Qwen3-235B (55.4% vs 47.2%); +9.4pp com GPT-4o (32.6% vs 23.2%); média +4.65pp em 7 LLMs
I073	kim2026memorytransfer	Memory Transfer Learning: How Memories are Transferred Across Domains in Coding Agents	yes_no_persistence_or_memory_ablation	SWE-bench Verified; LiveCodeBench; Polyglot/Aider-Polyglot; Terminal-Bench; ReplicationBench; MLGym-Bench	manual_review	NR	NR	manual_review	With GPT-5-mini, zero-shot average Pass@3 is 0.523 and MTL with Insight reaches 0.560. MTL outperforms ReasoningBank and AgentKB on the three-benchmark comparison with average 0.630 versus 0.601 and 0.613.
I074	feng2026odel	ODEL: An Experience-Augmented Self-Evolving Framework for Efficient Python-to-C++ Code Translation	yes_no_persistence_or_memory_ablation	HumanEval-X	manual_review	NR	NR	manual_review	ODEL External Experience outperforms UniTrans at 72.16% Pass@1 and 76.64% Pass@10. It also improves over ODEL Internal Experience by 6.35 Pass@1 points and 4.32 Pass@10 points.
