included_id	id	title	reporta_dados_custo	tokens_entrada_por_tarefa	tokens_saida_por_tarefa	custo_por_tarefa	reducao_tokens	custo_vs_baseline	pontuacao_qualidade
I044	zhang2026agentdevel	AgentDevel: Reframing Self-Evolving LLM Agents as Release Engineering	sim_parcial	NR	NR	NR; paper reports non-trivial compute and wall-clock overhead but no per-task monetary/token cost in extracted evidence.	NR	Qualitatively higher overhead than single-pass or in-agent refinement due to iterative execution, trace collection, diagnostic scripts, and gating; no exact cost ratio extracted.	5.0
I045	tan2026agentga	AgentGA: Evolving Code Solutions in Agent-Seed Space	sim_parcial	Example invocation consumed 1.87M prompt tokens including 1.56M cached prompt tokens.	Example invocation consumed 34,252 completion tokens.	No monetary cost reported; example invocation took 56 steps, 15 min 10 s, 1.87M prompt tokens, and 34,252 completion tokens.	NR	Long-horizon agents consume substantially more tokens and wall-clock time than artifact-centric generation; no direct monetary baseline comparison is reported.	4.5
I046	banerjee2026apexem	APEX-EM: Non-Parametric Online Learning for Autonomous Agents via Structured Procedural-Episodic Experience Replay	sim_parcial	NR	NR	NR as monetary/token cost; reports iteration reduction from memory accumulation, such as BCB full memory 1.50 to 1.32 iterations and KGQA Opus judge 4.40 to 2.50 iterations from epoch 1 to epoch 10.	NR; memory reduces self-correction iterations by 11-17% on BCB and 37-43% on KGQA in Table 11.	Memory reduces average iterations from epoch 1 to epoch 10: BCB reductions of 11-17% and KGQA reductions of 37-43%, but no monetary/token baseline is reported.	4.0
I047	xiang2026beam	BEAM: Bi-level Memory-adaptive Algorithmic Evolution for LLM-Powered Heuristic Design	sim_parcial	NR; token budgets and token-consumption trajectories are reported for some experiments, including 55w token CVRP budget.	NR	NR as monetary cost; experiments report time budgets from 18 minutes to 5 hours and token-budget experiments up to 55w tokens.	Qualitative: Adaptive Memory lets the LLM call stored functions instead of regenerating long code blocks, shrinking emitted code; no exact token-reduction percentage extracted.	BEAM needs more tokens before generating its first heuristic in complex tasks due to the bi-level structure, but Adaptive Memory is intended to reduce repeated code emission; no monetary baseline is reported.	4.5
I049	he2026coredteam	Co-RedTeam: Orchestrated Security Discovery and Exploitation with LLM Agents	sim_parcial	NR	NR	NR monetary/token cost; average latency is reported, e.g. Gemini-3-pro Co-RedTeam 319.8s on CyBench, 198.7s on BountyBench, and 605.2s on CyberGym.	NR	Latency is lower than OpenHands and C-Agent in reported comparisons, e.g. 198.7s versus OpenHands 219.6s on BountyBench with Gemini-3-pro; no monetary cost baseline reported.	4.5
I050	vogel2026codebasememory	Codebase-Memory: Tree-Sitter-Based Knowledge Graphs for LLM Code Exploration via MCP	sim_parcial	Approximately 1,000 tokens per question for MCP Agent versus approximately 10,000 for Explorer Agent.	NR	NR monetary cost; token/tool-call reductions are reported and translate to lower latency/cost.	10 times fewer tokens per question and 2.1 times fewer tool calls than Explorer Agent in Table 6.	Reports direct efficiency gains: about 10x fewer tokens, 2.1x fewer tool calls, and query latency under 1 ms versus 10-30 s for file exploration.	5.0
I051	zhang2026coevoskills	CoEvoSkills: Self-Evolving Agent Skills via Co-Evolutionary Verification	sim_parcial	NR	NR	NR; paper states convergence within five rounds keeps evolution cost practical and reports average verification-cycle counts, but no monetary/token cost per task is extracted.	NR	NR as monetary/token cost; evolution converges by about round 5 and requires verifier/oracle cycles.	5.0
I052	muhtar2026complementaryrl	Complementary Reinforcement Learning	sim_parcial	NR; training configuration includes maximum sequence lengths up to 32,768 for actor and 65,536 for experience extractor.	Maximum output tokens per step are configured as 4,096 for several experiments and 2,048 for ALFWorld.	NR monetary cost; reports action-count efficiency such as 1.5x fewer actions on MiniHack and 2x fewer actions on ALFWorld.	NR	Reports behavioral efficiency rather than monetary cost: 1.5x fewer actions on MiniHack Room and 2x fewer actions on ALFWorld; no direct SWE-Bench cost reduction is reported.	5.0
I054	qu2026coral	CORAL: Towards Autonomous Multi-Agent Evolution for Open-Ended Discovery	sim_detalhado	NR	NR	Typical 3-hour single-agent run on a mathematical optimization task with Claude Opus 4.6 costs approximately USD 30-60; four-agent runs cost approximately 3-4 times a single-agent run.	NR	CORAL uses fewer external evaluation calls than structured baselines within the same wall-clock budget, but LLM API calls dominate cost and four-agent runs multiply API cost by about 3-4 times.	5.0
I055	jiang2026darwin	DARWIN: Dynamic Agentically Rewriting Self-Improving Network	sim_parcial	NR	NR	NR; reports average time per generation of 223 seconds but no monetary cost.	NR	NR; reports runtime per generation and resource-scaling concerns but no token or monetary comparison.	3.5
I056	shen2026decocted	Decocted Experience Improves Test-Time Inference in LLM Agents	sim_parcial	Figures report average input-token curves up to roughly 300k tokens depending on task and K, but no per-task scalar is tabulated.	Figures report average output-token or interaction-step curves; no per-task scalar output-token table is provided.	NR; paper discusses that interaction can increase cost and uses output tokens or interaction steps as efficiency measures.	Lesson distillation provides strong performance with smaller input contexts than raw experience and can prevent degradation from excessively long noisy prompts; exact reduction is plotted rather than tabulated.	Efficiency is reported through generated output tokens, input-token scaling curves, and interaction steps rather than monetary cost; distilled lessons need fewer input tokens for comparable performance than raw trajectories.	5.0
I057	zhang2026docksmith	DockSmith: Scaling Reliable Coding Environments via an Agentic Docker Builder	sim_parcial	On Multi-Docker-Eval, DockSmith reports average input 207.68 versus Qwen3-Coder-30B-A3B-Instruct 150.10, DeepSeek-v3.1 158.11, and GPT-5-Mini 339.94.	On Multi-Docker-Eval, DockSmith reports average output 26.38 versus Qwen3-Coder-30B-A3B-Instruct 13.75, DeepSeek-v3.1 17.15, and GPT-5-Mini 103.32.	NR; reports token/process metrics and controlled training-token mixing ratios but no monetary cost.	NR; DockSmith uses more input/output tokens than the base Qwen3-Coder baseline on Multi-Docker-Eval but achieves higher success.	Compared with Qwen3-Coder-30B-A3B-Instruct, DockSmith increases average input tokens from 150.10 to 207.68 and output tokens from 13.75 to 26.38 while improving F2P from 19.46% to 39.72%.	5.5
I059	guo2026eet	EET: Experience-Driven Early Termination for Cost-Efficient Software Engineering Agents	sim_detalhado	Varia por agente: Agentless ~72K/task, Mini-SWE ~176K/task, Trae ~3.6M/task (sem EET); redução média de 29.9% com EET	Varia por agente: Agentless ~3.7K/task, Mini-SWE ~7.6K/task, Trae ~46.4K/task (sem EET); redução média de 25.1% com EET	Agentless GPT-5-mini: $0.028→$0.012/task (-55.1%); Trae GPT-5-mini: $0.324→$0.232/task (-28.2%); média -31.8% em 6 configurações	-29.9% input tokens, -25.1% output tokens, -20.8% API calls em média	-31.8% custo total médio vs sem EET; vs Turn-control: -31.8% vs -41.4% (Turn-control reduz mais custo mas degrada resolve rate em -10.7%)	5.5
I060	wang2026effiskill	EffiSkill: Agent Skill Based Automated Code Efficiency Optimization	sim_parcial	NR	NR	NR; all methods use a fixed candidate budget of k=8 candidates per task and execution-free inference.	NR	All methods use the same k=8 candidate budget; EffiSkill is execution-free during generation and does not rely on online runtime feedback inside the optimization loop.	5.0
I061	ma2026failuremem	FailureMem: A Failure-Aware Multimodal Framework for Autonomous Software Repair	sim_detalhado	NR	NR	USD 0.33 per issue for FailureMem versus USD 0.29 for GUIRepair, reported as about 13% higher inference cost.	NR	FailureMem reports higher inference cost than GUIRepair, USD 0.33 versus USD 0.29 per issue, while adding active perception and memory guidance.	5.5
I062	weng2026groupevolving	Group-Evolving Agents: Open-Ended Self-Improvement via Experience Sharing	sim_detalhado	NR	NR	Full-run estimates are about USD 13,000 per method on SWE-bench and USD 1,500 on Polyglot; per-60-task evaluation examples include USD 370 for Claude Sonnet 4.5 on SWE-bench and USD 60 on Polyglot.	NR	GEA and the DGM-style baseline use the same number of evolved agents, so evaluation cost is reported as similar under the staged benchmark protocol.	4.5
I063	nadafian2026kapso	KAPSO: A Knowledge-grounded framework for Autonomous Program Synthesis and Optimization	sim_parcial	NR	NR	ALE-Bench: $914.8 total (11 competições) ≈ $83/competição; MLE-Bench: budget $200/tarefa, 24h runtime	NR	ALE-Bench: $914.8 vs $1003.3 ALE-Agent (-8.8%); MLE-Bench: orçamento fixo de $200 não permite comparação direta	5.5
I064	dong2026kernelblaster	KernelBlaster: Continual Cross-Task CUDA Optimization via Memory-Augmented In-Context Reinforcement Learning	sim_parcial	NR	NR	NR	2.4× menos tokens que minimal agent sem Knowledge Base	2.4× menos tokens que minimal agent sem KB; KB reutilizável entre GPUs (~50KB compacta)	4.5
I065	sun2026kernelskill	KernelSkill: A Multi-Agent Framework for GPU Kernel Optimization	sim_parcial	NR	NR	NR; experiments report hardware, candidate seeds, and up to 15 refinement rounds per task but not monetary cost.	NR	KernelSkill reports stronger speedup per refinement round than STARK: 0.36/0.19/0.13 on Levels 1/2/3 versus 0.10/0.09/0.05 for STARK.	5.0
I066	zhao2026phyloevolve	Large Language Model-Powered Evolutionary Code Optimization on a Phylogenetic Tree	sim_parcial	NR	NR	NR; experiments report GPU hardware, Docker execution, timeouts, memory limits, checkpointing, pruning, and up to three automatic debug retries.	NR	No monetary or token-cost comparison is reported; the discussion emphasizes that trajectory-conditioned reuse reduces redundant exploration but still depends on empirical evaluation.	5.0
I067	fu2026latentmem	LatentMem: Customizing Latent Memory for Multi-Agent Systems	sim_detalhado	NR	NR	NR per task; figures report aggregate time and token consumption, for example LatentMem uses 1.09e4 seconds on MacNet+KodCode and 2.31e7 tokens on CAMEL+PopQA.	The paper reports about one-third fewer tokens and inference time reduced to about two-thirds relative to mainstream memory designs; it also reports lowest token usage among memory baselines in several plotted settings.	LatentMem is reported as fastest and lowest-token among memory baselines in the added cost figures; examples include 1.76e6 tokens on AutoGen+KodCode versus G-Memory at 3.04e6 and 1.09e4 seconds on MacNet+KodCode versus G-Memory at 2.02e4.	5.5
I068	li2026learningcommit	Learning to Commit: Generating Organic Pull Requests via Online Repository Memory	sim_parcial	NR	NR	NR; paper reports trajectory steps but not monetary or token cost.	NR	The skill-conditioned agent uses fewer trajectory steps in seq-all (56.8 versus 71.9) and slightly fewer or similar steps in most settings, but no monetary cost is reported.	3.5
I069	li2026memcoder	MEMCoder: Multi-dimensional Evolving Memory for Private-Library-Oriented Code Generation	sim_detalhado	NR	NR	On NumbaEval, MEMCoder consumes an average of 17,111 additional total tokens per task, with estimated extra cost of about USD 0.46 for the whole 187-task benchmark.	NR	MEMCoder adds token overhead for memory injection and guideline refinement compared with naive RAG, but the paper estimates the added full-NumbEval cost as about USD 0.46.	4.5
I070	chang2026memcollab	MemCollab: Cross-Agent Memory Collaboration via Contrastive Trajectory Distillation	sim_parcial	NR	NR	NR; experiments report reasoning-turn reduction and use 8 NVIDIA RTX 6000 GPUs with CUDA 12.8, but no monetary cost.	NR	MemCollab reduces average reasoning turns for Qwen2.5-7B: MATH500 2.7 to 2.2, GSM8K 1.8 to 1.6, MBPP 3.1 to 1.4, and HumanEval 3.3 to 1.5.	4.5
I071	wang2026memgovern	MemGovern: Enhancing Code Agents through Learning from Governed Human Experiences	sim_detalhado	0.78M-2.35M tokens por tarefa (varia por LLM backbone)	NR	$0.07 (Qwen3-Coder-30B) a $7.27 (Claude 4 Sonnet) por tarefa	NR (overhead leve: tokens aumentam ~3-5% vs baseline por conta de retrieval)	Overhead moderado: $6.94→$7.27 com Claude 4 Sonnet (+4.8%); $0.14→$0.20 com GPT-4o-Mini (+43%); proporcional ao uso de Searching/Browsing tools	5.5
I074	feng2026odel	ODEL: An Experience-Augmented Self-Evolving Framework for Efficient Python-to-C++ Code Translation	sim_parcial	NR	NR	NR; the discussion claims deployment-efficient, parameter-free adaptation can reduce development cost but does not provide monetary or token quantities.	NR	No numeric cost comparison is reported; ODEL invokes the external DeepSeek 685B teacher only on verification failure, while routine translation remains with the internal model.	5.0
I077	li2026opensage	OpenSage: Self-programming Agent Generation Engine	sim_parcial	NR	NR	NR; Terminal-Bench analysis reports a resolved-rate and cost tradeoff for large-small collaboration, but no per-task memory cost is isolated.	NR	The Terminal-Bench collaboration analysis reports that pairing Gemini 3 Pro for planning/review with GPT-5 Mini for execution matches GPT-5 performance while reducing cost compared with Gemini 3 Pro alone.	5.0
I078	li2026ocrd	Outcome-Conditioned Reasoning Distillation for Resolving Software Issues	sim_detalhado	NR	NR	BRD averages 24.7 LLM calls and 14.3k total tokens per issue in the overhead ablation; the MCTS-style baseline averages 240 calls and 35.4k total tokens per issue.	Compared with the MCTS-style forward-search baseline, BRD uses 9.71x fewer LLM calls and 2.47x fewer total tokens per issue.	In the reasoning-plan ablation, O-CRD with BRD achieves higher Pass@1 than the MCTS-style variant while using substantially fewer LLM calls and tokens.	5.0
I079	wu2026reasoningmemory	Procedural Knowledge at Scale Improves Reasoning	sim_parcial	NR	Maximum output length is set to 32,768 tokens in the implementation; per-task input/output token means are not reported.	NR monetary; inference cost is reported through sample budgets such as m=8, m=30, and scaling analyses up to m=100.	NR	The method can outperform retrieval-free Length Scaling at matched sample budgets, but the paper does not provide monetary or end-to-end token-cost comparisons.	5.5
I080	hao2026recreate	ReCreate: Reasoning and Creating Domain Agents Driven by Experience	sim_parcial	NR	NR	Figure 6 reports scaffold-optimization cost by domain; ReCreate reduces cost relative to ADAS by roughly 36% to 82%.	NR	Compared with ADAS, ReCreate is reported to reduce scaffold-optimization cost by roughly 36% to 82% because it uses interaction evidence and smaller development sets rather than repeated candidate evaluation.	5.5
I081	gangireddi2026revere	REVERE: Reflective Evolving Research Engineer for Scientific Workflows	sim_detalhado	The paper reports reflector inputs of about 300k-500k tokens and agent inputs of about 40k-120k tokens in the research-coding settings; per-task means are not separately tabulated.	NR	Benchmark cost estimates are $1-3 per SUPER task, about $0.1-0.3 per ResearchCodeBench task, and about $0.2-0.4 per ScienceAgentBench task; REVERE adaptation cost is reported as nearly 10x lower than ACE and GEPA on SUPER.	NR	REVERE is reported to be up to about 10x more cost-effective than ACE and GEPA in adaptation overhead, using targeted edits and Global Training Context rather than refinement and Pareto selection.	5.0
I082	singh2026ruleflow	RuleFlow: Generating Reusable Program Optimizations with LLMs	sim_parcial	NR	NR	NR monetary; LLM use is offline in discovery and rule generation, while deployment applies rewrite rules without further LLM calls.	NR	RuleFlow avoids per-program LLM calls at deployment by amortizing offline LLM discovery into reusable compiler rules, but it does not report monetary or token costs for discovery.	5.0
I083	wu2026llmamem	Scaling Teams or Scaling Time? Memory Enabled Lifelong Learning in LLM Multi-Agent Systems	sim_detalhado	NR	NR	Average token usage per task is compared across memory baselines; LLMA-Mem reduces token usage relative to MARBLE and A-Mem by 9.4% to 71.7% depending on model and environment.	Token reductions include 42.2% for Claude-Sonnet-4.5 on coding, 47.5% for DeepSeek-V3.2 on coding, 71.7% for Qwen3-32B-Instruct on research, 44.2% for Qwen3-32B-Instruct on database, 53.2% for Qwen3-next-80B on coding, 9.4% for DeepSeek-V3.2 on database, and 14.5% for Qwen3-next-80B on database.	LLMA-Mem lowers average token usage relative to MARBLE and A-Mem while improving long-horizon performance, showing that gains are not obtained by simply spending more context tokens.	5.5
I085	banerjee2026severa	SEVerA: Verified Self-Evolving Agents	sim_parcial	NR	NR	NR monetary cost; wall-clock overhead is reported.	NR	Full SEVerA pipeline takes 18.2 seconds per HumanEvalDafny instance versus 9.8 seconds for an LLM baseline, and 25.6 seconds versus 10.3 seconds on DafnyBench.	5.5
I088	bhardwaj2026superlocalmemory	SuperLocalMemory V3.3: The Living Brain -- Biologically-Inspired Forgetting, Cognitive Quantization, and Multi-Channel Retrieval for Zero-LLM Agent Memory Systems	sim_parcial	NR	NR	Zero-LLM Mode A runs locally without cloud API calls; no monetary per-task cost is reported.	NR	Zero-LLM Mode A avoids LLM/API cost and runs on local CPU resources, but the paper does not isolate a comparable monetary-cost baseline.	4.5
I090	zhang2026textbfgs	TextBFGS: A Case-Based Reasoning Approach to Code Optimization via Error-Operator Retrieval	sim_detalhado	NR	NR	NR monetary cost; calls and token counts per task are reported.	HumanEval-Hard cross-domain TextBFGS uses 21.6k tokens/task versus 30.9k for TextGrad and 43.7k for TextGrad-Momentum; MBPP in-domain TextBFGS uses 17.2k tokens/task versus 26.6k for TextGrad.	Compared with TextGrad-Momentum on HumanEval-Hard, TextBFGS uses about 50.6% fewer tokens per task; the paper also reports lower calls per task than TextGrad/TextGrad-Momentum.	5.0
I091	chen2026aiscientist	Toward Autonomous Long-Horizon Engineering for ML Research	sim_detalhado	NR	NR	PaperBench cost/task is reported: Gemini AiScientist $15.67 versus IterAgent $27.44; GLM-5 AiScientist $12.20 versus IterAgent $54.90. Full 20-task PaperBench grading costs about $832.	NR	AiScientist is cheaper than IterAgent in the reported PaperBench setup: $15.67 versus $27.44 per task with Gemini and $12.20 versus $54.90 with GLM-5.	4.5
I092	li2026traversalaspolicy	Traversal-as-Policy: Log-Distilled Gated Behavior Trees as Externalized, Verifiable Policies for Safe, Robust, and Efficient Agents	sim_parcial	126k tokens avg (GBT-SE, SWE-bench Verified) vs 208k (native)	NR	NR	-39% Tok (208k→126k) e -40% Chars (820k→490k) no SWE-bench Verified; -45% Tok (94k→52k) e -43% Chars (360k→205k) no WebArena	Tok/Chars 208k/820k→126k/490k SWE-bench (-39%/-40%); 94k/360k→52k/205k WebArena (-45%/-43%); 8B executors viáveis com same GBT artifact	5.5
I093	yan2026slump	When the Specification Emerges: Benchmarking Faithfulness Loss in Long-Horizon Coding Agents	sim_parcial	NR	NR	NR monetary cost; external state size and compaction/restart behavior are reported.	NR	ProjectGuard adds external state averaging hundreds of KB and changes compaction/restart behavior; no monetary or token-cost comparison is reported.	5.0
I095	gangireddi2026sare	Self-Adapting Agents for Automating Research Coding Workflows	sim_detalhado	NR	NR	SUPER costs about $1-3 per task; ResearchCodeBench and ScienceAgentBench are reported at about $1 per task in the appendix cost table.	NR	Per-task benchmark costs are reported at roughly $1-3, but the paper does not isolate the additional cost of reflection and context growth versus baselines.	5.0
