included_id	id	title	current_status	suggested_status	final_status	baseline_evidence	performance_evidence	manual_rationale
I012	kong2025alphaopt	AlphaOPT: Formulating Optimization Programs with Self-Improving LLM Experience Library	yes_no_persistence_or_memory_ablation	needs_manual_review	yes_no_persistence_or_memory_ablation	Standard prompting, OptiMus, ORThought, ORLM, LLMOPT, Reflexion, ExpeL, AlphaOPT ablations without refinement and without insight examples.	AlphaOPT exceeds ExpeL on test micro/macro averages (80.1/76.4 vs 69.9/66.3) and out-of-distribution micro/macro averages (86.5/74.8 vs 74.3/64.1). Removing refinement reduces out-of-distribution macro from 74.8 to 70.5.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I013	yu2025satlution	Autonomous Code Evolution Meets NP-Completeness	no_no_persistence_or_nonmemory_baseline	needs_manual_review	no_no_persistence_or_nonmemory_baseline	Human-designed SAT Competition 2024 solvers; SAT Competition 2025 winner and runner-up; AlphaEvolve comparison at capability level.	On the SAT Competition 2025 comparison, the top evolved solvers solve 347, 345, and 344 instances, compared with 334 and 331 instances for the gold and silver 2025 winners; figures report lowest PAR-2 scores on 2025 and 2024 benchmarks.	Extracted evidence does not document a no-persistence or non-memory baseline suitable for the controlled-comparison denominator.
I015	jansen2025codedistiller	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	yes_nonmemory_external_baseline	candidate_controlled_no_persistence	yes_nonmemory_external_baseline	Different CodeDistiller base models; downstream CodeScientist with generic materials-science examples versus CodeDistiller-generated examples.	Downstream A/B preference proportions favor CodeDistiller over the generic-example baseline for accuracy (0.50 vs 0.26), completeness (0.46 vs 0.16), and soundness (0.50 vs 0.30), with ties making up the remainder.	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I016	wong2025confucius	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	yes_nonmemory_external_baseline	needs_manual_review	yes_nonmemory_external_baseline	SWE-Agent, Live-SWE-Agent, OpenHands, Anthropic (proprietário), OpenAI (proprietário)	+3.0pp vs OpenAI (59.0% vs 56.0%) com GPT-5.2; +6.9pp vs Live-SWE-Agent (52.7% vs 45.8%) com Claude 4.5 Sonnet; +1.8pp vs OpenHands (74.6% vs 72.8%) no SWE-Bench-Verified	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I017	zhang2025darwingodel	Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents	yes_no_persistence_or_memory_ablation	needs_manual_review	yes_no_persistence_or_memory_ablation	DGM without self-improving agents, DGM without open-ended exploration, checked open-source SWE-bench SoTA, Aider on Polyglot	DGM outperforms variants without self-improvement and without open-ended exploration; best discovered SWE-bench agent is comparable to checked open-source human-designed SoTA, while Polyglot improves 14.2% to 30.7% on the full benchmark.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I018	lin2025eco	ECO: An LLM-Driven Efficient Code Optimizer for Warehouse Scale Computers	boundary_needs_pdf_review	candidate_controlled_no_persistence	no_no_persistence_or_nonmemory_baseline	Human baseline for microbenchmark edits; historical production changes; retrieval baselines including bag-of-words, deep text embeddings, and deep code embeddings; production before/after profiler measurements.	Production deployment reports over 2M normalized cores saved, more than 500k normalized cores saved per quarter, and successful edits across multiple anti-pattern categories; ECO scales human optimization effort beyond manual search.	PDF/text review found ECO comparisons against human edits, retrieval methods, unoptimized programs, and production before/after measures, but no clean no-persistence or non-memory coding-agent comparator.
I019	yuksel2025evolattice	EvoLattice: Persistent Internal-Population Evolution through Multi-Alternative Quality-Diversity Graph Representations for LLM-Guided Program Discovery	yes_nonmemory_external_baseline	needs_manual_review	yes_nonmemory_external_baseline	Spectral Energy, Covariance Trace, Spectral + Covariance fixed proxy, ZeroLM, LPZero, FunSearch-style proxy generation, AlphaEvolve-style diff evolution, ShinkaEvolve-like parent sampling.	EvoLattice exceeds AlphaEvolve-style diff evolution (0.11 ±0.06), ShinkaEvolve-like parent sampling (0.12 ±0.05), FunSearch-style proxy generation (0.09 ±0.07), and LPZero (0.10 ±0.05).	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I020	ou2025k3trans	Evolving Triple Knowledge-Augmented LLMs for Code Translation in Repository Context	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Basic RAG adapted from prior work, prompt engineering baseline, C2Rust rule-based baseline, ablations over knowledge types and retrieval strategy.	For Claude-3-5-Sonnet, K3 Trans improves over prompt engineering from 57.9% to 75.7% Compilation@1 and from 49.1% to 67.7% Pass@1; the paper reports relative improvements up to 135.9% on Pass@1 and 32.8% on CodeBLEU among studied LLMs.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I021	mu2025experepair	EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	SWE-Agent, Moatless Tools, Agentless-1.5, AutoCodeRover-v2, OpenHands, PatchPilot, DARS, and ablations without experience module, demonstrations, or insights.	ExpeRepair surpasses PatchPilot 45.3% and DARS 47.0% on SWE-bench Lite while costing far less than DARS ($2.07 vs $12.24). Removing the experience module drops resolved rate from 47.7% to 41.3%.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I022	lindenbauer2025ctimrover	From Knowledge to Noise: CTIM-Rover and the Pitfalls of Episodic Memory in Software Engineering Agents	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	AutoCodeRover (sem CTIM), configurações ablativas (CTIM only, General CTIM only, Repo-level CTIM only, Exemplar only)	-2pp vs baseline (40% vs 42%); CTIM only -11pp (31% vs 42%)	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I023	wu2025gcc	Git Context Controller: Manage the Context of LLM-based Agents like Git	yes_nonmemory_external_baseline	candidate_controlled_no_persistence	yes_nonmemory_external_baseline	ReAct Agent, SWE Agent, Summary Agent, Folding Agent (controlados); 26 sistemas existentes em SWE-Benchlite (CodeStory Aide, MarsCode, Honeycomb, MentatBot, etc.)	+6.2pp Pass@1 vs Folding Agent (melhor baseline) com Claude 4 Sonnet em SWE-Bench Verified (0.802 vs 0.740); +1.9pp BrowseComp-Plus com GPT-5 (0.834 vs 0.815)	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I024	wang2025huxleygodel	Huxley-Gödel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	SICA, DGM, initial ancestor, SWE-agent + GPT-5-mini, SWE-agent leaderboard baseline, HGM transfer variants.	HGM requires 517 CPU-hours versus DGM 1231 on SWE-Verified-60, and 347 versus DGM 2385 on Polyglot; on SWE-Lite standard, the HGM best-belief agent reaches 49.0% with GPT-5-mini and 57.0% with GPT-5 transfer.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I025	wang2025repositorymemory	Improving Code Localization with Repository Memory	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	CodeRankEmbed, Agentless, LocAgent (sem memória)	+4.9% Acc@5 absoluto vs LocAgent em SWE-bench-verified; +3.1% em SWE-bench-live; resolve rate +3.4% em end-to-end (40.4% vs 37.0%)	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I026	kernelevolve2025	KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta	no_no_persistence_or_nonmemory_baseline	needs_manual_review	no_no_persistence_or_nonmemory_baseline	PyTorch baselines, expert manual implementations, existing kernel-generation prototypes such as KernelBench/KernelLLM/CWM-related systems.	Reports 1.2x to 17x speedups over PyTorch baselines across production use cases and competitive performance with expert manual implementations.	Extracted evidence does not document a no-persistence or non-memory baseline suitable for the controlled-comparison denominator.
I027	yang2025lingxi	Lingxi: Repository-Level Issue Resolution Framework Enhanced by Procedural Knowledge Guided Scaling	yes_no_persistence_or_memory_ablation	needs_manual_review	yes_no_persistence_or_memory_ablation	mini-SWE-agent, OpenHands, SWE-agent, SWE-search, Augment Agent prior, raw issue-patch memory and no-knowledge ablations	With Claude 4 Sonnet, Lingxi reports 74.60% versus OpenHands and Augment Agent prior at 70.40%, SWE-search at 70.08%, SWE-agent at 66.60%, and mini-SWE-agent at 64.93%. With Kimi-K2, Lingxi reports 70.33% versus OpenHands 65.40% and mini-SWE-agent 43.80%.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I030	khan2025macog	Multi-Agent Code-Orchestrated Generation for Reliable Infrastructure-as-Code	yes_no_persistence_or_memory_ablation	needs_manual_review	yes_no_persistence_or_memory_ablation	Few-shot, chain-of-thought, multi-turn, RAG, and MACOG ablations without specialized agents/components.	GPT-5 MACOG reaches 74.02 IaC-Eval, BLEU 11.86, CodeBERTScore 80.54, and LLM-judge 94.10. Ablations reduce IaC-Eval, including -Engineer at 64.89, -Security Prover at 61.45, -DevOps at 56.93, and -Memory Curator at 72.17.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I031	ouyang2025reasoningbank	ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	No Memory, Synapse, AWM and success-only/failure-trajectory ablations	On SWE-bench Verified, Gemini-2.5-flash ReasoningBank reports 38.8% resolve versus 34.2% No Memory and 35.4% Synapse; Gemini-2.5-pro reports 57.4% versus 54.0% No Memory and 53.4% Synapse. Failure-trajectory ablations report larger gains than success-only memory variants.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I032	guo2025redcodeagent	RedCodeAgent: Automatic Red-teaming Agent against Diverse Code Agents	no_no_persistence_or_nonmemory_baseline	needs_manual_review	no_no_persistence_or_nonmemory_baseline	No Jailbreak, GCG, AmpleGCG, Advprompter, AutoDAN, retry variants, and multiple target code agents such as OCI, RA, Cursor, Codeium, and MetaGPT	Compared with no-jailbreak and jailbreak baselines, RedCodeAgent reports higher ASR across RedCode-Exec, RedCode-Gen, and RMCbench. In selected subtasks it reaches 70.00% ASR/20.00% RR for deleting sensitive files and 93.33% ASR/6.67% RR for adding risky aliases.	Extracted evidence does not document a no-persistence or non-memory baseline suitable for the controlled-comparison denominator.
I033	wang2025reflectiondriven	Reflection-Driven Control for Trustworthy Code Agents	yes_no_persistence_or_memory_ablation	needs_manual_review	yes_no_persistence_or_memory_ablation	Base models without Reflex versus Base+Reflex across gpt-3.5-turbo, gpt-4o, qwen3-coder-plus, and gemini-2.5-pro	Base+Reflex improves security rate by +2.9 for gpt-3.5-turbo, +9.3 for gpt-4o, +11.2 for qwen3-coder-plus, and +9.1 for gemini-2.5-pro; pass rate is mostly preserved but decreases for qwen3-coder-plus (86.7 to 80.1).	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I035	tablan2025smarter	Smarter Together: Creating Agentic Communities of Practice through Shared Experiential Learning	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	NO-SPARK (LLMs sem memória externa), DS-1000 Human Reference solutions (4.28/5 média)	+0.66 code quality Qwen3-Coder (4.23→4.89); +0.41 Haiku 4.5 (4.50→4.91); +0.05 GPT-5-Codex (4.78→4.83); todos WITH-SPARK excedem qualidade humana (4.28)	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I037	chen2025sweexp	SWE-Exp: Experience-Driven Software Issue Resolution	yes_nonmemory_external_baseline	needs_manual_review	yes_nonmemory_external_baseline	Agentless, SWE-Agent, SWE-Search, OpenHands, EvoCoder, SAGE	+2.2pp vs SWE-Search com Claude 4 Sonnet (73.0% vs 70.8%); +6.6pp vs SWE-Search com DeepSeek (42.0% vs 35.4%); +3.2pp vs SWE-Agent com DeepSeek (42.0% vs 38.8%); +4.2pp vs EvoCoder com DeepSeek (42.0% vs 38.0%)	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I038	feng2025tai3	TAI3: Testing Agent Integrity in Interpreting User Intent	yes_nonmemory_external_baseline	candidate_controlled_no_persistence	yes_nonmemory_external_baseline	SelfRef baseline and ablations/generalization settings with different testing and target models	Table 1 reports broad EESR gains over SelfRef, including Finance GPT-4o-mini VALID 41.5 to 61.0 (+19.5), Healthcare GPT-4o-mini INVALID 44.7 to 57.4 (+12.7), and Office Llama-3.1-8B UNDERSPEC 65.7 to 82.0 (+16.3).	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I039	shen2025talm	TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	yes_nonmemory_external_baseline	needs_manual_review	yes_nonmemory_external_baseline	Direct Prompting, Chain-of-Thought (CoT), Self-Planning Prompting, Reflexion, MapCoder	+3.17pp BigCodeBench vs Direct (53.27% vs 50.10% GPT-4o); +5.00pp ClassEval class vs Direct (38.00% vs 33.00%); +2.00pp ClassEval class vs MapCoder (38.00% vs 36.00%); ~50% menos tokens que MapCoder	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I040	zhou2025tomswe	TOM-SWE: User Mental Modeling For Software Engineering Agents	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	CodeAct (vanilla sem memória), RAGCodeAct (single-agent com RAG de sessões anteriores)	+11.5pp Ambiguous SWE-bench (63.4% vs 51.9%) com Claude Sonnet 4; +41.6pp Stateful SWE (59.7% vs 18.1%); satisfaction 3.62 vs 2.57 (+41%); RAGCodeAct inferior ao ToMCodeAct em todos modelos	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I041	cao2025hxagent	Toward Generation of Test Cases from Task Descriptions via History-aware Planning	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	WebGUM, RCI, Synapse, Li et al. staged LLM baseline with GPT-4o, and ablations without experience, without sequence-action memory, and without iterative planning	On challenging MiniWoB++ tasks, HxAgent averages 82% Exact-Match versus 10% for Li et al. (GPT-4o). On real-world applications it averages 87% Exact-Match versus 28% and 93% Prefix-Match versus 34%. Removing experience drops Exact-Match from 97% to 88%; removing both SAM and experience drops it to 47%.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I042	hosain2025xolver	Xolver: Multi-Agent Reasoning with Holistic Experience Learning Just Like an Olympiad Team	yes_nonmemory_external_baseline	needs_manual_review	yes_nonmemory_external_baseline	LongCoT (backbone direto), Self-Reflexion, OctoTools, Search-o1, CheatSheet, CodeSim; modelos proprietários (o1, o3, o4-mini-high, Gemini 2.5 Pro/Flash); open-weight (DeepSeek-R1, Qwen3-235B); especializados (rStar-Math, AlphaOne, OpenMathReason, OpenCodeReason)	+18.6pp AIME'24 avg vs o3-mini-medium LongCoT (93.8% vs 75.8%); +13.6pp AIME'25 (89.4% vs 75.8%); +21.0pp LiveCodeBench (87.3% vs 66.3%); supera o4-mini-high em AIME'24 (93.8% vs 93.4%) e LiveCodeBench (87.3% vs 69.5%)	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I043	du2026adaexplore	AdaExplore: Failure-Driven Adaptation and Diversity-Preserving Search for Efficient Kernel Generation	yes_no_persistence_or_memory_ablation	needs_manual_review	yes_no_persistence_or_memory_ablation	Single-pass GPT-5-mini/GPT-5/Claude-4.6-Opus, AutoTriton, DR. Kernel, parallel sampling, iterative refinement, OpenEvolve, variants with cross-task skill memory, and AdaExplore ablations	At 50 steps on Level-2, AdaExplore reaches 2.65x speedup versus IR with skill memory at 2.59x and PS with skill memory at 2.12x. Removing cross-task skill memory drops speedup from 2.65x to 2.32x and Fast@1.2 from 71% to 56%.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I044	zhang2026agentdevel	AgentDevel: Reframing Self-Evolving LLM Agents as Release Engineering	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Initial base agent, SWE-agent, GPT-4o scaffolded baseline, CER_hybrid, DFS, and ablations without flip gate, without executable diagnosis, and with non-blind critic	On SWE-bench Lite, AgentDevel reaches 22.0% versus base 11.0% and reported SWE-agent 18.0%. On WebArena ablation, the full pipeline keeps P2F regression rate at 3.1% with zero bad releases; removing the flip gate raises P2F to 14.8% and creates four bad releases.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I045	tan2026agentga	AgentGA: Evolving Code Solutions in Agent-Seed Space	boundary_needs_pdf_review	needs_manual_review	yes_no_persistence_or_memory_ablation	AIDE benchmark reference; contextual comparisons to H2O AutoML, AutoGPT, and human with ChatGPT; Initial de novo proposals versus parent-conditioned operators	Parent-conditioned operators win 48.7% of parent-child tournaments overall, while Initial proposals win only 12.2%. Continue wins 148/286 tournaments, Merge 68/104, EDA 267/593, Ablation 34/78, and Initial 9/74.	PDF/text review found a direct initial/de novo proposal comparator against parent-conditioned operators using inherited archives.
I046	banerjee2026apexem	APEX-EM: Non-Parametric Online Learning for Autonomous Agents via Structured Procedural-Episodic Experience Replay	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	No Memory, Pass@10, Reflexion, RAG, Self-RAG, Mem0, MemP, MemRL, semantic-only/entity-graph/full-memory ablations, Opus-judge ablation	BigCodeBench improvement is +29.4pp over no memory and exceeds MemRL's reported +11.0pp gain. KGQA full-memory plus Opus judge reaches 89.6% versus 41.3% no memory. HLE entity graph retrieval improves 25.2% to 48.0%.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I047	xiang2026beam	BEAM: Bi-level Memory-adaptive Algorithmic Evolution for LLM-Powered Heuristic Design	yes_no_persistence_or_memory_ablation	needs_manual_review	yes_no_persistence_or_memory_ablation	EoH, ReEvo, MCTS-AHD, AlphaEvolve, LLaMEA, LLaMEA-HPO, KaMIS, RLSA, ARW, HGS, Split and local search, EACO-EDM, BE without Adaptive Memory, one-shot and MCTS education baselines	In CVRP, BEAM with Split and local search reports gaps of 0.09%, 0.38%, and 0.86% for CVRP-100/200/500 versus EoH gaps of 0.22%, 0.57%, and 1.09%. In BBOB, BEAM average gap is 0.007 versus ReEvo 0.957, EoH 6.032, and LLaMEA-HPO 0.386.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I048	bai2026patchadvisor	Beyond Crash-to-Patch: Patch Evolution for Linux Kernel Repair	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Unguided baseline coding agent, memory-guided agent, base advisors without fine-tuning, fine-tuned PatchAdvisor variants	Baseline repair succeeds on 1/6 bugs with CodeBERTScore 0.42 and 83.3% compile success. Memory-guided repair succeeds on 4/6 with CodeBERTScore 0.74. Fine-tuned Gemma-3-12B PatchAdvisor succeeds on 5/6 with average rank 2.7.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I049	he2026coredteam	Co-RedTeam: Orchestrated Security Discovery and Exploitation with LLM Agents	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Vanilla prompting, OpenHands, C-Agent, VulTrail, RepoAudit, component ablations without critique, validation, vulnerability documents, code browser, memory, or execution	For Gemini-3-pro, OpenHands reaches 45.2%/45.0%/5.0%/20.2% across CyBench, BountyBench exploit/detect, and CyberGym; Co-RedTeam reaches 63.7%/65.0%/20.0%/37.3%. Removing memory drops Gemini-2.5-pro CyBench from 59.1% to 50.0%, BountyBench exploit from 60.0% to 40.0%, and CyberGym from 31.5% to 22.6%.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I050	vogel2026codebasememory	Codebase-Memory: Tree-Sitter-Based Knowledge Graphs for LLM Code Exploration via MCP	yes_nonmemory_external_baseline	needs_manual_review	yes_nonmemory_external_baseline	File-exploration agent using conventional file reading and grep; comparison to embedding/RAG, RepoMap, and graph-plus-LLM retrieval approaches	MCP Agent reaches 90% of Explorer quality while using 10 times fewer tokens and 2.1 times fewer tool calls; it matches or exceeds explorer behavior on graph-native hub/caller queries for 19 of 31 languages.	Extracted evidence reports quantitative comparison against external or generic systems without the reviewed persistence architecture; count separately from strict ablations if needed.
I051	zhang2026coevoskills	CoEvoSkills: Self-Evolving Agent Skills via Co-Evolutionary Verification	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	No-skill baseline, Anthropic Skill-Creator, single-session skill generation, SkillsBench self-generated skills, CoT-guided self-generation, human-curated skills, ablations without surrogate verifier or without evolution	CoEvoSkills improves +40.5pp over no-skill and +17.6pp over human-curated skills. Skill-Creator reaches 34.1%, single-session generation 32.4%, SkillsBench self-generated 32.0%, and CoT-guided self-generation 30.7%. Removing the surrogate verifier drops pass rate from 71.1% to 41.1%; removing evolution drops to 48.6%.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
I052	muhtar2026complementaryrl	Complementary Reinforcement Learning	yes_no_persistence_or_memory_ablation	candidate_controlled_no_persistence	yes_no_persistence_or_memory_ablation	Outcome-based RL baseline without experience, Static Online Experience, Static Online Experience evaluated without experience, Experience Only, Complementary RL with/without experience at evaluation	Multi-task table reports baseline average 0.75, Complementary RL evaluated with experience 0.82, and Complementary RL without experience 0.78. Static Online Experience with experience averages 0.59 and without experience 0.54, showing that static experience alone is insufficient.	Extracted evidence names a no-memory/no-persistence comparator or a memory-component ablation.
