included_id	id	title	current_score	q1_objectives	q2_evaluation_adequacy	q3_threats_discussed	q4_empirical_data	q5_context_replicability	q6_metrics_defined	final_score	prefill_note	manual_rationale
I060	wang2026effiskill	EffiSkill: Agent Skill Based Automated Code Efficiency Optimization	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I061	ma2026failuremem	FailureMem: A Failure-Aware Multimodal Framework for Autonomous Software Repair	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I062	weng2026groupevolving	Group-Evolving Agents: Open-Ended Self-Improvement via Experience Sharing	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I063	nadafian2026kapso	KAPSO: A Knowledge-grounded framework for Autonomous Program Synthesis and Optimization	5.5	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;artifact_partial	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I064	dong2026kernelblaster	KernelBlaster: Continual Cross-Task CUDA Optimization via Memory-Augmented In-Context Reinforcement Learning	4.5	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I065	sun2026kernelskill	KernelSkill: A Multi-Agent Framework for GPU Kernel Optimization	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I066	zhao2026phyloevolve	Large Language Model-Powered Evolutionary Code Optimization on a Phylogenetic Tree	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I067	fu2026latentmem	LatentMem: Customizing Latent Memory for Multi-Agent Systems	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I068	li2026learningcommit	Learning to Commit: Generating Organic Pull Requests via Online Repository Memory	NR	1	0.5	0.5	0.5	0	1	3.5	case_or_nonstandard_evaluation;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 3.5: Learning to Commit is a pilot on one private repository with seven future tasks and LLM judging, so empirical breadth and replication context are limited despite defined metrics.
I069	li2026memcoder	MEMCoder: Multi-dimensional Evolving Memory for Private-Library-Oriented Code Generation	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I070	chang2026memcollab	MemCollab: Cross-Agent Memory Collaboration via Contrastive Trajectory Distillation	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I071	wang2026memgovern	MemGovern: Enhancing Code Agents through Learning from Governed Human Experiences	5.5	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I073	kim2026memorytransfer	Memory Transfer Learning: How Memories are Transferred Across Domains in Coding Agents	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;artifact_partial	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I074	feng2026odel	ODEL: An Experience-Augmented Self-Evolving Framework for Efficient Python-to-C++ Code Translation	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I076	jiang2026opengame	OpenGame: Open Agentic Coding for Games	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I077	li2026opensage	OpenSage: Self-programming Agent Generation Engine	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I078	li2026ocrd	Outcome-Conditioned Reasoning Distillation for Resolving Software Issues	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I079	wu2026reasoningmemory	Procedural Knowledge at Scale Improves Reasoning	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I080	hao2026recreate	ReCreate: Reasoning and Creating Domain Agents Driven by Experience	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I081	gangireddi2026revere	REVERE: Reflective Evolving Research Engineer for Scientific Workflows	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I082	singh2026ruleflow	RuleFlow: Generating Reusable Program Optimizations with LLMs	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I083	wu2026llmamem	Scaling Teams or Scaling Time? Memory Enabled Lifelong Learning in LLM Multi-Agent Systems	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I085	banerjee2026severa	SEVerA: Verified Self-Evolving Agents	NR	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I086	fahim2026selfevolve	Software Self-Extension with SelfEvolve: an Agentic Architecture for Runtime Code Generation	NR	1	0.5	0.5	1	0	1	4.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;artifact_partial	Quality score 4.0: SelfEvolve is evaluated on 11 manually designed tasks with one function-calling stack and possible test-code collusion, limiting evaluation adequacy and replication context.
I087	shen2026structurally	Structurally Aligned Subtask-Level Memory for Software Engineering Agents	5.0	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;artifact_partial	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I088	bhardwaj2026superlocalmemory	SuperLocalMemory V3.3: The Living Brain -- Biologically-Inspired Forgetting, Cognitive Quantization, and Multi-Channel Retrieval for Zero-LLM Agent Memory Systems	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I090	zhang2026textbfgs	TextBFGS: A Case-Based Reasoning Approach to Code Optimization via Error-Operator Retrieval	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I091	chen2026aiscientist	Toward Autonomous Long-Horizon Engineering for ML Research	NR	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
I092	li2026traversalaspolicy	Traversal-as-Policy: Log-Distilled Gated Behavior Trees as Externalized, Verifiable Policies for Safe, Robust, and Efficient Agents	5.5	1	1	1	1	0.5	1	5.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present	Quality score 5.5: Strong empirical evaluation and metrics, with partial replication context because of preprint status, artifact limits, proprietary components, benchmark-specific setup, or model/provider dependence.
I093	yan2026slump	When the Specification Emerges: Benchmarking Faithfulness Loss in Long-Horizon Coding Agents	NR	1	1	0.5	1	0.5	1	5.0	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;code_open	Quality score 5.0: Adequate empirical evaluation with defined metrics, but threats and/or replication context are only partially addressed.
I094	deng2026memcoder	Your Code Agent Can Grow Alongside You with Structured Memory	4.5	1	0.5	1	1	0	1	4.5	empirical_benchmark;metrics_reported;context_reported;validity_or_threat_notes_present;artifact_partial	Quality score 4.5: Empirical results and metrics are present, but evaluation adequacy is limited by narrow, internal, proxy, small, or domain-specific settings and replication context is weak.
