full_text_id	screening_id	dedup_group	title	year	authors	venue	doi	arxiv_id	sources	source_files	provenance	duplicate_row_count	title_abstract_decision	title_abstract_rationale	has_abstract	needs_metadata_lookup	retrieval_priority	retrieval_status	pdf_path	text_path	full_text_decision	ci1_persistence	ci2_evaluation	ci3_year	ci4_language	ci5_publication_type	ce1_no_cross_session_persistence	ce2_not_software_dev	ce3_no_evaluation	ce4_tutorial_editorial_or_descriptive_survey	ce5_duplicate_or_superseded	exclusion_code	full_text_rationale	reviewer	reviewed_at_utc	notes
FT0011	TA00129	D00129	TALM: Dynamic Tree-Structured Multi-Agent Framework with Long-Term Memory for Scalable Code Generation	2025		arXiv	10.48550/arXiv.2510.23010	2510.23010	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE	4	include	TALM integrates a long-term memory module for scalable multi-agent code generation.	yes	no	1_include	ok	search/full-texts/pdf/FT0011_TA00129_talm-dynamic-tree-structured-multi-agent-framework-with-long-term-memory-for-sca.pdf	search/full-texts/text/FT0011_TA00129_talm-dynamic-tree-structured-multi-agent-framework-with-long-term-memory-for-sca.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes TALM as a code-generation framework with a long-term memory module that stores, retrieves, and updates prior problem-solving experiences for future tasks, with HumanEval, BigCodeBench, and ClassEval evaluation.	codex_full_text_003	2026-04-28T21:46:20Z	Calibration batch 003. | retrieval ok via arxiv | Full-text batch 003 high-confidence include records.
FT0012	TA00142	D00142	Smarter Together: Creating Agentic Communities of Practice through Shared Experiential Learning	2025		arXiv	10.48550/arXiv.2511.08301	2511.08301	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.AI;cs.SE	3	include	Spark is a persistent shared experiential memory architecture for AI coding agents and is evaluated on software-development tasks.	yes	no	1_include	ok	search/full-texts/pdf/FT0012_TA00142_smarter-together-creating-agentic-communities-of-practice-through-shared-experie.pdf	search/full-texts/text/FT0012_TA00142_smarter-together-creating-agentic-communities-of-practice-through-shared-experie.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes Spark as a persistent shared experiential memory for coding agents, where structured experience traces are merged into a continuously evolving memory and evaluated on software-development tasks.	codex_full_text_003	2026-04-28T21:46:20Z	Calibration batch 004. | retrieval ok via arxiv | Full-text batch 003 high-confidence include records.
FT0013	TA00148	D00148	CodeDistiller: Automatically Generating Code Libraries for Scientific Coding Agents	2025		arXiv	10.48550/arXiv.2512.01089	2512.01089	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.AI	0	include	CodeDistiller builds a vetted reusable code-example library for scientific coding agents and evaluates downstream agent benefit.	yes	no	1_include	ok	search/full-texts/pdf/FT0013_TA00148_codedistiller-automatically-generating-code-libraries-for-scientific-coding-agen.pdf	search/full-texts/text/FT0013_TA00148_codedistiller-automatically-generating-code-libraries-for-scientific-coding-agen.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes CodeDistiller generating a vetted reusable code-example library from repositories for scientific coding agents, with automatic/domain-expert evaluation and downstream agent evaluation.	codex_full_text_003	2026-04-28T21:46:20Z	Calibration batch 004. | retrieval ok via arxiv | Full-text batch 003 high-confidence include records.
FT0014	TA00153	D00153	PBFuzz: Agentic Directed Fuzzing for PoV Generation	2025		arXiv	10.48550/arXiv.2512.04611	2512.04611	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.CR;cs.SE	0	include	PBFuzz includes persistent memory to avoid hypothesis drift in agentic vulnerability-input generation and reports empirical results.	yes	no	1_include	ok	search/full-texts/pdf/FT0014_TA00153_pbfuzz-agentic-directed-fuzzing-for-pov-generation.pdf	search/full-texts/text/FT0014_TA00153_pbfuzz-agentic-directed-fuzzing-for-pov-generation.txt	exclude	no	yes	yes	yes	yes	yes	no	no	no	no	CE1	Full text uses persistent memory to prevent hypothesis drift during long-horizon proof-of-vulnerability generation, but the memory is intra-task reasoning state rather than reusable cross-session or independent-task persistence.	codex_full_text_003	2026-04-28T21:46:20Z	Calibration batch 004. | retrieval ok via arxiv | Full-text batch 003 high-confidence include records.
FT0015	TA00154	D00154	DeepCode: Open Agentic Coding	2025		arXiv	10.48550/arXiv.2512.07921	2512.07921	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE;cs.AI	0	include	DeepCode uses stateful code memory as part of an autonomous coding framework evaluated on repository synthesis.	yes	no	1_include	ok	search/full-texts/pdf/FT0015_TA00154_deepcode-open-agentic-coding.pdf	search/full-texts/text/FT0015_TA00154_deepcode-open-agentic-coding.txt	exclude	no	yes	yes	yes	yes	yes	no	no	no	no	CE1	Full text describes stateful Code Memory that indexes the evolving repository/code state during one autonomous coding run; it does not show cross-session or independent-task write-back persistence.	codex_full_text_003	2026-04-28T21:46:20Z	Calibration batch 004. | retrieval ok via arxiv | Full-text batch 003 high-confidence include records.
FT0016	TA00156	D00156	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	2025	Sherman Wong; Zhenting Qi; Zhaodong Wang; Nathan Hu; Samuel Lin; Jun Ge; Erwin Gao; Wenlin Chen; Yilun Du; Minlan Yu; Ying Zhang	arXiv	10.48550/arXiv.2512.10398	2512.10398	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.CL;cs.AI;cs.LG;cs.SE; backward+forward | forward_from=xia2025livesweagent | backward_from=vasilopoulos2026codified	4	include	Confucius Code Agent includes persistent note-taking for cross-session continual learning and reports evaluation.	yes	no	1_include	ok	search/full-texts/pdf/FT0016_TA00156_confucius-code-agent-scalable-agent-scaffolding-for-real-world-codebases.pdf	search/full-texts/text/FT0016_TA00156_confucius-code-agent-scalable-agent-scaffolding-for-real-world-codebases.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes Confucius Code Agent with a persistent note-taking and long-term memory system for cross-session continual learning, evaluated on SWE-Bench-Pro, SWE-Bench Verified, and PyTorch-Bench.	codex_full_text_003	2026-04-28T21:46:20Z	Calibration batch 001. | retrieval ok via arxiv | Full-text batch 003 high-confidence include records.
FT0017	TA00162	D00162	Reflection-Driven Control for Trustworthy Code Agents	2025		arXiv	10.48550/arXiv.2512.21354	2512.21354	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.CR;cs.AI;cs.SE	1	include	Reflection-Driven Control retrieves secure coding examples and guidelines from evolving reflective memory for secure code generation.	yes	no	1_include	ok	search/full-texts/pdf/FT0017_TA00162_reflection-driven-control-for-trustworthy-code-agents.pdf	search/full-texts/text/FT0017_TA00162_reflection-driven-control-for-trustworthy-code-agents.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes Reflection-Driven Control with a reflective memory repository that writes new cases back to memory, continuously evolves accumulated knowledge, and evaluates security-oriented code generation.	codex_full_text_003	2026-04-28T21:46:20Z	Calibration batch 004. | retrieval ok via arxiv | Full-text batch 003 high-confidence include records.
FT0018	TA00288	D00288	AutoMLGen: Navigating Fine-Grained Optimization for Coding Agents	2025		arXiv	10.48550/arXiv.2510.08511	2510.08511	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.AI;cs.CL;cs.LG	0	include	AutoMLGen uses a domain knowledge base and historical trajectory reuse in an LLM-based coding agent for MLE tasks.	yes	no	1_include	ok	search/full-texts/pdf/FT0018_TA00288_automlgen-navigating-fine-grained-optimization-for-coding-agents.pdf	search/full-texts/text/FT0018_TA00288_automlgen-navigating-fine-grained-optimization-for-coding-agents.txt	exclude	no	yes	yes	yes	yes	yes	no	no	no	no	CE1	Full text combines a curated ML domain knowledge base with graph-search trajectory reuse inside AutoMLGen, but the persistence is static prior/context or within-search reuse rather than agent-owned cross-session experience accumulation.	codex_full_text_003	2026-04-28T21:46:20Z	Calibration batch 004. | retrieval ok via arxiv | Full-text batch 003 high-confidence include records.
FT0019	TA00346	D00346	Toward Generation of Test Cases from Task Descriptions via History-aware Planning	2025		arXiv	10.48550/arXiv.2504.14336	2504.14336	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE	2	include	HxAgent uses short-term memory and long-term experience with action sequences for automated web-test generation.	yes	no	1_include	ok	search/full-texts/pdf/FT0019_TA00346_toward-generation-of-test-cases-from-task-descriptions-via-history-aware-plannin.pdf	search/full-texts/text/FT0019_TA00346_toward-generation-of-test-cases-from-task-descriptions-via-history-aware-plannin.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes HxAgent using short-term memory plus long-term experience from correct and incorrect action sequences, with a training/evaluation phase and empirical web-test generation evaluation.	codex_full_text_003	2026-04-28T21:46:20Z	Calibration batch 004. | retrieval failed: arxiv_http_404 | unpaywall_http_404 | retrieval ok via manual_url | Full-text batch 003 high-confidence include records.
FT0020	TA00355	D00355	TAI3: Testing Agent Integrity in Interpreting User Intent	2025		arXiv	10.48550/arXiv.2506.07524	2506.07524	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE;cs.AI;cs.CY	0	include	TAI3 uses datatype-aware strategy memory to retrieve and adapt past mutation patterns for agent testing.	yes	no	1_include	ok	search/full-texts/pdf/FT0020_TA00355_tai3-testing-agent-integrity-in-interpreting-user-intent.pdf	search/full-texts/text/FT0020_TA00355_tai3-testing-agent-integrity-in-interpreting-user-intent.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes TAI3 maintaining and updating a datatype-aware strategy memory of successful mutation patterns, retrieving/adapting them for new seed tasks, with evaluation over 80 toolkit APIs.	codex_full_text_003	2026-04-28T21:46:20Z	Calibration batch 004. | retrieval ok via arxiv | Full-text batch 003 high-confidence include records.
FT0021	TA00361	D00361	Git Context Controller: Manage the Context of LLM-based Agents like Git	2025		arXiv	10.48550/arXiv.2508.00031	2508.00031	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.SE	0	include	Git Context Controller provides a persistent versioned memory workspace for agents and reports SWE-Bench results.	yes	no	1_include	ok	search/full-texts/pdf/FT0021_TA00361_git-context-controller-manage-the-context-of-llm-based-agents-like-git.pdf	search/full-texts/text/FT0021_TA00361_git-context-controller-manage-the-context-of-llm-based-agents-like-git.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes Git Context Controller as a persistent, version-controlled memory workspace for LLM agents, supporting cross-session continuity, branching, merging, and SWE-Bench/BrowseComp evaluation.	codex_full_text_004	2026-04-28T21:48:58Z	Calibration batch 004. | retrieval ok via arxiv | Full-text batch 004 high-confidence include records.
FT0022	TA00370	D00370	ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory	2025	Siru Ouyang; Jun Yan; I-Hung Hsu; Yanfei Chen; Ke Jiang; Zifeng Wang; Rujun Han; Long T. Le; Samira Daruki; Xiangru Tang; Vishy Tirumalashetty; George Lee; Mahsan Rofouei; Hangfei Lin; Jiawei Han; Chen-Yu Lee; Tomas Pfister	arXiv	10.48550/arXiv.2509.25140	2509.25140	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.AI;cs.CL; backward+forward | forward_from=chen2025sweexp;su2025learnbyinteract;tang2025agentkb | backward_from=zhang2025accelopt;memorytransfer2026	7	include	ReasoningBank distills successful and failed experiences into retrievable memory and updates memory over time.	yes	no	1_include	ok	search/full-texts/pdf/FT0022_TA00370_reasoningbank-scaling-agent-self-evolving-with-reasoning-memory.pdf	search/full-texts/text/FT0022_TA00370_reasoningbank-scaling-agent-self-evolving-with-reasoning-memory.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes ReasoningBank as a memory framework that distills successful and failed experiences into reusable reasoning strategies, retrieves them for later tasks, and consolidates new experiences back into memory across web and software-engineering benchmarks.	codex_full_text_004	2026-04-28T21:48:58Z	Calibration batch 001. | retrieval ok via arxiv | Full-text batch 004 high-confidence include records.
FT0023	TA00371	D00371	Improving Code Localization with Repository Memory	2025	Boshi Wang; Weijian Xu; Yunsheng Li; Mei Gao; Yujia Xie; Huan Sun; Dongdong Chen	arXiv	10.48550/arXiv.2510.01003	2510.01003	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.SE;cs.CL; backward | backward_from=shen2026structurally	1	include	Repository Memory uses commit history and summaries as non-parametric memory to improve code localization.	yes	no	1_include	ok	search/full-texts/pdf/FT0023_TA00371_improving-code-localization-with-repository-memory.pdf	search/full-texts/text/FT0023_TA00371_improving-code-localization-with-repository-memory.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text proposes repository memory from historical commits, issues, and functionality summaries as episodic/semantic memory for code-localization agents, evaluated on SWE-bench Verified and SWE-bench Live.	codex_full_text_004	2026-04-28T21:48:58Z	Calibration batch 001. | retrieval ok via arxiv | Full-text batch 004 high-confidence include records.
FT0024	TA00449	D00449	Xolver: Multi-Agent Reasoning with Holistic Experience Learning Just Like an Olympiad Team	2025		arXiv	10.48550/arXiv.2506.14234	2506.14234	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.CL;cs.AI	1	include	Xolver provides persistent holistic experience memory and reports LiveCodeBench performance.	yes	no	1_include	ok	search/full-texts/pdf/FT0024_TA00449_xolver-multi-agent-reasoning-with-holistic-experience-learning-just-like-an-olym.pdf	search/full-texts/text/FT0024_TA00449_xolver-multi-agent-reasoning-with-holistic-experience-learning-just-like-an-olym.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes Xolver as a multi-agent reasoning framework with persistent holistic experience memory and an evolving shared memory that accumulates reasoning paths, solutions, and feedback across programming/math benchmarks.	codex_full_text_004	2026-04-28T21:48:58Z	Calibration batch 004. | retrieval ok via arxiv | Full-text batch 004 high-confidence include records.
FT0025	TA00450	D00450	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	2025	Genghan Zhang; Shaowei Zhu; Anjiang Wei; Zhenyu Song; Allen Nie; Zhen Jia; Nandita Vijaykumar; Yida Wang; K. Olukotun	arXiv	10.48550/arXiv.2511.15915	2511.15915	arxiv_chunk; citations	search/arxiv-query-chunk-results.tsv; search/results-citations.json	cs.LG;cs.CL; forward | forward_from=ouyang2026reasoningbank	5	include	AccelOpt uses optimization memory from prior slow-fast kernel pairs and evaluates improvement over time.	yes	no	1_include	ok	search/full-texts/pdf/FT0025_TA00450_accelopt-a-self-improving-llm-agentic-system-for-ai-accelerator-kernel-optimizat.pdf	search/full-texts/text/FT0025_TA00450_accelopt-a-self-improving-llm-agentic-system-for-ai-accelerator-kernel-optimizat.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text describes AccelOpt maintaining and updating optimization memory from prior slow-fast kernel pairs and exploration experiences, with NKIBench evaluation for AI accelerator kernel optimization.	codex_full_text_004	2026-04-28T21:48:58Z	Calibration batch 001. | retrieval ok via arxiv | Full-text batch 004 high-confidence include records.
FT0026	TA00452	D00452	MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval	2025		arXiv	10.48550/arXiv.2512.16962	2512.16962	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.CR;cs.AI;cs.LG	3	include	MemoryGraft studies poisoned experience retrieval in long-term agent memory and validates persistent cross-session effects.	yes	no	1_include	ok	search/full-texts/pdf/FT0026_TA00452_memorygraft-persistent-compromise-of-llm-agents-via-poisoned-experience-retrieva.pdf	search/full-texts/text/FT0026_TA00452_memorygraft-persistent-compromise-of-llm-agents-via-poisoned-experience-retrieva.txt	include	yes	yes	yes	yes	yes	no	no	no	no	no		Full text studies MemoryGraft attacks on long-term experience retrieval, showing poisoned memories persist alongside benign experiences and cause behavioral drift across later sessions in a DataInterpreter/code setting.	codex_full_text_004	2026-04-28T21:48:58Z	Calibration batch 004. | retrieval ok via arxiv | Full-text batch 004 high-confidence include records.
FT0027	TA00472	D00472	MLZero: A Multi-Agent System for End-to-end Machine Learning Automation	2025		arXiv	10.48550/arXiv.2505.13941	2505.13941	arxiv_chunk	search/arxiv-query-chunk-results.tsv	cs.MA;cs.AI;cs.CL;cs.LG	0	include	MLZero uses semantic and episodic memory in an end-to-end ML engineering automation agent with MLE-Bench evaluation.	yes	no	1_include	ok	search/full-texts/pdf/FT0027_TA00472_mlzero-a-multi-agent-system-for-end-to-end-machine-learning-automation.pdf	search/full-texts/text/FT0027_TA00472_mlzero-a-multi-agent-system-for-end-to-end-machine-learning-automation.txt	exclude	no	yes	yes	yes	yes	yes	no	no	no	no	CE1	Full text initializes semantic and episodic memory inside each ML automation workflow and uses it for iterative debugging until the current output succeeds; it does not show cross-session or independent-task write-back persistence.	codex_full_text_004	2026-04-28T21:48:58Z	Calibration batch 004. | retrieval ok via arxiv | Full-text batch 004 high-confidence include records.
