seed_id	title	year	arxiv_id	doi	seed_group	expected_status	search_recall_expectation	notes
wang2026memgovern	MemGovern: Enhancing Code Agents through Learning from Governed Human Experiences	2026	2601.06789	10.48550/arXiv.2601.06789	known_included_seed	include_or_rescreen	database_query	included study; governed-experience seed.
wong2025confucius	Confucius Code Agent: Scalable Agent Scaffolding for Real-World Codebases	2025	2512.10398	10.48550/arXiv.2512.10398	known_included_seed	include_or_rescreen	database_query	included study; code-agent scaffolding seed.
wu2025gcc	Git Context Controller: Manage the Context of LLM-based Agents like Git	2025	2508.00031	10.48550/arXiv.2508.00031	known_included_seed	include_or_rescreen	database_query	included study; persistent context/control seed.
xia2025livesweagent	Live-SWE-Agent: Can Software Engineering Agents Self-Evolve on the Fly?	2025	2511.13646	10.48550/arXiv.2511.13646	known_included_seed	include_or_rescreen	database_query	boundary architecture study; self-evolution boundary.
zhang2025accelopt	AccelOpt: A Self-Improving LLM Agentic System for AI Accelerator Kernel Optimization	2025	2511.15915	10.48550/arXiv.2511.15915	known_included_seed	include_or_rescreen	database_query	included study; accelerator code optimization seed.
zhang2025darwingodel	Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents	2025	2505.22954	10.48550/arXiv.2505.22954	known_included_seed	include_or_rescreen	database_query	included study; self-improving coding-agent seed.
zhou2025tomswe	ToM-SWE: User Mental Modeling for Software Engineering Agents	2025	2510.21903	10.48550/arXiv.2510.21903	known_included_seed	include_or_rescreen	database_query	included study; software-engineering-agent memory seed.
ouyang2026reasoningbank	ReasoningBank: Scaling Agent Self-Evolving with Reasoning Memory	2025	2509.25140	10.48550/arXiv.2509.25140	delta_high_confidence	include_if_reopened	database_query	Missed by C1 wording; must be recovered by current search.
mu2025experepair	EXPEREPAIR: Dual-Memory Enhanced LLM-based Repository-Level Program Repair	2025	2506.10484	10.48550/arXiv.2506.10484	delta_high_confidence	include_if_reopened	database_query	Missed from ledgers; explicit dual-memory repository repair.
tang2025agentkb	Agent KB: Leveraging Cross-Domain Experience for Agentic Problem Solving	2025	2507.06229	10.48550/arXiv.2507.06229	delta_high_confidence	include_if_reopened	database_query	Missed from ledgers; generic agent memory with SWE-bench evaluation.
zhu2026swecontextbench	SWE Context Bench: A Benchmark for Context Learning in Coding	2026	2602.08316	10.48550/arXiv.2602.08316	delta_high_confidence	include_contextual_if_reopened	database_query	Missed benchmark/contextual candidate for context reuse in programming agents.
ma2026failuremem	FailureMem: A Failure-Aware Multimodal Framework for Autonomous Software Repair	2026	2603.17826	10.48550/arXiv.2603.17826	delta_high_confidence	include_if_reopened	database_query	Missed failure-memory repair framework.
zhang2026textbfgs	TextBFGS: A Case-Based Reasoning Approach to Code Optimization via Error-Operator Retrieval	2026	2602.00059	10.48550/arXiv.2602.00059	delta_boundary	likely_include_boundary	database_query	Boundary candidate: retained case base for code optimization.
weng2026groupevolving	Group-Evolving Agents: Open-Ended Self-Improvement via Experience Sharing	2026	2602.04837	10.48550/arXiv.2602.04837	delta_boundary	likely_include_boundary	database_query	Boundary candidate: experience sharing in self-evolving coding agents.
memorytransfer2026	Memory Transfer Learning: How Memories are Transferred Across Domains in Coding Agents	2026	2604.14004	10.48550/arXiv.2604.14004	post_search_candidate	maybe_include_search	database_query	Post-search candidate likely before search date.
costa2026agentspawn	AgentSpawn: Adaptive Multi-Agent Collaboration Through Dynamic Spawning for Long-Horizon Code Generation	2026	2602.07072	10.48550/arXiv.2602.07072	negative_or_boundary_control	probably_exclude	database_query	Boundary/negative control: mostly intra-run state transfer.
cao2025hxagent	Toward Generation of Test Cases from Task Descriptions via History-aware Planning	2025	2504.14336	10.48550/arXiv.2504.14336	negative_or_boundary_control	exclude_withdrawn	full_text_or_later_version_only	Withdrawn arXiv paper with no PDF; reconsider only if later venue version exists.
wang2024falcon	FALCON: Feedback-driven Adaptive Long/short-term memory reinforced Coding Optimization system	2024	2410.21349	10.48550/arXiv.2410.21349	negative_or_boundary_control	probably_exclude	database_query	Negative control: training/optimization-state memory rather than explicit agent memory.
guidelineforest2025	Guideline Forest: Retrieval-Augmented Reasoning with Branching Experience-Induced Guidelines	2025	2506.07820	10.48550/arXiv.2506.07820	negative_or_boundary_control	probably_exclude	database_query	Negative control: generic reasoning memory with code benchmarks.
safesieve2025	SafeSieve: From Heuristics to Experience in Progressive Pruning for LLM-based Multi-Agent Collaboration	2025	2508.11733	10.48550/arXiv.2508.11733	negative_or_boundary_control	probably_exclude	database_query	Negative control: multi-agent pruning with accumulated feedback.
autorefine2026	AutoRefine: From Trajectories to Reusable Expertise for Continual LLM Agent Refinement	2026	2601.22758	10.48550/arXiv.2601.22758	negative_or_boundary_control	probably_exclude	database_query	Negative control: strong agent memory but not software-development evaluation.
smith2025	Unifying Dynamic Tool Creation and Cross-Task Experience Sharing through Cognitive Memory Architecture	2025	2512.11303	10.48550/arXiv.2512.11303	negative_or_boundary_control	probably_exclude	database_query	Negative control: generic tool-use memory rather than SE benchmark.
pag2023	Past as a Guide: Leveraging Retrospective Learning for Python Code Completion	2023	2311.07635	10.48550/arXiv.2311.07635	negative_or_boundary_control	probably_exclude	database_query	Negative control: offline example memory for HumanEval code completion.
