branch	rank	scopus_id	eid	title	year	venue	doi	subtype	abstract
family_c_strong_memory_se	20	SCOPUS_ID:105033219561	2-s2.0-105033219561	NeuroStack: A Agentic AI Platform for Enterprise	2025	Proceedings 2025 IEEE International Conference on Collaborative Advances in Software and Computing Cascon 2025	10.1109/CASCON66301.2025.00094	Conference Paper	
family_c_strong_memory_se	21	SCOPUS_ID:105010223164	2-s2.0-105010223164	SWE-SEARCH: ENHANCING SOFTWARE AGENTS WITH MONTE CARLO TREE SEARCH AND ITERATIVE REFINEMENT	2025	13th International Conference on Learning Representations Iclr 2025		Conference Paper	
family_c_strong_memory_se	22	SCOPUS_ID:105010224349	2-s2.0-105010224349	LEARN-BY-INTERACT: A DATA-CENTRIC FRAMEWORK FOR SELF-ADAPTIVE AGENTS IN REALISTIC ENVIRONMENTS	2025	13th International Conference on Learning Representations Iclr 2025		Conference Paper	
family_c_strong_memory_se	23	SCOPUS_ID:85218487471	2-s2.0-85218487471	Multitask-Bench: Unveiling and Mitigating Safety Gaps in LLMs Fine-tuning	2025	Proceedings International Conference on Computational Linguistics Coling		Conference Paper	
family_c_strong_memory_se	24	SCOPUS_ID:105009102445	2-s2.0-105009102445	Prompt Engineering or Fine-Tuning: An Empirical Assessment of LLMs for Code	2025	Proceedings 2025 IEEE ACM 22nd International Conference on Mining Software Repositories MSR 2025	10.1109/MSR66628.2025.00082	Conference Paper	
family_c_strong_memory_se	25	SCOPUS_ID:85212426265	2-s2.0-85212426265	Instructive Code Retriever: Learn from Large Language Model's Feedback for Code Intelligence Tasks	2024	Proceedings 2024 39th ACM IEEE International Conference on Automated Software Engineering Ase 2024	10.1145/3691620.3694997	Conference Paper	
family_c_strong_memory_se	26	SCOPUS_ID:85205539673	2-s2.0-85205539673	Calico: Automated Knowledge Calibration and Diagnosis for Elevating AI Mastery in Code Tasks	2024	Issta 2024 Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis	10.1145/3650212.3680399	Conference Paper	
family_c_strong_memory_se	27	SCOPUS_ID:85201453256	2-s2.0-85201453256	Abstractions for C++ code optimizations in parallel high-performance applications	2024	Parallel Computing	10.1016/j.parco.2024.103096	Article	
family_c_strong_memory_se	28	SCOPUS_ID:85199897859	2-s2.0-85199897859	A Case Study of LLM for Automated Vulnerability Repair: Assessing Impact of Reasoning and Patch Validation Feedback	2024	Aiware 2024 Proceedings of the 1st ACM International Conference on AI Powered Software Co Located with Esec Fse 2024	10.1145/3664646.3664770	Conference Paper	
family_c_strong_memory_se	29	SCOPUS_ID:105019517887	2-s2.0-105019517887	Identifying Coincidental Correct Test Cases Based on Machine Learning	2024	Computer Science	10.11896/jsjkx.230400017	Article	
family_c_strong_memory_se	30	SCOPUS_ID:85173942496	2-s2.0-85173942496	Enhanced evolutionary automated program repair by finer-granularity ingredients and better search algorithms	2024	Journal of Software Evolution and Process	10.1002/smr.2624	Article	
family_c_strong_memory_se	31	SCOPUS_ID:85194888172	2-s2.0-85194888172	Automatic Generation of Test Cases based on Bug Reports: A Feasibility Study with Large Language Models	2024	Proceedings International Conference on Software Engineering	10.1145/3639478.3643119	Conference Paper	
family_c_strong_memory_se	32	SCOPUS_ID:85196779323	2-s2.0-85196779323	Constraint Based Program Repair for Persistent Memory Bugs	2024	Proceedings International Conference on Software Engineering	10.1145/3597503.3639204	Conference Paper	
family_c_strong_memory_se	33	SCOPUS_ID:85195798173	2-s2.0-85195798173	PyDex: Repairing Bugs in Introductory Python Assignments using LLMs	2024	Proceedings of the ACM on Programming Languages	10.1145/3649850	Article	
family_c_strong_memory_se	34	SCOPUS_ID:85216202377	2-s2.0-85216202377	An Energy-efficient and Dual-mode AI Accelerator for Wearable Lung Sound Monitoring	2024	2024 IEEE Biomedical Circuits and Systems Conference Biocas 2024	10.1109/BioCAS61083.2024.10798166	Conference Paper	
family_c_strong_memory_se	35	SCOPUS_ID:85206616081	2-s2.0-85206616081	Self-Evolving Programs: A Novel Approach Leveraging LLMs and Quine Programs	2024	1st International Conference on Computing Internet of Things and Microwave Systems Iccims 2024	10.1109/ICCIMS61672.2024.10690672	Conference Paper	
family_c_strong_memory_se	36	SCOPUS_ID:85195927353	2-s2.0-85195927353	TransCoder: Towards Unified Transferable Code Representation Learning Inspired by Human Skills	2024	2024 Joint International Conference on Computational Linguistics Language Resources and Evaluation Lrec Coling 2024 Main Conference Proceedings		Conference Paper	
family_c_strong_memory_se	37	SCOPUS_ID:85203550434	2-s2.0-85203550434	Leveraging Large Language Model for Automatic Patch Correctness Assessment	2024	IEEE Transactions on Software Engineering	10.1109/TSE.2024.3452252	Article	
family_c_strong_memory_se	38	SCOPUS_ID:85195214568	2-s2.0-85195214568	PyLoomer - The Automated Weaving of Python Text	2024	Proceedings 2nd IEEE International Conference on Device Intelligence Computing and Communication Technologies Dicct 2024	10.1109/DICCT61038.2024.10532945	Conference Paper	
family_c_strong_memory_se	39	SCOPUS_ID:85205908969	2-s2.0-85205908969	FlakyFix: Using Large Language Models for Predicting Flaky Test Fix Categories and Test Code Repair	2024	IEEE Transactions on Software Engineering	10.1109/TSE.2024.3472476	Article	
family_c_strong_memory_se	40	SCOPUS_ID:85195920894	2-s2.0-85195920894	Searching by Code: a New SearchBySnippet Dataset and SnippeR Retrieval Model for Searching by Code Snippets	2024	2024 Joint International Conference on Computational Linguistics Language Resources and Evaluation Lrec Coling 2024 Main Conference Proceedings		Conference Paper	
family_c_strong_memory_se	41	SCOPUS_ID:85183324747	2-s2.0-85183324747	Variable-based Fault Localization via Enhanced Decision Tree	2023	ACM Transactions on Software Engineering and Methodology	10.1145/3624741	Article	
family_c_strong_memory_se	42	SCOPUS_ID:85175402387	2-s2.0-85175402387	An Approach to Regression Testing Selection based on Code Changes and Smells	2023	ACM International Conference Proceeding Series	10.1145/3624032.3624036	Conference Paper	
family_c_strong_memory_se	43	SCOPUS_ID:85181398449	2-s2.0-85181398449	GPT4AIGChip: Towards Next-Generation AI Accelerator Design Automation via Large Language Models	2023	IEEE ACM International Conference on Computer Aided Design Digest of Technical Papers Iccad	10.1109/ICCAD57390.2023.10323953	Conference Paper	
family_c_strong_memory_se	44	SCOPUS_ID:85182737407	2-s2.0-85182737407	Using Large Language Models for Bug Localization and Fixing	2023	Proceedings of 2023 12th International Conference on Awareness Science and Technology Icast 2023	10.1109/iCAST57874.2023.10359304	Conference Paper	
family_c_strong_memory_se	45	SCOPUS_ID:85178995968	2-s2.0-85178995968	What Makes Good In-Context Demonstrations for Code Intelligence Tasks with LLMs?	2023	Proceedings 2023 38th IEEE ACM International Conference on Automated Software Engineering Ase 2023	10.1109/ASE56229.2023.00109	Conference Paper	
